"taxa","color","pch","abbrev"
"Plankton","red",16,"Pn"
"Bird","#1D6A9B",18,"Bi"
"Invertebrate","gold2",167,"I"
"Plant","forestgreen",15,"Pt"
"Mammal","purple4",17,"M"
"Benthos","azure4",1,"Be"
"Fish","turquoise2",3,"F"
