Granule UR,Producer Granule ID,Start Time,End Time,Cloud Cover,Day/Night,Size
SC:MOD13A2.005:2037188890,MOD13A2.A2000049.h10v05.005.2006269034328.hdf,2000-02-18T00:00:00Z,2000-03-04T23:59:59Z,1,DAY,19.306875
SC:MOD13A2.005:2064688109,MOD13A2.A2000065.h10v05.005.2008238024742.hdf,2000-03-05T00:00:00Z,2000-03-20T23:59:59Z,0,DAY,19.580084
SC:MOD13A2.005:2063648870,MOD13A2.A2000081.h10v05.005.2008196115309.hdf,2000-03-21T00:00:00Z,2000-04-05T23:59:59Z,0,DAY,19.96386
SC:MOD13A2.005:2063711222,MOD13A2.A2000097.h10v05.005.2008198145136.hdf,2000-04-06T00:00:00Z,2000-04-21T23:59:59Z,0,DAY,20.446005
SC:MOD13A2.005:2037348355,MOD13A2.A2000113.h10v05.005.2006275030339.hdf,2000-04-22T00:00:00Z,2000-05-07T23:59:59Z,3,DAY,20.168423
SC:MOD13A2.005:2037427509,MOD13A2.A2000129.h10v05.005.2006278042807.hdf,2000-05-08T00:00:00Z,2000-05-23T23:59:59Z,0,DAY,20.42978
SC:MOD13A2.005:2037526612,MOD13A2.A2000145.h10v05.005.2006281180723.hdf,2000-05-24T00:00:00Z,2000-06-08T23:59:59Z,0,DAY,20.83528
SC:MOD13A2.005:2063573777,MOD13A2.A2000161.h10v05.005.2008194183946.hdf,2000-06-09T00:00:00Z,2000-06-24T23:59:59Z,3,DAY,21.014208
SC:MOD13A2.005:2037707147,MOD13A2.A2000177.h10v05.005.2006290221234.hdf,2000-06-25T00:00:00Z,2000-07-10T23:59:59Z,0,DAY,20.765202
SC:MOD13A2.005:2066173832,MOD13A2.A2000193.h10v05.005.2008274150836.hdf,2000-07-11T00:00:00Z,2000-07-26T23:59:59Z,0,DAY,20.550295
SC:MOD13A2.005:2037984588,MOD13A2.A2000209.h10v05.005.2006304150707.hdf,2000-07-27T00:00:00Z,2000-08-11T23:59:59Z,3,DAY,20.389357
SC:MOD13A2.005:2038058797,MOD13A2.A2000225.h10v05.005.2006307044350.hdf,2000-08-12T00:00:00Z,2000-08-27T23:59:59Z,1,DAY,20.43702
SC:MOD13A2.005:2038157716,MOD13A2.A2000241.h10v05.005.2006309233412.hdf,2000-08-28T00:00:00Z,2000-09-12T23:59:59Z,0,DAY,20.742916
SC:MOD13A2.005:2063630963,MOD13A2.A2000257.h10v05.005.2008196004952.hdf,2000-09-13T00:00:00Z,2000-09-28T23:59:59Z,0,DAY,20.089113
SC:MOD13A2.005:2063825039,MOD13A2.A2000273.h10v05.005.2008202090723.hdf,2000-09-29T00:00:00Z,2000-10-14T23:59:59Z,0,DAY,20.211752
SC:MOD13A2.005:2063911735,MOD13A2.A2000289.h10v05.005.2008204141238.hdf,2000-10-15T00:00:00Z,2000-10-30T23:59:59Z,0,DAY,19.351168
SC:MOD13A2.005:2064009658,MOD13A2.A2000305.h10v05.005.2008210022947.hdf,2000-10-31T00:00:00Z,2000-11-15T23:59:59Z,0,DAY,18.844078
SC:MOD13A2.005:2038895517,MOD13A2.A2000321.h10v05.005.2006339010552.hdf,2000-11-16T00:00:00Z,2000-12-01T23:59:59Z,0,DAY,19.422037
SC:MOD13A2.005:2063651213,MOD13A2.A2000337.h10v05.005.2008196171625.hdf,2000-12-02T00:00:00Z,2000-12-17T23:59:59Z,0,DAY,19.061878
SC:MOD13A2.005:2039107863,MOD13A2.A2000353.h10v05.005.2006345160635.hdf,2000-12-18T00:00:00Z,2001-01-02T23:59:59Z,3,DAY,20.442684
SC:MOD13A2.005:2065870901,MOD13A2.A2001001.h10v05.005.2008269150357.hdf,2001-01-01T00:00:00Z,2001-01-16T23:59:59Z,0,DAY,19.862772
SC:MOD13A2.005:2039397739,MOD13A2.A2001017.h10v05.005.2006356170721.hdf,2001-01-17T00:00:00Z,2001-02-01T23:59:59Z,0,DAY,19.494368
SC:MOD13A2.005:2066020343,MOD13A2.A2001033.h10v05.005.2008271123053.hdf,2001-02-02T00:00:00Z,2001-02-17T23:59:59Z,0,BOTH,19.633032
SC:MOD13A2.005:2039643509,MOD13A2.A2001049.h10v05.005.2006365151828.hdf,2001-02-18T00:00:00Z,2001-03-05T23:59:59Z,1,DAY,19.566696
SC:MOD13A2.005:2039736713,MOD13A2.A2001065.h10v05.005.2007004200129.hdf,2001-03-06T00:00:00Z,2001-03-21T23:59:59Z,0,DAY,19.795116
SC:MOD13A2.005:2066297886,MOD13A2.A2001081.h10v05.005.2008277121926.hdf,2001-03-22T00:00:00Z,2001-04-06T23:59:59Z,3,DAY,19.90259
SC:MOD13A2.005:2039971786,MOD13A2.A2001097.h10v05.005.2007016120204.hdf,2001-04-07T00:00:00Z,2001-04-22T23:59:59Z,0,DAY,20.12862
SC:MOD13A2.005:2066453016,MOD13A2.A2001113.h10v05.005.2008282134728.hdf,2001-04-23T00:00:00Z,2001-05-08T23:59:59Z,0,DAY,20.483784
SC:MOD13A2.005:2040146094,MOD13A2.A2001129.h10v05.005.2007025090046.hdf,2001-05-09T00:00:00Z,2001-05-24T23:59:59Z,0,DAY,20.80627
SC:MOD13A2.005:2041241571,MOD13A2.A2001145.h10v05.005.2007062072235.hdf,2001-05-25T00:00:00Z,2001-06-09T23:59:59Z,0,DAY,20.548904
SC:MOD13A2.005:2040353274,MOD13A2.A2001161.h10v05.005.2007035011013.hdf,2001-06-10T00:00:00Z,2001-06-25T23:59:59Z,11,DAY,21.095432
SC:MOD13A2.005:2043725429,MOD13A2.A2001177.h10v05.005.2007166000326.hdf,2001-06-26T00:00:00Z,2001-07-11T23:59:59Z,5,DAY,21.184252
SC:MOD13A2.005:2040556083,MOD13A2.A2001193.h10v05.005.2007039111627.hdf,2001-07-12T00:00:00Z,2001-07-27T23:59:59Z,1,DAY,20.449348
SC:MOD13A2.005:2064329134,MOD13A2.A2001209.h10v05.005.2008222221719.hdf,2001-07-28T00:00:00Z,2001-08-12T23:59:59Z,2,DAY,21.129694
SC:MOD13A2.005:2040811876,MOD13A2.A2001225.h10v05.005.2007048192443.hdf,2001-08-13T00:00:00Z,2001-08-28T23:59:59Z,0,DAY,20.443388
SC:MOD13A2.005:2066350034,MOD13A2.A2001241.h10v05.005.2008279022121.hdf,2001-08-29T00:00:00Z,2001-09-13T23:59:59Z,1,DAY,20.104538
SC:MOD13A2.005:2041121999,MOD13A2.A2001257.h10v05.005.2007058102003.hdf,2001-09-14T00:00:00Z,2001-09-29T23:59:59Z,0,DAY,19.822754
SC:MOD13A2.005:2066522260,MOD13A2.A2001273.h10v05.005.2008284133906.hdf,2001-09-30T00:00:00Z,2001-10-15T23:59:59Z,0,DAY,19.81573
SC:MOD13A2.005:2041607249,MOD13A2.A2001289.h10v05.005.2007073214741.hdf,2001-10-16T00:00:00Z,2001-10-31T23:59:59Z,0,DAY,20.211754
SC:MOD13A2.005:2066647635,MOD13A2.A2001305.h10v05.005.2008288021414.hdf,2001-11-01T00:00:00Z,2001-11-16T23:59:59Z,0,DAY,19.62455
SC:MOD13A2.005:2041793315,MOD13A2.A2001321.h10v05.005.2007080210706.hdf,2001-11-17T00:00:00Z,2001-12-02T23:59:59Z,0,DAY,19.505074
SC:MOD13A2.005:2066721201,MOD13A2.A2001337.h10v05.005.2008289132417.hdf,2001-12-03T00:00:00Z,2001-12-18T23:59:59Z,0,DAY,19.300524
SC:MOD13A2.005:2042246827,MOD13A2.A2001353.h10v05.005.2007108214302.hdf,2001-12-19T00:00:00Z,2002-01-03T23:59:59Z,0,DAY,19.754223
SC:MOD13A2.005:2064397753,MOD13A2.A2002001.h10v05.005.2008224220322.hdf,2002-01-01T00:00:00Z,2002-01-16T23:59:59Z,0,DAY,19.599218
