"site","species","year","count"
"d108_-16_-6","Sula_dactylatra_bedouti",1992,1
"d108_-20_58","Sterna_fuscata",1999,2
"d108_-30_-6","Procellaria_aequinoctialis",1992,1
"d108_-30_64","Procellaria_aequinoctialis",1999,3
"d108_-32_114","Daption_capense",2002,1
"d108_-32_114","Pachyptila_spp.",2002,10
"d108_-32_114","Pterodroma_macroptera",2002,8
"d108_-32_114","Pterodroma_macroptera",2004,3
"d108_-32_114","Puffinus_spp.",2003,8
"d108_-32_114","Thalassarche_carteri",2002,2
"d108_-32_116","Diomedea_exulans",2002,2
"d108_-32_116","Morus_serrator",2002,7
"d108_-32_116","Oceanites_oceanicus",2002,4
"d108_-32_116","Pachyptila_spp.",2002,1
"d108_-32_116","Procellaria_aequinoctialis",2002,1
"d108_-32_116","Pterodroma_macroptera",2002,8
"d108_-32_116","Puffinus_spp.",1985,12
"d108_-32_116","Stercorarius_parasiticus",2002,4
"d108_-32_116","Stercorarius_pomarinus",2002,2
"d108_-32_116","Sterna_anaethetus",1985,3
"d108_-32_116","Sterna_bergii",2002,9
"d108_-32_116","Sterna_fuscata",1985,1
"d108_-32_116","Sterna_fuscata",2002,9
"d108_-32_116","Thalassarche_carteri",2002,4
"d108_-32_116","Thalassarche_cauta",2002,1
"d108_-32_66","Procellaria_aequinoctialis",1999,3
"d108_-34_110","Daption_capense",2002,4
"d108_-34_110","Diomedea_exulans",2002,1
"d108_-34_110","Diomedea_exulans",2004,4
"d108_-34_110","Lugensa_brevirostris",2004,1
"d108_-34_110","Pachyptila_spp.",2002,3
"d108_-34_110","Pterodroma_macroptera",2003,1
"d108_-34_110","Pterodroma_macroptera",2004,5
"d108_-34_110","Pterodroma_mollis",2002,1
"d108_-34_110","Thalassarche_carteri",2002,1
"d108_-34_112","Daption_capense",1987,2
"d108_-34_112","Delphinidae_sp.",1987,40
"d108_-34_112","Diomedea_exulans",2002,1
"d108_-34_112","Halobaena_caerulea",1987,5
"d108_-34_112","Lugensa_brevirostris",2003,1
"d108_-34_112","Macronectes_giganteus",2003,1
"d108_-34_112","Oceanites_oceanicus",1998,2
"d108_-34_112","Pachyptila_spp.",2002,3
"d108_-34_112","Pachyptila_spp.",2003,1
"d108_-34_112","Pelagodroma_marina",2003,1
"d108_-34_112","Procellaria_aequinoctialis",1987,1
"d108_-34_112","Procellaria_aequinoctialis",2003,1
"d108_-34_112","Pterodroma_baraui",2003,1
"d108_-34_112","Pterodroma_lessonii",2003,1
"d108_-34_112","Pterodroma_macroptera",2002,3
"d108_-34_112","Pterodroma_macroptera",2003,20
"d108_-34_112","Pterodroma_macroptera",2004,14
"d108_-34_112","Pterodroma_mollis",1987,4
"d108_-34_112","Pterodroma_mollis",2002,1
"d108_-34_112","Puffinus_assimilis",2003,4
"d108_-34_112","Puffinus_gavia",1985,1
"d108_-34_112","Puffinus_griseus",1998,1
"d108_-34_112","Puffinus_spp.",1985,1
"d108_-34_112","Puffinus_spp.",2002,1
"d108_-34_112","Puffinus_spp._indet",2003,2
"d108_-34_112","Thalassarche_carteri",2002,1
"d108_-34_112","Thalassarche_melanophrys",1987,1
"d108_-34_114","Daption_capense",1987,5
"d108_-34_114","Diomedea_exulans",1987,1
"d108_-34_114","Morus_serrator",2002,5
"d108_-34_114","Pachyptila_spp.",2003,2
"d108_-34_114","Procellaria_aequinoctialis",2002,10
"d108_-34_114","Procellaria_aequinoctialis",2003,3
"d108_-34_114","Pterodroma_lessonii",1987,1
"d108_-34_114","Pterodroma_macroptera",2003,26
"d108_-34_114","Pterodroma_macroptera",2004,2
"d108_-34_114","Pterodroma_macroptera",2005,2
"d108_-34_114","Pterodroma_mollis",1987,2
"d108_-34_114","Puffinus_assimilis",2002,1
"d108_-34_114","Puffinus_assimilis",2003,2
"d108_-34_114","Puffinus_griseus",1998,1
"d108_-34_114","Puffinus_pacificus",1995,1
"d108_-34_114","Puffinus_pacificus",2003,30
"d108_-34_114","Puffinus_spp.",1985,2
"d108_-34_114","Puffinus_spp.",1987,3
"d108_-34_114","Puffinus_spp.",1995,2
"d108_-34_114","Sterna_anaethetus",2002,15
"d108_-34_114","Sterna_anaethetus",2003,1
"d108_-34_114","Sterna_bergii",2002,3
"d108_-34_114","Sterna_fuscata",2003,1
"d108_-34_114","Thalassarche_carteri",1987,1
"d108_-34_114","Thalassarche_carteri",2003,3
"d108_-34_114","Thalassarche_carteri",2005,1
"d108_-34_18","Catharacta_lonnbergi_lonnbergi",1985,1
"d108_-34_18","Daption_capense",1985,2
"d108_-34_18","Macronectes_halli",1985,1
"d108_-34_18","Morus_capensis",1985,2
"d108_-34_18","Procellaria_aequinoctialis",1985,3
"d108_-34_18","Puffinus_griseus",1985,1
"d108_-34_18","Thalassarche_cauta",1985,3
"d108_-34_18","Thalassarche_melanophrys",1985,1
"d108_-34_20","Catharacta_lonnbergi_lonnbergi",1985,1
"d108_-34_20","Morus_capensis",1985,50
"d108_-34_20","Oceanites_oceanicus",1985,1
"d108_-34_20","Procellaria_aequinoctialis",1985,1
"d108_-34_20","Procellaria_cinerea",1985,1
"d108_-34_20","Pterodroma_mollis",1985,2
"d108_-34_20","Puffinus_griseus",1985,30
"d108_-34_20","Thalassarche_cauta",1985,1
"d108_-34_20","Thalassarche_melanophrys",1985,1
"d108_-34_68","Procellaria_aequinoctialis",1999,5
"d108_-36_-10","Diomedea_exulans",1992,4
"d108_-36_-10","Thalassarche_carteri",1992,2
"d108_-36_-52","Oceanites_oceanicus",1992,3
"d108_-36_-52","Procellaria_aequinoctialis",1992,28
"d108_-36_-52","Pterodroma_incerta",1992,8
"d108_-36_-52","Puffinus_gravis",1992,2
"d108_-36_-52","Stercorarius_parasiticus",1992,5
"d108_-36_-52","Thalassarche_carteri",1992,1
"d108_-36_-56","Procellaria_aequinoctialis",1991,6
"d108_-36_-56","Puffinus_gravis",1991,5
"d108_-36_-56","Thalassarche_melanophrys",1991,4
"d108_-36_106","Daption_capense",2002,5
"d108_-36_106","Diomedea_exulans",2002,1
"d108_-36_106","Pachyptila_spp.",2002,40
"d108_-36_106","Thalassarche_carteri",2002,2
"d108_-36_108","Diomedea_exulans",1986,1
"d108_-36_108","Diomedea_exulans",2003,1
"d108_-36_108","Macronectes_spp.",1986,2
"d108_-36_108","Pachyptila_desolata",2002,1
"d108_-36_108","Pachyptila_spp.",2002,15
"d108_-36_108","Phoebetria_fusca",1986,1
"d108_-36_108","Phoebetria_palpebrata",2004,1
"d108_-36_108","Procellaria_aequinoctialis",2003,12
"d108_-36_108","Procellaria_aequinoctialis",2004,2
"d108_-36_108","Procellaria_cinerea",2003,1
"d108_-36_108","Pterodroma_macroptera",2004,15
"d108_-36_108","Puffinus_spp.",2003,18
"d108_-36_108","Puffinus_spp._indet",2003,5
"d108_-36_108","Thalassarche_carteri",1986,1
"d108_-36_108","Thalassarche_carteri",2002,1
"d108_-36_108","Thalassarche_cauta",2004,2
"d108_-36_110","Daption_capense",1987,6
"d108_-36_110","Daption_capense",2002,2
"d108_-36_110","Diomedea_exulans",1987,1
"d108_-36_110","Diomedea_exulans",2002,1
"d108_-36_110","Macronectes_spp.",2003,1
"d108_-36_110","Pachyptila_spp.",1987,13
"d108_-36_110","Pachyptila_spp.",2002,12
"d108_-36_110","Pelagodroma_marina",2003,1
"d108_-36_110","Phoebetria_palpebrata",2004,1
"d108_-36_110","Procellaria_aequinoctialis",2003,15
"d108_-36_110","Procellaria_aequinoctialis",2004,1
"d108_-36_110","Procellaria_aequinoctialis",2005,20
"d108_-36_110","Pterodroma_macroptera",2002,1
"d108_-36_110","Pterodroma_macroptera",2003,38
"d108_-36_110","Pterodroma_macroptera",2004,6
"d108_-36_110","Pterodroma_macroptera",2005,5
"d108_-36_110","Pterodroma_mollis",1987,2
"d108_-36_110","Pterodroma_mollis",2005,2
"d108_-36_110","Puffinus_griseus",1998,5
"d108_-36_110","Puffinus_spp.",2002,1
"d108_-36_110","Puffinus_spp.",2003,1
"d108_-36_110","Puffinus_spp._indet",2004,6
"d108_-36_110","Thalassarche_carteri",2002,2
"d108_-36_112","Lugensa_brevirostris",2005,1
"d108_-36_112","Pelagodroma_marina",2005,2
"d108_-36_112","Procellaria_aequinoctialis",2003,6
"d108_-36_112","Procellaria_aequinoctialis",2005,12
"d108_-36_112","Pterodroma_macroptera",2003,11
"d108_-36_112","Pterodroma_macroptera",2005,29
"d108_-36_112","Pterodroma_mollis",2005,1
"d108_-36_112","Puffinus_spp.",1985,1
"d108_-36_112","Stercorarius_parasiticus",2005,2
"d108_-36_114","Diomedea_exulans",1995,1
"d108_-36_114","Diomedea_exulans",2004,1
"d108_-36_114","Lugensa_brevirostris",2001,1
"d108_-36_114","Oceanites_oceanicus",1985,1
"d108_-36_114","Phoebetria_fusca",2001,2
"d108_-36_114","Procellaria_aequinoctialis",2001,3
"d108_-36_114","Procellaria_aequinoctialis",2002,2
"d108_-36_114","Pterodroma_macroptera",2004,6
"d108_-36_114","Puffinus_assimilis",2001,3
"d108_-36_114","Puffinus_carneipes",2004,42
"d108_-36_114","Puffinus_spp.",1984,2
"d108_-36_114","Puffinus_spp.",1985,2
"d108_-36_114","Puffinus_spp.",1995,14
"d108_-36_152","Procellaria_aequinoctialis",1985,4
"d108_-36_20","Catharacta_lonnbergi_lonnbergi",1985,1
"d108_-36_20","Daption_capense",1985,1
"d108_-36_20","Morus_capensis",1985,9
"d108_-36_20","Procellaria_aequinoctialis",1985,1
"d108_-36_20","Pterodroma_mollis",1985,1
"d108_-36_20","Puffinus_griseus",1985,56
"d108_-36_20","Thalassarche_cauta",1985,2
"d108_-36_68","Phoebetria_fusca",1999,1
"d108_-36_68","Procellaria_aequinoctialis",1999,17
"d108_-38_-12","Catharacta_lonnbergi_lonnbergi",1992,1
"d108_-38_-12","Diomedea_exulans",1992,1
"d108_-38_-12","Pelagodroma_marina",1992,2
"d108_-38_-12","Phoebetria_fusca",1992,1
"d108_-38_-12","Procellaria_aequinoctialis",1992,2
"d108_-38_-12","Puffinus_gravis",1992,1000
"d108_-38_-12","Sterna_vittata_vittata",1992,3
"d108_-38_-12","Thalassarche_carteri",1992,20
"d108_-38_-14","Diomedea_exulans",1992,2
"d108_-38_-14","Puffinus_gravis",1992,36
"d108_-38_-14","Thalassarche_carteri",1992,6
"d108_-38_-16","Pterodroma_mollis",1992,1
"d108_-38_-16","Puffinus_gravis",1992,36
"d108_-38_-16","Thalassarche_carteri",1992,4
"d108_-38_-42","Pterodroma_incerta",1992,1
"d108_-38_-44","Pterodroma_incerta",1992,4
"d108_-38_-46","Pterodroma_incerta",1992,2
"d108_-38_-48","Diomedea_exulans",1992,1
"d108_-38_-50","Puffinus_spp.",1992,1
"d108_-38_-56","Macronectes_spp.",1991,2
"d108_-38_-56","Oceanites_oceanicus",1991,12
"d108_-38_-56","Procellaria_aequinoctialis",1991,7
"d108_-38_-56","Puffinus_gravis",1991,24
"d108_-38_-56","Puffinus_griseus",1991,1
"d108_-38_-56","Thalassarche_melanophrys",1991,244
"d108_-38_102","Daption_capense",2002,4
"d108_-38_102","Diomedea_exulans",2002,1
"d108_-38_102","Phoebetria_palpebrata",2003,1
"d108_-38_102","Procellaria_aequinoctialis",2002,6
"d108_-38_102","Procellaria_aequinoctialis",2003,11
"d108_-38_102","Procellaria_aequinoctialis",2004,8
"d108_-38_102","Pterodroma_mollis",2003,11
"d108_-38_102","Thalassarche_carteri",2002,2
"d108_-38_102","Thalassarche_carteri",2004,3
"d108_-38_102","Thalassarche_chrysostoma",2002,2
"d108_-38_102","Thalassarche_melanophrys",2002,1
"d108_-38_102","Thalassarche_salvini",2003,1
"d108_-38_104","Catharacta_lonnbergi_lonnbergi",2002,2
"d108_-38_104","Daption_capense",2002,24
"d108_-38_104","Diomedea_exulans",2002,3
"d108_-38_104","Diomedea_exulans",2003,4
"d108_-38_104","Diomedea_exulans",2004,6
"d108_-38_104","Macronectes_spp.",2002,1
"d108_-38_104","Pachyptila_spp.",2002,3
"d108_-38_104","Phoebetria_fusca",2003,2
"d108_-38_104","Phoebetria_palpebrata",2002,2
"d108_-38_104","Phoebetria_palpebrata",2003,3
"d108_-38_104","Phoebetria_palpebrata",2004,2
"d108_-38_104","Procellaria_aequinoctialis",2002,27
"d108_-38_104","Procellaria_aequinoctialis",2003,178
"d108_-38_104","Procellaria_aequinoctialis",2004,31
"d108_-38_104","Procellaria_cinerea",2002,7
"d108_-38_104","Procellaria_cinerea",2003,1
"d108_-38_104","Pterodroma_lessonii",2002,2
"d108_-38_104","Pterodroma_lessonii",2003,2
"d108_-38_104","Pterodroma_lessonii",2004,1
"d108_-38_104","Pterodroma_macroptera",2004,20
"d108_-38_104","Pterodroma_mollis",2003,1
"d108_-38_104","Pterodroma_mollis",2004,3
"d108_-38_104","Puffinus_gavia",2003,5
"d108_-38_104","Puffinus_spp.",2003,10
"d108_-38_104","Puffinus_spp._indet",2003,3
"d108_-38_104","Puffinus_spp._indet",2004,3
"d108_-38_104","Sula_dactylatra_bedouti",2004,1
"d108_-38_104","Thalassarche_carteri",2002,9
"d108_-38_104","Thalassarche_carteri",2003,6
"d108_-38_104","Thalassarche_carteri",2004,11
"d108_-38_104","Thalassarche_cauta",2002,2
"d108_-38_104","Thalassarche_chrysostoma",2002,2
"d108_-38_104","Thalassarche_chrysostoma",2003,2
"d108_-38_104","Thalassarche_melanophrys",2002,1
"d108_-38_106","Daption_capense",2002,7
"d108_-38_106","Diomedea_exulans",1986,2
"d108_-38_106","Diomedea_exulans",2002,1
"d108_-38_106","Diomedea_exulans",2004,1
"d108_-38_106","Macronectes_spp.",1986,1
"d108_-38_106","Pachyptila_spp.",2002,32
"d108_-38_106","Phoebetria_fusca",1986,2
"d108_-38_106","Procellaria_aequinoctialis",1986,1
"d108_-38_106","Procellaria_aequinoctialis",2002,4
"d108_-38_106","Procellaria_aequinoctialis",2003,2
"d108_-38_106","Procellaria_cinerea",2002,2
"d108_-38_106","Procellaria_westlandica",2003,7
"d108_-38_106","Pterodroma_lessonii",2002,9
"d108_-38_106","Pterodroma_macroptera",1986,6
"d108_-38_106","Pterodroma_macroptera",2002,3
"d108_-38_106","Pterodroma_macroptera",2003,1
"d108_-38_106","Sterna_paradisaea",2002,1
"d108_-38_106","Thalassarche_carteri",1986,1
"d108_-38_106","Thalassarche_carteri",2002,4
"d108_-38_106","Thalassarche_carteri",2003,1
"d108_-38_106","Thalassarche_cauta",2002,1
"d108_-38_106","Thalassarche_cauta",2004,1
"d108_-38_106","Thalassarche_melanophrys",2002,1
"d108_-38_108","Daption_capense",1987,42
"d108_-38_108","Diomedea_exulans",1987,1
"d108_-38_108","Diomedea_exulans",2003,1
"d108_-38_108","Fregetta_grallaria_grallaria",1987,2
"d108_-38_108","Fregetta_tropica",2003,2
"d108_-38_108","Megaptera_novaeangliae",2003,1
"d108_-38_108","Oceanites_oceanicus",1987,1
"d108_-38_108","Pachyptila_spp.",1987,9
"d108_-38_108","Pachyptila_spp.",2005,2
"d108_-38_108","Pelagodroma_marina",2005,3
"d108_-38_108","Procellaria_aequinoctialis",2003,3
"d108_-38_108","Procellaria_westlandica",2003,29
"d108_-38_108","Pterodroma_lessonii",2005,8
"d108_-38_108","Pterodroma_macroptera",2005,2
"d108_-38_108","Pterodroma_mollis",1987,2
"d108_-38_108","Pterodroma_mollis",2005,10
"d108_-38_108","Puffinus_griseus",1998,2
"d108_-38_108","Stercorarius_longicaudus",2005,1
"d108_-38_108","Thalassarche_carteri",1987,1
"d108_-38_108","Thalassarche_carteri",2003,1
"d108_-38_108","Thalassarche_cauta",1998,1
"d108_-38_108","Thalassarche_melanophrys",1987,3
"d108_-38_110","Daption_capense",1987,15
"d108_-38_110","Morus_serrator",1985,1
"d108_-38_110","Oceanites_oceanicus",1985,1
"d108_-38_110","Pachyptila_spp.",1987,2
"d108_-38_110","Phoebetria_fusca",1985,2
"d108_-38_110","Pterodroma_mollis",1987,1
"d108_-38_110","Puffinus_spp.",1985,20
"d108_-38_110","Thalassarche_carteri",1985,2
"d108_-38_110","Thalassarche_carteri",1987,1
"d108_-38_112","Diomedea_exulans",2001,2
"d108_-38_112","Macronectes_giganteus",2001,1
"d108_-38_112","Oceanites_oceanicus",1985,1
"d108_-38_112","Pachyptila_spp.",2001,8
"d108_-38_112","Phoebetria_fusca",2001,3
"d108_-38_112","Procellaria_aequinoctialis",2001,10
"d108_-38_112","Procellaria_aequinoctialis",2002,64
"d108_-38_112","Puffinus_spp.",1985,7
"d108_-38_112","Thalassarche_carteri",2002,1
"d108_-38_112","Thalassarche_cauta",2002,2
"d108_-38_112","Thalassarche_melanophrys",2001,2
"d108_-38_114","Daption_capense",1995,6
"d108_-38_114","Diomedea_exulans",1995,34
"d108_-38_114","Halobaena_caerulea",1995,2
"d108_-38_114","Lugensa_brevirostris",2001,7
"d108_-38_114","Pachyptila_spp.",1995,1
"d108_-38_114","Pachyptila_spp.",2001,3
"d108_-38_114","Pelagodroma_marina",2001,1
"d108_-38_114","Phoebetria_fusca",1995,5
"d108_-38_114","Procellaria_aequinoctialis",1995,66
"d108_-38_114","Procellaria_aequinoctialis",2001,2
"d108_-38_114","Procellaria_aequinoctialis",2002,5
"d108_-38_114","Procellaria_cinerea",1995,1
"d108_-38_114","Pterodroma_lessonii",1995,2
"d108_-38_114","Pterodroma_lessonii",2004,1
"d108_-38_114","Pterodroma_macroptera",2004,13
"d108_-38_114","Puffinus_carneipes",2004,15
"d108_-38_114","Puffinus_griseus",1995,1
"d108_-38_114","Puffinus_griseus",2002,1
"d108_-38_114","Puffinus_spp.",1995,12
"d108_-38_114","Puffinus_spp.",2002,1
"d108_-38_114","Thalassarche_carteri",1995,2
"d108_-38_114","Thalassarche_carteri",2001,1
"d108_-38_114","Thalassarche_carteri",2002,1
"d108_-38_114","Thalassarche_cauta",2002,1
"d108_-38_116","Pterodroma_macroptera",2004,3
"d108_-38_144","Delphinidae_sp.",1982,3
"d108_-38_144","Stercorarius_pomarinus",1981,4
"d108_-38_152","Diomedea_exulans",1985,3
"d108_-38_152","Procellaria_aequinoctialis",1985,44
"d108_-38_152","Pterodroma_lessonii",1985,1
"d108_-38_18","Catharacta_lonnbergi_lonnbergi",1984,1
"d108_-38_18","Daption_capense",1984,18
"d108_-38_18","Diomedea_exulans",1984,25
"d108_-38_18","Pachyptila_spp.",1984,10
"d108_-38_18","Puffinus_spp.",1984,37
"d108_-38_18","Thalassarche_melanophrys",1984,8
"d108_-38_20","Daption_capense",1984,9
"d108_-38_20","Diomedea_exulans",1984,15
"d108_-38_20","Pachyptila_spp.",1984,8
"d108_-38_20","Puffinus_spp.",1984,30
"d108_-38_20","Thalassarche_melanophrys",1984,7
"d108_-38_22","Diomedea_exulans",1985,3
"d108_-38_22","Pachyptila_desolata",1985,1
"d108_-38_22","Procellaria_aequinoctialis",1985,28
"d108_-38_22","Pterodroma_macroptera",1985,1
"d108_-38_22","Pterodroma_mollis",1985,1
"d108_-38_24","Daption_capense",1985,2
"d108_-38_24","Diomedea_exulans",1985,2
"d108_-38_24","Procellaria_aequinoctialis",1985,17
"d108_-38_24","Pterodroma_macroptera",1985,1
"d108_-38_24","Pterodroma_mollis",1985,2
"d108_-38_24","Thalassarche_cauta",1985,1
