"variable","group","meanPropCore","sePropCore","meanPropTrans","sePropTrans","meanMu","seMu","meanBimodal","seBimodal","meanAlpha","seAlpha","meanBeta","seBeta"
"system","Aquatic",0.352341478968064,0.029499254731373,0.527319716268338,0.0215234796610159,0.439648751032708,0.022745579962713,0.62256124501038,0.0268437141641084,0.593023486322279,0.037563439118494,0.657041720770802,0.0633626610168253
"system","Marine",0.160119579399688,0.00992922021508742,0.643731379137938,0.00982778247561209,0.341890964531066,0.00753973318162756,0.25720138341254,0.00843842225747465,2.04077321089588,0.0604005762995204,5.01937852847169,0.219052413549111
"system","Terrestrial",0.290068773095607,0.0271826365345151,0.571570241568617,0.0258963243328763,0.391601566074791,0.0229227719567911,0.420081899081898,0.0179175550960365,1.26464841652321,0.356567938358216,1.30122024581297,0.0707942937760424
"taxa","Arthropod",0.0807312000371816,0.0139608840661668,0.790708830809802,0.0140949993949635,0.238981980900011,0.0128641314637776,0.220920660458606,0.0306875463843403,1.00365366487825,0.100163990627855,2.80658341292137,0.595329395235337
"taxa","Benthos",0.337242958075236,0.0362341319781772,0.534935569059313,0.0349474696460063,0.45648740612582,0.0282756813776216,0.302539000305411,0.0225104631372738,2.30294852919902,0.200837023033339,6.11584036132767,0.899621857451999
"taxa","Bird",0.0850187344320721,0.00685090772896638,0.700134284619781,0.00855349115561532,0.290090323777163,0.00544694080153551,0.193467717423297,0.00568375973148659,2.24716025108751,0.107753246418336,5.38333642218235,0.181193447795908
"taxa","Fish",0.376897250460698,0.0188454959367233,0.463184516322243,0.0171041531869439,0.492484176518663,0.0151705062367323,0.577369337465612,0.0191967420113928,0.851082696528424,0.0482095045673368,0.94219910532924,0.133509401425586
"taxa","Invertebrate",0.640377358490566,0.319622641509434,0.226415094339623,0.226415094339622,0.673423180592992,0.192291105121294,0.241368532847822,0.19145197997269,4.95825432406418,3.82829402352975,1.28141950378243,0.24350605035357
"taxa","Mammal",0.511902531742349,0.0485547169131264,0.391139257386397,0.0320831814257516,0.561894503947428,0.0334208450766854,0.587874739945761,0.0316009474657319,0.990944175525131,0.0957562091651076,0.797472935096806,0.0792696018528317
"taxa","Plankton",0.397554284922448,0.0385316938280865,0.357195529006409,0.0370127237243222,0.552135593270114,0.0253539782128523,0.495247313462981,0.025639317296707,1.18414416914632,0.117189210324412,0.927939447429648,0.153241586934887
"taxa","Plant",0.143491063463522,0.0119140538810157,0.69730745648983,0.0215896652355593,0.271827831432256,0.0160647318377951,0.368892445456397,0.0158673719051167,0.712890775659566,0.0310241410680367,1.51437958826307,0.0654557590500054
