"datasetID","site","threshold","system","taxa","yrs","total_richness","core_richness","trans_richness","prop_core","prop_trans","bimodality","mean"
226,"d226_ew",0.33,"Terrestrial","Bird",30,45,30,10,0.666666666666667,0.222222222222222,0.491002147828907,0.706666666666667
228,"d228_hb",0.33,"Terrestrial","Bird",42,31,16,9,0.516129032258065,0.290322580645161,0.486694427919889,0.601382488479263
228,"d228_mk",0.33,"Terrestrial","Bird",15,29,15,11,0.517241379310345,0.379310344827586,0.658892128279883,0.563218390804598
228,"d228_rp",0.33,"Terrestrial","Bird",15,27,15,10,0.555555555555556,0.37037037037037,0.596938775510204,0.607407407407407
228,"d228_sm",0.33,"Terrestrial","Bird",15,21,9,6,0.428571428571429,0.285714285714286,0.365213358070501,0.625396825396825
232,"d232_5pgrass",0.33,"Terrestrial","Mammal",49,22,6,16,0.272727272727273,0.727272727272727,0.46331209825528,0.293135435992579
232,"d232_5plarrea",0.33,"Terrestrial","Mammal",50,25,5,16,0.2,0.64,0.452760067920418,0.3168
232,"d232_blugrama",0.33,"Terrestrial","Mammal",5,7,4,3,0.571428571428571,0.428571428571429,0.510416666666667,0.6
232,"d232_goatdraw",0.33,"Terrestrial","Mammal",29,15,4,8,0.266666666666667,0.533333333333333,0.385158527696793,0.35632183908046
232,"d232_rsgrass",0.33,"Terrestrial","Mammal",20,20,11,9,0.55,0.45,0.588891966759003,0.5275
232,"d232_rslarrea",0.33,"Terrestrial","Mammal",41,23,6,13,0.260869565217391,0.565217391304348,0.422452651515152,0.406150583244963
232,"d232_savanna",0.33,"Terrestrial","Mammal",7,13,6,3,0.461538461538462,0.230769230769231,0.275132275132275,0.571428571428571
232,"d232_two22",0.33,"Terrestrial","Mammal",20,20,5,13,0.25,0.65,0.549695290858726,0.365
234,"d234_pm",0.33,"Terrestrial","Mammal",82,18,9,10,0.5,0.555555555555556,0.677488187776254,0.489837398373984
236,"d236_1",0.33,"Terrestrial","Mammal",68,11,6,5,0.545454545454545,0.454545454545455,0.620494542214302,0.53475935828877
236,"d236_10",0.33,"Terrestrial","Mammal",68,11,7,5,0.636363636363636,0.454545454545455,0.591044776119403,0.544117647058823
