"site","N","h","nr","nl","Pc","Pr","Pl","bimodality"
"d246_10",49,0.333333333333333,20,24,2.20443250516541e-05,0.168217877511555,0.016735095073328,"bimodal"
"d246_11",44,0.333333333333333,19,19,0.000477023280514038,0.111426162263998,0.111426162263998,"bimodal"
"d246_12",46,0.333333333333333,21,18,0.000788994317206158,0.0554219721954854,0.246176170602575,"bimodal"
"d246_13",50,0.333333333333333,23,21,7.71341761783498e-05,0.042388707015653,0.125923896595507,"bimodal"
"d246_14",37,0.333333333333333,8,25,3.75322943550443e-06,0.958591344074544,2.16986310055155e-05,"not bimodal"
"d246_15",43,0.333333333333333,14,26,1.18836780242863e-06,0.599523584887853,0.000241301532476465,"not bimodal"
"d246_16",44,0.333333333333333,13,28,3.24995161139025e-07,0.752616893619676,3.78335123958227e-05,"not bimodal"
"d246_5",48,0.333333333333333,18,22,0.00124955507314697,0.318404666886905,0.0484568601217283,"weakly bimodal"
"d246_6",42,0.333333333333333,23,15,2.41417007800002e-05,0.00343280616768788,0.42810622222207,"weakly bimodal"
"d246_7",56,0.333333333333333,26,24,1.22292522466734e-05,0.0284540258734275,0.0870684855472577,"bimodal"
"d246_1",46,0.333333333333333,23,18,5.08639708115346e-05,0.014198108726687,0.246176170602575,"bimodal"
"d246_3",50,0.333333333333333,25,20,1.45797372169249e-05,0.0108266844488159,0.196413864788917,"bimodal"
"d246_26",47,0.333333333333333,20,22,4.74117500569511e-05,0.118856917641424,0.037896851493774,"bimodal"
"d246_27",40,0.333333333333333,21,12,0.00139156348093836,0.00955172718307249,0.726477864936403,"not bimodal"
"d246_28",52,0.333333333333333,22,23,0.000161230803195531,0.111378347603218,0.0664193779906811,"bimodal"
"d246_29",42,0.333333333333333,20,16,0.000688439821084333,0.038367842133094,0.307070658322404,"weakly bimodal"
"d246_30",31,0.333333333333333,17,10,0.000777524337189073,0.0110802279452437,0.616831912101638,"not bimodal"
"d246_31",32,0.333333333333333,16,8,0.0199273806057071,0.0376533359151629,0.88467338804558,"not bimodal"
"d246_32",41,0.333333333333333,17,17,0.00333937397269906,0.17333716696005,0.17333716696005,"bimodal"
"d246_33",36,0.333333333333333,17,13,0.0034943739287617,0.0583806919189034,0.422462524977215,"weakly bimodal"
"d246_34",35,0.333333333333333,18,12,0.00109969192918469,0.0204242358457774,0.5157355327865,"not bimodal"
"d246_35",40,0.333333333333333,12,23,8.3754924335509e-05,0.726477864936403,0.00144558649213073,"not bimodal"
"d246_36",40,0.333333333333333,8,23,0.000927747359557685,0.97889607382442,0.00144558649213073,"not bimodal"
"d246_37",41,0.333333333333333,17,19,0.000304801132404371,0.17333716696005,0.057124908423245,"bimodal"
"d246_22",43,0.333333333333333,20,16,0.00160659579897415,0.0497851868314468,0.347415846288959,"weakly bimodal"
"d246_23",44,0.333333333333333,21,16,0.00110349404853534,0.0334203260971412,0.388721633969004,"weakly bimodal"
"d246_24",39,0.333333333333333,20,9,0.0095677301240389,0.0154962303564298,0.940860453307047,"not bimodal"
"d246_25",40,0.333333333333333,22,13,0.000145145182111401,0.00389029558939888,0.603122804167579,"not bimodal"
"d246_21",38,0.333333333333333,19,9,0.0151121375859545,0.0246416198539025,0.92790326390003,"not bimodal"
"d249_ME",54,0.333333333333333,13,30,0.000242065964137781,0.947269597498301,0.00064443468507043,"not bimodal"
"d249_TB",3,0.333333333333333,1,2,0.111111111111111,0.703703703703704,0.259259259259259,"not bimodal"
"d249_TR",53,0.333333333333333,19,29,2.62693324125021e-06,0.398286813234641,0.0010940922540364,"weakly bimodal"
"d249_AL",46,0.333333333333333,18,24,9.47636313291786e-06,0.246176170602575,0.00640531790082714,"bimodal"
"d249_BM",40,0.333333333333333,14,20,0.000910054226887357,0.470278892570385,0.0214407335297871,"weakly bimodal"
"d249_SP",37,0.333333333333333,10,20,0.00200819377751856,0.838396363391031,0.00749401454614112,"not bimodal"
"d249_CR",28,0.333333333333333,5,19,9.1546609478718e-05,0.978894265871645,0.000197194449610077,"not bimodal"
"d249_CB",1,0.333333333333333,1,0,0.333333333333333,0.333333333333333,1,"not bimodal"
"d249_FI",34,0.333333333333333,13,19,1.47734606911985e-05,0.329855752937996,0.00564981938842801,"weakly bimodal"
"d249_MO",50,0.333333333333333,19,22,0.00219282052620107,0.287368662457834,0.075573919314499,"weakly bimodal"
"d249_WI",40,0.333333333333333,14,23,6.85002845130482e-06,0.470278892570385,0.00144558649213073,"weakly bimodal"
"d250_BCA",5,0.333333333333333,3,2,0.0411522633744856,0.209876543209877,0.539094650205761,"not bimodal"
"d250_BCB",11,0.333333333333333,6,5,0.00260800352249826,0.122085048010974,0.288997273450863,"weakly bimodal"
"d250_CC",14,0.333333333333333,6,6,0.0295987701362898,0.310192476681325,0.310192476681325,"weakly bimodal"
"d252_B",13,0.333333333333333,4,6,0.0978553279354309,0.677575999342668,0.241308066182323,"not bimodal"
