,datasetID,site,system,taxa,nTime,spRichTotal,spRichCore,spRichTrans,propCore,propCore_pVal,propTrans,propTrans_pVal,meanAbundance,mu,bimodality,pBimodal,alpha,beta
1,33, L4_Station_English_Channel_10L_sample_at_10m_subsample_analyzed ,Marine,Plankton,18,157,66,25,0.420382166,0.022,0.159235669,0.868,18003537.56,0.613941967,0.449412573,0.052,0.904709853,0.514926868
2,41,censusbreedingbirdsNeotoma,Terrestrial,Bird,10,56,35,8,0.625,0.08,0.142857143,0.448,115.1,0.746428571,0.486709499,0.104,1.061736358,0.372732524
3,46,Skokholm,Terrestrial,Bird,47,29,7,14,0.24137931,0.57,0.482758621,0.061,186.3617021,0.387380778,0.623958052,0.002,0.481219252,0.569833385
4,47,Lousana,Terrestrial,Bird,9,13,13,0,1,0.021,0,0.999,367,0.974358974,0.020833333,0.966,29.63729153,1.999183993
5,47,Redvers,Terrestrial,Bird,26,13,9,1,0.692307692,0.054,0.076923077,0.855,276.7692308,0.822485207,0.335314286,0.299,2.010620429,0.600284296
6,70, Belgium ,Terrestrial,Invertebrate,14,25,21,0,0.84,0.013,0,0.999,25364.78571,0.865714286,0.049916553,0.988,8.786844869,1.524960416
7,207,Toolik_B1,Terrestrial,Plant,6,17,6,8,0.352941176,0.469,0.470588235,0.17,128.7396,0.480392157,0.791111111,0.025,0.774926175,0.662589911
8,207,Toolik_B2,Terrestrial,Plant,6,14,6,5,0.428571429,0.375,0.357142857,0.327,112.9118333,0.55952381,0.859591837,0.012,0.830525727,0.569749836
9,207,Toolik_B3,Terrestrial,Plant,6,15,6,7,0.4,0.61,0.466666667,0.153,100.0701667,0.522222222,0.897142857,0.03,0.753080651,0.568813576
10,207,Toolik_B4,Terrestrial,Plant,6,15,6,6,0.4,0.584,0.4,0.337,130.2425,0.533333333,0.861428571,0.023,0.790056361,0.577925039
11,208,CF,Terrestrial,Invertebrate,6,13,3,7,0.230769231,0.663,0.538461538,0.16,120.1666667,0.41025641,0.659047619,0.082,0.850795845,0.915322603
12,208,DF,Terrestrial,Invertebrate,7,10,2,5,0.2,0.66,0.5,0.132,106.2857143,0.371428571,0.515555556,0.134,1.06742618,1.44254438
13,208,SF,Terrestrial,Invertebrate,6,12,0,5,0,0.999,0.416666667,0.176,105.8333333,0.402777778,0.278888889,0.653,2.352481327,3.379521668
14,208,T1,Terrestrial,Invertebrate,11,17,3,7,0.176470588,0.697,0.411764706,0.046,180.9090909,0.379679144,0.407222222,0.3,1.035015307,1.419201731
15,208,T2,Terrestrial,Invertebrate,10,16,4,4,0.25,0.645,0.25,0.443,228.6,0.43125,0.368634259,0.427,1.402761341,1.74377984
16,208,T3,Terrestrial,Invertebrate,9,17,5,7,0.294117647,0.634,0.411764706,0.185,185.5555556,0.418300654,0.527777778,0.126,0.959178258,1.147523115
17,208,T4,Terrestrial,Invertebrate,7,13,2,5,0.153846154,0.999,0.384615385,0.139,173,0.417582418,0.455026455,0.286,1.219768293,1.481715386
18,208,T5,Terrestrial,Invertebrate,21,19,4,10,0.210526316,0.781,0.526315789,0.014,154.7142857,0.330827068,0.360444444,0.401,0.979920344,1.766132122
19,208,T6,Terrestrial,Invertebrate,13,16,3,8,0.1875,0.83,0.5,0.144,184.8461538,0.394230769,0.440538194,0.173,0.995850666,1.256220923
20,208,T7,Terrestrial,Invertebrate,22,19,5,9,0.263157895,0.616,0.473684211,0.015,186.7272727,0.389952153,0.482842026,0.042,0.772117781,0.963943046
21,210,maxgrain_A,Terrestrial,Plant,23,91,13,48,0.142857143,0.933,0.527472527,0.002,9992.285526,0.344481605,0.426757696,0.127,0.612306554,0.945114321
22,210,maxgrain_B,Terrestrial,Plant,24,93,24,47,0.258064516,0.468,0.505376344,0.029,11832.15837,0.409050179,0.597332513,0.004,0.497898278,0.551995825
23,210,maxgrain_C,Terrestrial,Plant,30,110,31,51,0.281818182,0.423,0.463636364,0.049,15492.55743,0.436969697,0.623789467,0,0.475457208,0.497314367
24,213,e1q1-1,Terrestrial,Plant,38,23,2,17,0.086956522,0.879,0.739130435,0.007,77.78947368,0.202517162,0.357250371,0.186,0.577198579,1.669236931
25,213,e1q1-2,Terrestrial,Plant,37,27,2,21,0.074074074,0.946,0.777777778,0,75.54054054,0.182182182,0.228844458,0.669,0.733272448,2.543907562
26,213,e1q1-3,Terrestrial,Plant,39,28,2,21,0.071428571,0.968,0.75,0,71.28205128,0.195054945,0.234732744,0.763,0.754665919,2.50745563
27,213,e1q1a-1,Terrestrial,Plant,40,28,2,22,0.071428571,0.943,0.785714286,0.001,76.75,0.180357143,0.297427847,0.418,0.578029652,1.820787355
28,213,e1q1a-2,Terrestrial,Plant,40,30,3,22,0.1,0.855,0.733333333,0.008,71.9,0.193333333,0.308557236,0.361,0.587384361,1.846863045
29,213,e1q1a-3,Terrestrial,Plant,39,38,3,30,0.078947368,0.845,0.789473684,0.001,84.02564103,0.174089069,0.284175229,0.403,0.540169232,1.703007342
30,213,e1q2-1,Terrestrial,Plant,29,26,2,19,0.076923077,0.95,0.730769231,0.006,69.10344828,0.190981432,0.250090569,0.672,0.677387191,1.985018712
31,213,e1q2-2,Terrestrial,Plant,30,36,1,27,0.027777778,0.982,0.75,0.003,61.03333333,0.167592593,0.210460064,0.705,0.656651443,2.263149463
32,213,e1q2-3,Terrestrial,Plant,30,29,1,23,0.034482759,0.975,0.793103448,0.004,68.86666667,0.189655172,0.316618538,0.249,0.565887666,1.674006959
33,213,e1q2-4,Terrestrial,Plant,30,17,2,10,0.117647059,0.85,0.588235294,0.064,69.73333333,0.303921569,0.499669705,0.076,0.570529703,0.975573429
34,213,e1q2-5,Terrestrial,Plant,30,20,3,14,0.15,0.718,0.7,0.022,76.86666667,0.256666667,0.475671819,0.05,0.517332727,1.01960998
35,213,e1q2-6,Terrestrial,Plant,30,25,1,21,0.04,0.943,0.84,0.004,52.5,0.174666667,0.281746395,0.368,0.598217898,1.846048818
36,213,e1q2-7,Terrestrial,Plant,28,20,4,14,0.2,0.493,0.7,0.008,65.10714286,0.271428571,0.450699588,0.095,0.637905806,1.383914412
