"site","threshold","core.prop","coreP","trans.prop","transP"
"d33_ L4_Station_English_Channel_10L_sample_at_10m_subsample_analyzed ",0.333333333333333,0.511904761904762,0.003996003996004,0.291666666666667,0.384615384615385
"d39_ time_transect ",0.333333333333333,0.655172413793103,0.152847152847153,0.241379310344828,0.520479520479521
"d41_ censusbreedingbirds_Neotoma ",0.333333333333333,0.696428571428571,0.0649350649350649,0.196428571428571,0.548451548451548
"d46",0.333333333333333,0.275862068965517,0.695304695304695,0.655172413793103,0.016983016983017
"d47_ Redvers",0.333333333333333,0.769230769230769,0.0679320679320679,0.0769230769230769,0.956043956043956
"d47_ Lousana",0.333333333333333,1,0.0599400599400599,0,0.999000999000999
"d70_ Belgium ",0.333333333333333,0.96,0.001998001998002,0,0.999000999000999
"d78_BalticSea_Moni030",0.333333333333333,0.0909090909090909,0.996003996003996,0.777777777777778,0
"d78_BalticSea_Moni152",0.333333333333333,0.183673469387755,0.905094905094905,0.571428571428571,0.105894105894106
"d78_BalticSea_Moni109",0.333333333333333,0.0909090909090909,0.985014985014985,0.75,0.003996003996004
"d78_BalticSea_Moni121",0.333333333333333,0.258064516129032,0.631368631368631,0.516129032258065,0.188811188811189
"d78_BalticSea_Moni213",0.333333333333333,0,0.999000999000999,0.947368421052632,0.00699300699300699
"d78_BalticSea_Moni010",0.333333333333333,0.0692307692307692,0.993006993006993,0.730769230769231,0.000999000999000999
"d78_BalticSea_Moni012",0.333333333333333,0.0875,0.982017982017982,0.825,0
"d78_BalticSea_Moni113",0.333333333333333,0.16,0.797202797202797,0.64,0.034965034965035
"d78_BalticSea_Moni044",0.333333333333333,0.164556962025316,0.759240759240759,0.734177215189873,0.00999000999000999
"d78_BalticSea_Moni018",0.333333333333333,0.246153846153846,0.727272727272727,0.584615384615385,0.003996003996004
"d87_Oosterschelde_Netherlands_51.4926_4.1275",0.333333333333333,0.456310679611651,0.435564435564436,0.320388349514563,0.552447552447552
"d87_Oosterschelde_Netherlands_51.6059_3.6966",0.333333333333333,0.536082474226804,0,0.34020618556701,0
"d108_-34_112",0.333333333333333,0,0.999000999000999,0.952380952380952,0
"d108_-34_114",0.333333333333333,0,0.999000999000999,0.8125,0.038961038961039
"d108_-36_110",0.333333333333333,0.0769230769230769,0.942057942057942,0.846153846153846,0
"d108_-40_106",0.333333333333333,0,0.999000999000999,0.823529411764706,0.202797202797203
"d108_-44_138",0.333333333333333,0.0625,0.999000999000999,0.625,0.195804195804196
"d108_-44_140",0.333333333333333,0.157894736842105,0.999000999000999,0.473684210526316,0.197802197802198
