"datasetID","site","TJ","TJnotrans"
33," L4_Station_English_Channel_10L_sample_at_10m_subsample_analyzed ",5.40143181570065e-06,4.96243974785634e-06
41,"censusbreedingbirdsNeotoma",0,0
46,"Skokholm",0.0403361344537815,0.0466472303206997
47,"Lousana",0.03,0.03
47,"Redvers",0.0222496909765142,0.0222496909765142
70," Belgium ",0.000217417299894553,0.000217417299894553
207,"Toolik_B1",0,0
207,"Toolik_B2",0,0
207,"Toolik_B3",0,0
207,"Toolik_B4",0,0
208,"CF",0.0248756218905473,0.0213903743315508
208,"DF",0.0193704600484262,0.0156657963446475
208,"SF",0.0476190476190476,0.0423280423280423
208,"T1",0,0
208,"T2",0,0
208,"T3",0,0
208,"T4",0,0
208,"T5",0.0457142857142857,0.1
208,"T6",0.0215982721382289,0.0284697508896797
208,"T7",0.0347593582887701,0.0470588235294118
210,"maxgrain_A",0.00153808478374866,0.00153999992223
210,"maxgrain_B",0,0
210,"maxgrain_C",0.00215260801206367,0.00212511469157837
213,"e1q1-1",0.0776699029126214,0.0487804878048781
213,"e1q1-2",0.0895522388059701,0.0816326530612245
213,"e1q1-3",0.166666666666667,0.162162162162162
213,"e1q1a-1",0.0792079207920792,0.0759493670886076
213,"e1q1a-2",0.185185185185185,0.153846153846154
213,"e1q1a-3",0.135922330097087,0.102564102564103
213,"e1q2-1",0.0661157024793388,0.0493827160493827
213,"e1q2-2",0.168674698795181,0.122448979591837
213,"e1q2-3",0.100840336134454,0.103896103896104
213,"e1q2-4",0.0975609756097561,0.0869565217391304
213,"e1q2-5",0.113636363636364,0.10958904109589
213,"e1q2-6",0.050251256281407,0.181818181818182
213,"e1q2-7",0.0697674418604651,0.0845070422535211
213,"e1q2-8",0.181818181818182,0.210526315789474
213,"e1q3-1",0.175438596491228,0.173913043478261
213,"e1q3-2",0.0747663551401869,0.0923076923076923
213,"e1q3-3",0.12962962962963,0.178571428571429
213,"e1q3a-1",0.2,0.242424242424242
213,"e1q3a-2",0.131868131868132,0.142857142857143
213,"e1q3a-3",0.0892857142857143,0.0961538461538462
213,"e1q4-1",0,0
213,"e1q4-2",0.0473372781065089,0.0365853658536585
213,"e1q4a-1",0.0618556701030928,0.0591715976331361
213,"e1q4a-2",0.0375586854460094,0.043010752688172
213,"e1q5-1",0.192307692307692,0.192307692307692
213,"e1q5-2",0.0634920634920635,0.102564102564103
213,"e1q5-3",0.0759493670886076,0.0689655172413793
213,"e1q5-4",0.0631578947368421,0.0459770114942529
213,"e2q2-1",0.106666666666667,0.137931034482759
213,"e2q2-2",0.166666666666667,0.184615384615385
213,"e2q2-3",0.19672131147541,0.172413793103448
213,"e2q2-4",0.181818181818182,0.16
213,"e2q3-1",0.133333333333333,0.122448979591837
213,"e2q3-2",0.166666666666667,0.148148148148148
213,"e2q3a-1",0.24,0.315789473684211
213,"e2q3a-2",0.105263157894737,0.096
213,"e2qa-1",0.0269360269360269,0.121212121212121
213,"e2qa-2",0.1,0.1
213,"e2qa-3",0.0552486187845304,0.0602409638554217
213,"e2qa-4",0.0520833333333333,0.046875
213,"e2qa-5",0.0628930817610063,0.0535714285714286
213,"e2qo-1",0,0
213,"e2qo-10",0.0606060606060606,0.0517241379310345
213,"e2qo-2",0.0253164556962025,0.0253164556962025
213,"e2qo-3",0.0421052631578947,0.0714285714285714
213,"e2qo-4",0.147368421052632,0.138888888888889
213,"e2qo-5",0.0323886639676113,0.0530973451327434
213,"e2qo-6",0.0727272727272727,0.0879120879120879
213,"e2qo-7",0.0560747663551402,0.0625
213,"e2qo-8",0.0727272727272727,0.0792079207920792
213,"e2qo-9",0.0824742268041237,0.0759493670886076
217,"a",0,0
217,"b",0.0163181551690444,0.015567269323612
217,"c",0.0156157925751326,0.0150428027116631
217,"d",0.0163537250151423,0.015796178343949
218,"A_1",0.4,0.428571428571429
218,"A_10",0.677966101694915,0.693877551020408
218,"A_2",0.631578947368421,0.666666666666667
218,"A_3",0.707692307692308,0.754098360655738
218,"A_4",0.657534246575342,0.705882352941177
218,"A_5",0.611764705882353,0.675324675324675
218,"A_6",0.509803921568627,0.565217391304348
218,"A_7",0.638888888888889,0.707692307692308
218,"A_8",0.746268656716418,0.754098360655738
218,"A_9",0.509803921568627,0.590909090909091
218,"B_0",0.697674418604651,0.769230769230769
218,"B_1",0.676470588235294,0.793103448275862
218,"B_2",0.618181818181818,0.723404255319149
218,"B_3",0.666666666666667,0.73015873015873
218,"B_4",0.526315789473684,0.608695652173913
218,"B_5",0.653846153846154,0.723404255319149
218,"B_6",0.461538461538462,0.545454545454545
218,"B_7",0.714285714285714,0.745098039215686
218,"B_8",0.653846153846154,0.727272727272727
218,"C_1",0.763636363636364,0.792452830188679
218,"C_2",0.60377358490566,0.653061224489796
218,"C_3",0.529411764705882,0.580645161290323
218,"C_4",0.524590163934426,0.571428571428571
218,"C_5",0.622222222222222,0.736842105263158
218,"C_6",0.692307692307692,0.723404255319149
218,"C_7",0.636363636363636,0.736842105263158
218,"C_8",0.476190476190476,0.555555555555556
218,"D_1",0.571428571428571,0.625
218,"D_2",0.758620689655172,0.814814814814815
218,"D_3",0.647058823529412,0.6875
218,"D_4",0.636363636363636,0.689655172413793
218,"D_5",0.557377049180328,0.641509433962264
218,"D_6",0.535714285714286,0.566037735849057
218,"D_7",0.678571428571429,0.678571428571429
218,"D_8",0.655737704918033,0.730769230769231
218,"E_1",0.76,0.782608695652174
218,"E_2",0.692307692307692,0.76056338028169
218,"E_3",0.656716417910448,0.733333333333333
218,"E_4",0.684931506849315,0.78125
