"number","datasetID","site","SAD_excl","Non_trans","combo","weights","treatment"
10,1,"11003",0.452371472835238,42,"1_11003",0.452371472835238,"Null"
10,1,"11033",0.907602328501262,51,"1_11033",0.907602328501262,"Null"
10,1,"11045",0.0427806025346214,63,"1_11045",0.0427806025346214,"Null"
10,1,"11074",0.70762717898093,63,"1_11074",0.70762717898093,"Null"
10,1,"11081",0.139369123612699,49,"1_11081",0.139369123612699,"Null"
10,1,"11085",0.930224822237476,47,"1_11085",0.930224822237476,"Null"
10,1,"11126",0.81933349124207,45,"1_11126",0.81933349124207,"Null"
10,1,"11208",0.779753927190965,79,"1_11208",0.779753927190965,"Null"
10,1,"11222",0.799422745693872,54,"1_11222",0.799422745693872,"Null"
10,1,"11223",0.98618060726328,65,"1_11223",0.98618060726328,"Null"
10,1,"11234",0.935258878702296,56,"1_11234",0.935258878702296,"Null"
10,1,"11244",0.935036393473463,58,"1_11244",0.935036393473463,"Null"
10,1,"11255",0.9653456724091,55,"1_11255",0.9653456724091,"Null"
10,1,"11402",0.973347003827544,50,"1_11402",0.973347003827544,"Null"
10,1,"11413",0.252881487829081,56,"1_11413",0.252881487829081,"Null"
10,1,"11608",0.255049311853593,75,"1_11608",0.255049311853593,"Null"
10,1,"14005",0.93898213495288,73,"1_14005",0.93898213495288,"Null"
10,1,"14006",0.970950489475635,68,"1_14006",0.970950489475635,"Null"
10,1,"14014",0.976210389214879,63,"1_14014",0.976210389214879,"Null"
10,1,"14016",0.0350131021823528,23,"1_14016",0.0350131021823528,"Null"
10,1,"14018",0.318015114295603,43,"1_14018",0.318015114295603,"Null"
10,1,"14021",0.846663068088196,50,"1_14021",0.846663068088196,"Null"
10,1,"14059",0.609316103518975,20,"1_14059",0.609316103518975,"Null"
10,1,"14071",0.03265536246126,77,"1_14071",0.03265536246126,"Null"
10,1,"14080",0.68039161081218,38,"1_14080",0.68039161081218,"Null"
10,1,"14082",0.869880173506936,63,"1_14082",0.869880173506936,"Null"
10,1,"14083",0.991338745780648,66,"1_14083",0.991338745780648,"Null"
10,1,"14089",0.674769463919072,31,"1_14089",0.674769463919072,"Null"
10,1,"14098",0.747246500558848,65,"1_14098",0.747246500558848,"Null"
10,1,"14106",0.943384142068839,61,"1_14106",0.943384142068839,"Null"
10,1,"14108",0.995216801824155,64,"1_14108",0.995216801824155,"Null"
10,1,"14140",0.0768493517614299,22,"1_14140",0.0768493517614299,"Null"
10,1,"14153",0.97926469152662,64,"1_14153",0.97926469152662,"Null"
10,1,"14155",0.629004939315218,48,"1_14155",0.629004939315218,"Null"
10,1,"14156",0.997581235215687,64,"1_14156",0.997581235215687,"Null"
10,1,"14160",0.996126755982225,61,"1_14160",0.996126755982225,"Null"
10,1,"14175",0.849648761068698,57,"1_14175",0.849648761068698,"Null"
10,1,"14182",0.485391833547695,63,"1_14182",0.485391833547695,"Null"
10,1,"14186",0.945617317888286,63,"1_14186",0.945617317888286,"Null"
10,1,"14188",0.996233096743416,59,"1_14188",0.996233096743416,"Null"
10,1,"14189",0.0248633881571307,75,"1_14189",0.0248633881571307,"Null"
10,1,"14190",0.993794924288111,62,"1_14190",0.993794924288111,"Null"
10,1,"14193",0.942668086274919,63,"1_14193",0.942668086274919,"Null"
10,1,"14198",0.367188780140075,61,"1_14198",0.367188780140075,"Null"
10,1,"14419",0.955487852784118,47,"1_14419",0.955487852784118,"Null"
10,1,"14420",0.802776029407693,42,"1_14420",0.802776029407693,"Null"
10,1,"14422",0.944011218613146,62,"1_14422",0.944011218613146,"Null"
10,1,"14434",0.941431997468297,48,"1_14434",0.941431997468297,"Null"
10,1,"14435",0.28892259324544,53,"1_14435",0.28892259324544,"Null"
10,1,"14907",0.000124868135112662,22,"1_14907",0.000124868135112662,"Null"
10,1,"17004",0.022399134975966,42,"1_17004",0.022399134975966,"Null"
10,1,"17009",0.599508468311221,60,"1_17009",0.599508468311221,"Null"
10,1,"17011",0.996586142309574,57,"1_17011",0.996586142309574,"Null"
10,1,"17012",0.00181017873586717,39,"1_17012",0.00181017873586717,"Null"
10,1,"17013",0.901785253917598,24,"1_17013",0.901785253917598,"Null"
10,1,"17017",0.958326803629162,69,"1_17017",0.958326803629162,"Null"
10,1,"17019",0.0531006914799239,26,"1_17019",0.0531006914799239,"Null"
10,1,"17031",0.548072087279323,52,"1_17031",0.548072087279323,"Null"
10,1,"17037",0.609364845195249,31,"1_17037",0.609364845195249,"Null"
10,1,"17040",0.714090029572671,44,"1_17040",0.714090029572671,"Null"
10,1,"17044",0.00307622891603171,30,"1_17044",0.00307622891603171,"Null"
10,1,"17046",0.985683294470301,63,"1_17046",0.985683294470301,"Null"
10,1,"17047",6.71551883019542e-05,40,"1_17047",6.71551883019542e-05,"Null"
10,1,"17052",0.411002970288325,49,"1_17052",0.411002970288325,"Null"
10,1,"17055",0.479627705821623,37,"1_17055",0.479627705821623,"Null"
10,1,"17202",0.266381697266392,43,"1_17202",0.266381697266392,"Null"
10,1,"17203",0.893183578938928,54,"1_17203",0.893183578938928,"Null"
10,1,"17207",0.620750935640391,27,"1_17207",0.620750935640391,"Null"
10,1,"17209",0.847128076040358,55,"1_17209",0.847128076040358,"Null"
10,1,"17217",0.611490564555951,44,"1_17217",0.611490564555951,"Null"
10,1,"17221",0.0213421093800574,33,"1_17221",0.0213421093800574,"Null"
10,1,"17222",0.947407773156073,61,"1_17222",0.947407773156073,"Null"
10,1,"17228",0.898555317623614,28,"1_17228",0.898555317623614,"Null"
10,1,"17301",0.605767317304534,40,"1_17301",0.605767317304534,"Null"
10,1,"17302",0.94936753672163,40,"1_17302",0.94936753672163,"Null"
10,1,"17303",0.912291406993342,49,"1_17303",0.912291406993342,"Null"
10,1,"17305",0.00525205102138197,34,"1_17305",0.00525205102138197,"Null"
10,1,"17309",0.289489236873188,53,"1_17309",0.289489236873188,"Null"
10,1,"17312",0.7526039880338,32,"1_17312",0.7526039880338,"Null"
10,1,"17315",0.0341033309616592,44,"1_17315",0.0341033309616592,"Null"
10,1,"17318",0.763378619367586,64,"1_17318",0.763378619367586,"Null"
10,1,"17322",0.944561731281953,47,"1_17322",0.944561731281953,"Null"
10,1,"17359",6.17410974660049e-05,76,"1_17359",6.17410974660049e-05,"Null"
10,1,"17362",0.0666471973845245,49,"1_17362",0.0666471973845245,"Null"
10,1,"17367",0.807218335141479,47,"1_17367",0.807218335141479,"Null"
