number,datasetID,site,system,taxa,nTime,spRichTotal,spRichCore,spRichTrans,propCore,propCore_pVal,propTrans,propTrans_pVal,meanAbundance,mu,bimodality,pBimodal,alpha,beta
33,1,14097,Terrestrial,Bird,15,73,47,18,0.643835616,0.090909091,0.246575342,0.523476523,751.8,0.695890411,0.61682601,0.001998002,0.725952422,0.326241777
34,1,14098,Terrestrial,Bird,15,76,57,15,0.75,0.011988012,0.197368421,0.448551449,892.8666667,0.781578947,0.465949884,0.04995005,1.012650126,0.310726655
35,1,14108,Terrestrial,Bird,15,72,53,12,0.736111111,0.071928072,0.166666667,0.607392607,857.2,0.780555556,0.493445295,0.020979021,0.909970106,0.298289324
36,1,14140,Terrestrial,Bird,15,30,15,11,0.5,0.21978022,0.366666667,0.431568432,758.6666667,0.588888889,0.669501134,0.002997003,0.702979545,0.475449389
37,1,14153,Terrestrial,Bird,15,75,53,17,0.706666667,0.085914086,0.226666667,0.396603397,1059.4,0.749333333,0.557835225,0.007992008,0.801245728,0.295866827
38,1,14155,Terrestrial,Bird,15,59,35,14,0.593220339,0.076923077,0.237288136,0.57042957,1555.866667,0.668926554,0.523821253,0.018981019,0.848963739,0.39972338
39,1,14159,Terrestrial,Bird,15,53,32,16,0.603773585,0.262737263,0.301886792,0.330669331,1320.266667,0.685534591,0.671303564,0,0.698155203,0.321991362
40,1,14164,Terrestrial,Bird,15,78,47,20,0.602564103,0.064935065,0.256410256,0.501498501,424.6666667,0.682905983,0.541175247,0.015984016,0.825671216,0.368449601
41,1,14166,Terrestrial,Bird,15,59,39,11,0.661016949,0.185814186,0.186440678,0.626373626,3713.666667,0.733333333,0.550140746,0.010989011,0.83077659,0.324207142
42,1,14168,Terrestrial,Bird,15,98,63,26,0.642857143,0.120879121,0.265306122,0.44955045,1481,0.702040816,0.634404032,0,0.676438069,0.291648653
43,1,14186,Terrestrial,Bird,15,73,51,16,0.698630137,0,0.219178082,0.645354645,749.4,0.730593607,0.487336827,0.058941059,0.923646812,0.356901654
44,1,14188,Terrestrial,Bird,15,85,44,25,0.517647059,0.18981019,0.294117647,0.482517483,591.6666667,0.632156863,0.598215698,0.003996004,0.692253373,0.372537599
45,1,14189,Terrestrial,Bird,15,79,60,11,0.759493671,0.048951049,0.139240506,0.7002997,976,0.815189873,0.407685767,0.072927073,1.141684448,0.298434752
