Dataset Name,Link,System,Taxa,Number of Sites,Number of Years,Number of Species,Raw Spatial Grain,Raw Spatial Grain Unit,Spatial Subsamples,Grain of Analysis,Multiscale,Citation,,Dataset ID
Mosquitoes of North America with emphasis in the midwestern United States: long-term occurrence patterns. Ecology 94:1433.,http://esapubs.org/archive/ecol/E094/126/,Terrestrial,Invertebrate,13,37,28,1000,m2,1,1000,N,Hellmann et al. 2013,,247
SBC LTER: Reef: Kelp Forest Community Dynamics: Fish abundance,https://portal.lternet.edu/nis/mapbrowse?packageid=knb-lter-sbc.17.27,Marine,Fish,39,13,58,80,m2,1,80,Y,"Reed, 2013",,248
Stream fish assemblage stability in a southern Appalachian stream at the Coweeta Hydrologic Laboratory from 1984 to 1995,https://portal.lternet.edu/nis/mapbrowse?packageid=knb-lter-cwt.3047.13,Freshwater,Fish,2,10,14,30,m,1,30,N,"Grossman,  2007",,250
Sevilleta LTER arthropod data,https://portal.lternet.edu/nis/mapbrowse?packageid=knb-lter-sev.29.175390,Terrestrial,Invertebrate,42,12,365,10,m2,1,10,Y,"Lightfoot, 2010", acknowledgement ,252
Portal Rodents,http://esapubs.org/archive/ecol/E090/118/metadata.htm,Terrestrial,Mammal,1,15,21,0.25,ha,11,2.75,Y,Ernest et al. 2009,,254
Hinkley Point fish,http://www.nature.com/nature/journal/v422/n6933/full/nature01547.html,Marine,Fish,1,21,80,NA,NA,NA,NA,N,"Magurran & Henderson, 2003",,255
Ireland amphipods,http://www.sciencedirect.com/science/article/pii/0022098196000305,Marine,Invertebrate,1,12*,27,146,cm2,NA,NA,N,"Costello & Myers,  1996",,257
"2003 Prescribed Burn Effect on Chihuahuan Desert Grasses and Shrubs at the Sevilleta National Wildlife Refuge, New Mexico: Species Composition Study (2004- ) ",http://sev.lternet.edu/data/sev-166,Terrestrial,Plant,16,9,147,2500,cm2,48,120000,Y,"Muldavin and Collins, 2016", acknowledgement ,258
"Portal Plants, winter",http://esapubs.org/archive/ecol/E090/118/metadata.htm,Terrestrial,Plant,1,14,95,0.0625,m2,384,24,Y,Ernest et al. 2009,,259
Mediterranean tintinnid ciliates,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2699.2008.02046.x/abstract,Marine,Plankton,1,18*,49,10,L,NA,NA,N,Dolan et al. 2009,,260
Indiana stream fish assemblage,http://www.jstor.org/stable/2461070?seq=1#page_scan_tab_contents,Freshwater,Fish,1,12,49,2760,m2,1,2760,N,Grossman et al. 1982,,261
Farne Island birds,http://www.jstor.org/stable/1744518,Terrestrial,Bird,1,29,16,32,ha,1,32,N,"Diamond and May, 1977",,263
Bialowieza National Park bird assemblage,http://www.bioone.org/doi/abs/10.3161/000164510X551354,Terrestrial,Bird,7,40,84,27,ha,1,27,N,Weso?owski et al. 2010 ,,264
"Species trends, turnover and composition of a woodland bird community in southern Sweden during a period of 57 years",https://www.researchgate.net/profile/Soeren_Svensson/publication/283248722_Species_trends_turnover_and_composition_of_a_woodland_bird_community_in_southern_Sweden_during_a_period_of_fifty-seven_years/links/5742f71508aea45ee84a744b.pdf,Terrestrial,Bird,1,57,41,13,ha,1,13,N,Svensson et al. 2010,,265
"The 37-year dynamics of a subalpine passerine bird community, with special emphasis on the influence of environmental temperature and Epirrita autumnata cycles","http://www.luvre.org/data_o_pdf/Luvre-130,%202004%20Enemar%20mfl,%2037%20ar%20skogen.pdf",Terrestrial,Bird,1,37,35,0.5,km2,1,0.5,N,Enemar et al. 2004,,266
A long-term bird population study in an Appalachian spruce forest,http://www.jstor.org/stable/4161914,Terrestrial,Bird,1,22,20,6.08,ha,1,6.08,N,"Hall, 1984",,267
Long-term dynamics of breeding birds in broad-leaved deciduous forest on Hanikatsi Island in the West-Estonian archipelago,https://www.researchgate.net/publication/253704570_Long-term_dynamics_of_breeding_birds_in_broad-leaved_deciduous_forest_on_Hanikatsi_Island_in_the_West-Estonian_archipelago,Terrestrial,Bird,1,27,33,10,ha,1,10,N,Leito et al. 2006,,268
Species composition and population fluctuations of alpine bird communities during 38 years in the Scandinavian mountain range,"http://www.luvre.org/data_o_pdf/Luvre-135,%202006%20Svensson,%20Heden%2038%20ar.pdf",Terrestrial,Bird,4,38,47,125,ha,1,125,N,"Svensson, 2006",,269
Long-Term Community Dynamics of Small Landbirds with and Without Exposure to Extensive Disturbance from Military Training Activities - Konza prairie site,http://link.springer.com/article/10.1007%2Fs00267-009-9421-6,Terrestrial,Bird,1,11,62,1820400,m2,NA,NA,N,Rivers et al. 2010,,270
Structure and dynamics of a passerine bird community in a spruce-dominated boreal forest,http://www.sekj.org/PDF/anzf30/anz30-043-054.pdf,Terrestrial,Bird,1,12,33,1,km2,1,1,N,"Hogstad, 1993",,272
Konza LTER grasshopper monitoring,http://lter.konza.ksu.edu/content/cgr02-sweep-sampling-grasshoppers-konza-prairie-lter-watersheds-1982-present,Terrestrial,Invertebrate,16,24,37,20,m,2,40,Y,Rode et al. 2017,acknowledgement request,274
