"datasetID","site","TJ","TJnotrans"
1,"17046",0.190715768480567,0.156787891109523
1,"17315",0.309354395571107,0.274095952650001
1,"2014",0.147143747063516,0.133446922920607
1,"2022",0.156257519693083,0.156257519693083
1,"2029",0.0309440849510536,0.0226480836236934
1,"2043",0.253254040481255,0.232645822307476
1,"2050",0.129258241758242,0.127518315018315
1,"2065",0.17253017628499,0.163095824280035
1,"2072",0.149155690645052,0.124850994416212
1,"2105",0.163802913721883,0.144642736411029
1,"2111",0.14428456371978,0.13572722958105
1,"27046",0.181229089975298,0.178519085116658
1,"34027",0.189569256001271,0.178111067281313
1,"34031",0.182370449311443,0.168205381574947
1,"34032",0.280758823939243,0.259861389294887
1,"34038",0.144548416874081,0.12840341781874
1,"34041",0.326033422899952,0.294494047619048
1,"34042",0.285822944487217,0.271871647657769
1,"34051",0.149818897500349,0.141791474654378
1,"38014",0.161638726919339,0.156796647230321
1,"38317",0.192261628319889,0.187294350364259
1,"42128",0.217307538851318,0.175104907863529
1,"51023",0.157484190378927,0.114900505656808
1,"60009",0.221609335100516,0.205544608648057
1,"60020",0.37321733006357,0.327629121824168
1,"60027",0.217565165176003,0.18978021978022
1,"60029",0.239603337347698,0.228070175438596
1,"60065",0.243967312880356,0.217958883766337
1,"60107",0.282750028722181,0.23237383798944
1,"6078",0.20721442988581,0.192879916048622
1,"7005",0.217429452322854,0.181830766133092
1,"7008",0.14249430584247,0.123328641801548
1,"7109",0.213750571374795,0.203122395203141
1,"80116",0.187955658288601,0.178346091441172
1,"85011",0.212064519912526,0.19877055382776
1,"85316",0.35914512432539,0.310382517000982
1,"85321",0.38382738672057,0.320927240461402
1,"91315",0.14304699365675,0.138237420474263
1,"68025",0.191282457177644,0.143392524971472
1,"76005",0.180388196334252,0.150255289065773
1,"85112",0.386077550813576,0.261332427707925
1,"2001",0.160074170741377,0.160074170741377
1,"2010",0.162414656955686,0.152848626345389
1,"2024",0.0726594276497999,0.061082995951417
1,"2045",0.11939477071056,0.106499356499357
1,"2047",0.176308738836381,0.16226896163871
1,"2059",0.210846672692936,0.16525200735727
1,"2060",0.168243878938301,0.159449526937212
1,"21001",0.201751112962966,0.198254678827434
1,"21003",0.157138174325674,0.15246450458144
1,"2109",0.126692086105829,0.117471378795421
1,"21105",0.156849639761464,0.131145317933748
1,"21109",0.132248631159781,0.132248631159781
1,"2156",0.154817331791016,0.148416714864083
1,"2164",0.181046502532382,0.155472323517436
1,"2204",0.179998871157408,0.173090829477222
1,"2205",0.208801806449718,0.186869416394189
1,"2211",0.171446980878648,0.158780178738162
1,"2212",0.160263639868903,0.160263639868903
1,"27014",0.247540858288912,0.233940489432703
1,"27015",0.193857352325094,0.169201228878648
1,"27027",0.175795049485368,0.175795049485368
1,"27031",0.172390811117414,0.1668512526962
1,"27033",0.186605366034121,0.169080445396235
1,"27036",0.126356152984168,0.111585120306051
1,"27050",0.147722320910346,0.138700063358677
1,"34002",0.148958308049003,0.14213167922118
1,"34020",0.233695863704575,0.221060729613361
1,"34022",0.142435383244207,0.142435383244207
1,"34025",0.278560284362192,0.214139613458955
1,"34030",0.384325734120071,0.26691182217498
1,"34046",0.140935689459438,0.140935689459438
1,"34049",0.174604272121119,0.148063063854845
1,"34052",0.101799242424242,0.101799242424242
1,"34053",0.262147157064624,0.232796078933914
1,"34059",0.164848762068176,0.164848762068176
1,"34060",0.179377061991617,0.164325527311099
1,"34061",0.212195521338877,0.17704399847257
1,"34063",0.191341605902398,0.180646674725622
1,"34066",0.197305908647169,0.184446273819096
1,"34067",0.153643756353116,0.142700758464305
1,"34070",0.188813261418156,0.183299534060959
1,"34071",0.201012116435171,0.185484615758452
1,"34074",0.156825732407128,0.156825732407128
1,"34075",0.205995115995116,0.186978021978022
1,"34080",0.144607938920249,0.135248666335835
1,"35021",0.154741947028528,0.154741947028528
1,"35035",0.180969149256108,0.166245980353288
1,"35037",0.137132393792363,0.123015014086443
