"stateroute","top_ndvi_v","top_elev_v","top_prec_v","top_temp_v","top_zhull","top_temp_zv","top_prec_zv","top_elev_zv","top_ndvi_zv"
2001,0.00113480167090252,10784.7247910176,0.00946555055254425,2.39554390373971,0.0417766107302896,-0.616257921181296,-0.442457207689801,-0.699442093187154,-0.932225889264537
2010,0.00108307958596803,20422.1982430187,0.00953566957075147,3.31774451525331,0.116825077756423,-0.479539883687379,-0.441880065603741,-0.638366170019568,-0.93792059462317
2014,0.000736263926211932,12563.9240713881,0.00977755351549191,2.96429926489911,0.0660262112765202,-0.531938830713298,-0.439889144908882,-0.688166706636007,-0.97610569482886
2021,0.00231665089243137,13171.9060025112,0.0102126762270655,2.93472261840307,0.115114854156036,-0.536323626184159,-0.436307696738749,-0.684313719865408,-0.802101917977214
2022,0.00215228181074413,13425.3828869335,0.0105405804155701,3.0155931962179,0.115588766518198,-0.524334405453005,-0.433608752683055,-0.682707351267368,-0.820199283763288
2024,0.00208386668853605,13694.2155314289,0.0116864647527359,3.37710721896882,0.12243585816178,-0.470739247197888,-0.424177102131687,-0.681003668033177,-0.82773192602903
2025,0.00209386995938463,13677.2111947815,0.0106751478784458,3.12771571200925,0.114033123915215,-0.50771202402483,-0.432501142390932,-0.681111430255689,-0.82663054583182
2029,0.00175063634208758,23244.2377589127,0.0119571777222304,4.21418164308108,0.13016602316625,-0.346641332848054,-0.421948892839368,-0.620481952801533,-0.864421255973533
2043,0.00117446929967418,13186.1660842448,0.00949137534162296,3.11612723558332,0.0917137945539855,-0.50943003823423,-0.442244646632587,-0.684223348912828,-0.927858403722988
2045,0.00102323589695887,11336.7324116758,0.00892608503233855,2.53492276949553,0.0580322118730847,-0.595594732763985,-0.446897490278598,-0.69594383452059,-0.944509504890659
2047,0.00191514724886197,11908.8750321878,0.0103843172975,2.73775154153496,0.120943505677973,-0.565524972112864,-0.434894937576157,-0.692317973561768,-0.846308274960718
2050,0.00209570341454586,13556.7159559511,0.0116960659297631,3.15198077640425,0.12601576282042,-0.504114680949659,-0.424098075877757,-0.681875049266991,-0.826428678738785
