"dep","ind","r2","adjr","corr_r","uppr","lowr","scale"
"ndvi.var","PCA.min",0.0636434965959476,0.0626505416612667,-0.25227662712972,-0.191586513034103,-0.311044860762489,1
"ndvi.var","PCA.max",0.0763842015728975,0.0754047574600373,-0.276376919392517,-0.216418938117737,-0.334257961583593,1
"ndvi.var","PCA.slope",0.0161299981823888,0.0150866577774921,0.127003929791124,0.189243593590458,0.0637478322602018,1
"ndvi.var","PCA.mid",0.0338729574666899,0.0328484325011189,0.184046074303937,0.244943569711586,0.12170208591984,1
"ndvi.var","PCA.curvature",0.00740540297081516,0.00635281060917225,0.0860546510702075,0.149009314301853,0.0224051954770027,1
"ndvi.var","PCN.min",0.0636434965959476,0.0626505416612667,-0.25227662712972,-0.191586513034103,-0.311044860762489,1
"ndvi.var","PCN.max",0.0763842015728975,0.0754047574600373,-0.276376919392517,-0.216418938117737,-0.334257961583593,1
"ndvi.var","PCN.slope",0.0331655521607685,0.032140277030504,0.182114118510258,0.243063625709347,0.119732258467796,1
"ndvi.var","PCN.mid",0.0489437989636117,0.0479352558023854,0.221232454589311,0.281039810041035,0.159713361598294,1
"ndvi.var","PCN.curvature",0.0120576531422609,0.0110099942378518,0.109807345575152,0.172372688248451,0.0463595734548413,1
"elev.var","PCA.min",0.0951510804293638,0.0941915375666166,-0.308465687604576,-0.249603372284185,-0.365056848174539,1
"elev.var","PCA.max",0.00614954190116305,0.00509561776744205,-0.0784190149208915,-0.0147202169299339,-0.141483871698283,1
"elev.var","PCA.slope",0.0596191376457286,0.0586219150981631,0.244170304594413,0.303221161304006,0.183251358544872,1
"elev.var","PCA.mid",0.0128119865013865,0.0117651275263083,0.113190045946571,0.175694227664166,0.0497769425965696,1
"elev.var","PCA.curvature",0.00222517928771175,0.00116709358176015,0.0471718060679443,0.110611471364264,-0.0166506969078991,1
"elev.var","PCN.min",0.0951510804293638,0.0941915375666166,-0.308465687604576,-0.249603372284185,-0.365056848174539,1
"elev.var","PCN.max",0.00614954190116305,0.00509561776744205,-0.0784190149208915,-0.0147202169299339,-0.141483871698283,1
"elev.var","PCN.slope",0.0493693169293568,0.0483612250066943,0.222192072156854,0.281969061541392,0.160696686609568,1
"elev.var","PCN.mid",0.0828394526271725,0.0818668539555152,-0.287818436913226,-0.228235253411761,-0.345253760194478,1
"elev.var","PCN.curvature",0.000392564683590325,-0.0006674644100646,0.0198132451554592,0.0834801780915783,-0.0440147825668947,1
"ndvi.mean","PCA.min",0.314837342438507,0.314110764858908,0.561103682431783,0.603288656419915,0.515787666110151,1
"ndvi.mean","PCA.max",0.127586157101622,0.126661009866311,0.357192045126458,0.411588875987519,0.300259236548015,1
"ndvi.mean","PCA.slope",0.166391579003728,0.165507582799066,-0.407911239124062,-0.353330174671619,-0.459724613527441,1
"ndvi.mean","PCA.mid",0.187646920676316,0.186785464600681,-0.433182318055941,-0.379904806064528,-0.48359536973941,1
"ndvi.mean","PCA.curvature",0.0838501711353857,0.0828786442755081,-0.289568940211801,-0.230044648699971,-0.34693468076027,1
"ndvi.mean","PCN.min",0.314837342438507,0.314110764858908,0.561103682431783,0.603288656419915,0.515787666110151,1
"ndvi.mean","PCN.max",0.127586157101622,0.126661009866311,0.357192045126458,0.411588875987519,0.300259236548015,1
"ndvi.mean","PCN.slope",0.165482121230481,0.164597160595518,-0.40679493756742,-0.352158319186264,-0.45866843900944,1
"ndvi.mean","PCN.mid",5.29920005248801e-05,-0.00100739719141529,0.00727956046234099,0.0710190042967988,-0.0565190910375097,1
"ndvi.mean","PCN.curvature",0.0787831218105486,0.0778062216215883,-0.280683312312201,-0.220864337969357,-0.338398443535342,1
"elev.mean","PCA.min",0.317120139406468,0.316395982608384,-0.563134210829415,-0.517963110206342,-0.605173378983342,1
"elev.mean","PCA.max",0.0679821394502573,0.0669937854093773,-0.26073384791825,-0.200291812053216,-0.31919874370879,1
"elev.mean","PCA.slope",0.176981815217908,0.176109049380387,0.420692066977627,0.471806594284344,0.366759272515692,1
"elev.mean","PCA.mid",0.127952466295775,0.127027707511359,0.357704439860308,0.412076693442789,0.300793633231145,1
"elev.mean","PCA.curvature",0.0202653173152381,0.0192263621904397,0.142356304093771,0.204274233211519,0.0793038431535834,1
"elev.mean","PCN.min",0.317120139406468,0.316395982608384,-0.563134210829415,-0.517963110206342,-0.605173378983342,1
"elev.mean","PCN.max",0.0679821394502573,0.0669937854093773,-0.26073384791825,-0.200291812053216,-0.31919874370879,1
"elev.mean","PCN.slope",0.166239199141849,0.165355041346666,0.407724415680309,0.459547863114575,0.353134041825993,1
"elev.mean","PCN.mid",0.0442146606413662,0.0432011024872212,-0.210272824305392,-0.148491625061022,-0.270419025217888,1
"elev.mean","PCN.curvature",0.0182093663545802,0.0171682310060696,0.134942085186869,0.197019034991743,0.071787444607466,1
"ndvi.var","PCA.min",0.0321057854913639,0.0310793865364236,-0.179180873676193,-0.116742452601316,-0.240208473624443,2
"ndvi.var","PCA.max",0.0107654965264896,0.00971646736055798,-0.103756910740874,-0.0402508302337563,-0.166428097894679,2
"ndvi.var","PCA.slope",0.0177544292417777,0.0167128114573045,0.133245747556077,0.195358124218434,0.0700687364882699,2
"ndvi.var","PCA.mid",0.0120352808849853,0.0109875982560192,0.109705427782702,0.172272591097476,0.0462566341645299,2
"ndvi.var","PCA.curvature",0.00554218205960018,0.00448761385393692,0.0744458330573323,0.137565143449459,0.0107243344532603,2
"ndvi.var","PCN.min",0.0321057854913639,0.0310793865364236,-0.179180873676193,-0.116742452601316,-0.240208473624443,2
