"stateroute","PCA.min","PCA.max","PCA.slope","PCA.mid","PCA.curvature","PCN.min","PCN.max","PCN.slope","PCN.mid","PCN.curvature"
14160,0.65,0.855,0.150544032792579,1.70126985535006,1.09997936362061,0.65,0.855,0.135190037895424,2.95808584852109,1.0382579790894
14175,0.575,0.877551020408163,0.234529382191236,1.70126985535006,1.66069037014272,0.575,0.877551020408163,0.231642650796816,3.04854537962576,1.68302017130951
14182,0.65,0.86,0.154215838470447,1.70126985535006,1.08217730706307,0.65,0.86,0.138487355892873,2.95808584852109,1.01792431723509
14186,0.689320388349515,0.851162790697674,0.126562617088676,1.70126985535006,0.878052453462845,0.689320388349515,0.851162790697674,0.129608021769158,3.16451147320107,0.926671841578754
14188,0.505263157894737,0.867298578199052,0.238414288336021,1.70126985535006,1.30243362340203,0.505263157894737,0.867298578199052,0.22451032094389,2.97811962315129,1.07167491114723
14189,0.717171717171717,0.862385321100917,0.0964778301304515,1.70126985535006,0.822904817862037,0.717171717171717,0.862385321100917,0.1215299541313,3.41028222109131,0.795455513495759
14190,0.627659574468085,0.853211009174312,0.17336374676828,1.70126985535006,0.690614028445128,0.627659574468085,0.853211009174312,0.234359805851039,3.46291684446756,0.754032963154484
14193,0.732673267326733,0.855813953488372,0.0971775832758127,1.70126985535006,0.731406535212292,0.732673267326733,0.855813953488372,0.107684874895753,3.25870112139565,0.79914869127002
14198,0.575,0.875647668393782,0.249682484074922,1.70126985535006,1.77028467061853,0.575,0.875647668393782,0.248352386871338,3.04854537962576,1.83520105112346
14419,0.505263157894737,0.867298578199052,0.238414288336021,1.70126985535006,1.29156676150847,0.505263157894737,0.867298578199052,0.22451032094389,2.97811962315129,1.02083179109419
14420,0.6,0.867298578199052,0.17602642371564,1.70126985535006,0.951304968063622,0.6,0.867298578199052,0.154334978593487,2.85873765660016,0.895725757730805
14422,0.638095238095238,0.862222222222222,0.148906745078761,1.70126985535006,0.743686978631759,0.638095238095238,0.862222222222222,0.138940973112741,2.9903684580378,0.925627690182252
14434,0.48936170212766,0.853211009174312,0.284534336228292,1.87736111440574,1.21120908754752,0.48936170212766,0.853211009174312,0.227927264660322,3.0541276808317,0.855577157835395
