"fvals","preds"
-0.000770045633495624,-0.000770045633495637
-0.000776746867770346,-0.000776746867770346
-0.000772308967759816,-0.000772308967759816
-0.000775420196363619,-0.000775420196363619
-0.000773872776382139,-0.00077387277638214
-0.000774187672056988,-0.000774187672056988
-0.000775409866450093,-0.000775409866450093
-0.000777509616261895,-0.000777509616261895
-0.000776047374377073,-0.000776047374377074
-0.000774709838134882,-0.000774709838134882
-0.000771839083737193,-0.000771839083737193
-0.000776864640404237,-0.000776864640404237
-0.000775603688652865,-0.000775603688652866
-0.000774431956803769,-0.00077443195680377
-0.000768009517456572,-0.000768009517456572
-0.00077533094867931,-0.00077533094867931
-0.000771363044779637,-0.000771363044779637
-0.000775867639204477,-0.000775867639204477
-0.000775333444707029,-0.000775333444707029
-0.000775614382950063,-0.000775614382950063
-0.000774379997412515,-0.000774379997412516
-0.000776115663193602,-0.000776115663193602
-0.000773858263467238,-0.000773858263467238
-0.000774723567853344,-0.000774723567853344
-0.000701995228851845,-0.000701995228851845
-0.000758705570914232,-0.000758705570914232
-0.000708028184375461,-0.000708028184375461
-0.000771921031937641,-0.000771921031937641
-0.000726816155923915,-0.000726816155923915
-0.000729169520824216,-0.000729169520824216
-0.000676325528272625,-0.000676325528272626
-0.000773988058383704,-0.000773988058383704
-0.000773261962792055,-0.000773261962792056
-0.000774434853627488,-0.000774434853627488
-0.000760530263928071,-0.000760530263928071
-0.000777857308504872,-0.000777857308504872
-0.000773264478604243,-0.000773264478604243
-0.000776575525216548,-0.000776575525216548
-0.000770832807770593,-0.000770832807770594
-0.000760405263326715,-0.000760405263326715
-0.000777729417879165,-0.000777729417879165
-0.000771610782932839,-0.000771610782932839
-0.000776596846402014,-0.000776596846402014
-0.000771771926869277,-0.000771771926869277
-0.000774142201695088,-0.000774142201695088
-0.000773693798695331,-0.000773693798695331
-0.000775530685876067,-0.000775530685876067
-0.000770439606602403,-0.000770439606602403
-0.000769914367570167,-0.000769914367570168
-0.000775893007848859,-0.000775893007848859
-0.000770927189660801,-0.000770927189660801
-0.000773474304909149,-0.000773474304909149
-0.000770501066719619,-0.000770501066719619
-0.000773383000585544,-0.000773383000585544
-0.000777223686217965,-0.000777223686217965
-0.000774778323158773,-0.000774778323158773
-0.000768719831642944,-0.000768719831642944
-0.000771068206580519,-0.00077106820658052
-0.000776393885551512,-0.000776393885551512
-0.000769571565474352,-0.000769571565474352
-0.00077690713527531,-0.00077690713527531
-0.000777652852601852,-0.000777652852601852
-0.000773310056700829,-0.000773310056700829
-0.000777168859150392,-0.000777168859150392
-0.000776400578568504,-0.000776400578568504
-0.000772445900286393,-0.000772445900286394
-0.000774911649931763,-0.000774911649931763
-0.000771261445410768,-0.000771261445410768
-0.000774419397807193,-0.000774419397807194
-0.000764453295827178,-0.000764453295827179
-0.000774739321489232,-0.000774739321489232
-0.00077490177996341,-0.00077490177996341
-0.000751408422972713,-0.000751408422972713
-0.000775169019547121,-0.000775169019547122
-0.000761936628799482,-0.000761936628799482
-0.000770113035810345,-0.000770113035810345
-0.000764876907893157,-0.000764876907893157
-0.00070624767706945,-0.000706247677069451
-0.000776378954210502,-0.000776378954210502
-0.000774822615294716,-0.000774822615294717
-0.000776548258622675,-0.000776548258622675
-0.00077018794484124,-0.00077018794484124
-0.000769032219312103,-0.000769032219312103
-0.000768897521524822,-0.000768897521524822
-0.000762887690879685,-0.000762887690879685
-0.000757569932833824,-0.000757569932833824
-0.000769001308616056,-0.000769001308616056
-0.000773639316218402,-0.000773639316218402
-0.000749626620250462,-0.000749626620250462
-0.000762630629457425,-0.000762630629457425
-0.000761936725403203,-0.000761936725403204
-0.000743010923363432,-0.000743010923363432
-0.000754950028071537,-0.000754950028071537
-0.000761029840968793,-0.000761029840968793
-0.000766582013829645,-0.000766582013829645
-0.000762341428948208,-0.000762341428948208
-0.000759951421912494,-0.000759951421912494
-0.000767783840774579,-0.000767783840774579
-0.000759809601920325,-0.000759809601920325
-0.000768754127980087,-0.000768754127980087
-0.000759079240271089,-0.000759079240271089
-0.00076850976861372,-0.00076850976861372
-0.000766085819916373,-0.000766085819916373
-0.000766725155965528,-0.000766725155965528
-0.000759226697312314,-0.000759226697312314
-0.000764415822737624,-0.000764415822737624
-0.000759392881551357,-0.000759392881551357
-0.000761818252999919,-0.000761818252999919
-0.000756934108542109,-0.000756934108542109
-0.00077496312847166,-0.00077496312847166
-0.000777774314966714,-0.000777774314966714
-0.000770866772451999,-0.000770866772452
-0.000765901469480273,-0.000765901469480273
-0.000769288045508526,-0.000769288045508526
-0.000777741063832651,-0.000777741063832651
-0.000778436132588775,-0.000778436132588775
-0.000760277043513607,-0.000760277043513607
-0.000770162470105474,-0.000770162470105474
-0.00077507560198385,-0.000775075601983851
-0.000761857579655435,-0.000761857579655435
-0.000776131050990737,-0.000776131050990738
-0.000756829966464271,-0.000756829966464272
-0.00076238036633137,-0.00076238036633137
-0.000760297867008221,-0.000760297867008222
-0.000757844241244143,-0.000757844241244143
-0.000768992646614938,-0.000768992646614938
-0.000765453536273889,-0.000765453536273889
-0.000773802956980284,-0.000773802956980284
-0.000761989221203052,-0.000761989221203052
-0.000763710035362643,-0.000763710035362644
-0.000773515642179117,-0.000773515642179117
-0.000761661233666735,-0.000761661233666736
-0.000777225903046008,-0.000777225903046008
-0.000773834577408946,-0.000773834577408946
-0.000775860224439256,-0.000775860224439257
-0.000758116333664435,-0.000758116333664435
-0.000777054210889157,-0.000777054210889157
-0.000749422222081294,-0.000749422222081294
-0.000769518246846908,-0.000769518246846908
-0.000758821996211537,-0.000758821996211537
-0.000762210423007323,-0.000762210423007323
-0.000770444055881852,-0.000770444055881852
-0.000768851031196664,-0.000768851031196664
-0.000755971710512368,-0.000755971710512368
-0.000772975705802865,-0.000772975705802865
-0.000754717519932189,-0.000754717519932189
-0.000774540452785776,-0.000774540452785776
-0.000774506811684321,-0.000774506811684321
-0.000777082235960803,-0.000777082235960803
-0.000774444385350297,-0.000774444385350297
-0.000747185637171766,-0.000747185637171766
-0.000754123170133901,-0.000754123170133901
-0.000739178419821803,-0.000739178419821804
-0.000744887809013244,-0.000744887809013244
-0.00075260558778604,-0.00075260558778604
-0.000767855234459207,-0.000767855234459207
-0.000772164599756089,-0.000772164599756089
-0.000743338674456375,-0.000743338674456375
-0.000771777255530086,-0.000771777255530087
