"routes.stateroute","routes.Longi","routes.Lati","routes.optional","ndvi.point","ndvi.mean","ndvi.var"
2001,1732.33136252215,-953.001312221271,TRUE,0.761136496274848,0.75977138190708,0.00794224576630143
2010,1921.6371146949,-1098.97457583366,TRUE,0.794274183373098,0.813826621121733,0.00226834474750444
2014,1854.47270260977,-1085.41933031066,TRUE,0.838742122792741,0.769439197545065,0.00613882677288508
2021,1768.09654269676,-1239.68647649906,TRUE,0.7865657456089,0.798990595894021,0.0024158997965859
2022,1821.45212937559,-1208.72568153646,TRUE,0.717782396241692,0.778466731417888,0.00339500817749443
2024,1914.63585604929,-1221.90364556931,TRUE,0.777308553336279,0.766780403337183,0.00498853917599191
2025,1863.58449082101,-1174.03589383048,TRUE,0.727294670850596,0.776627089285704,0.00300731482324701
2029,2025.16711373842,-1192.06985839564,TRUE,0.732564343875666,0.771639917072139,0.00461757551934641
2043,1816.97343228598,-1133.12414202704,TRUE,0.823209934753291,0.794348894071367,0.00324053655600649
2045,1734.63877245086,-1036.53611318349,TRUE,0.758191419280865,0.806823691708441,0.00151914142476494
2047,1751.05293554218,-1145.83519162115,TRUE,0.745597392274249,0.801999193311186,0.00298282511437616
2050,1870.17677363824,-1210.2862232551,TRUE,0.744104639744839,0.765477622105611,0.00398563000055308
2057,1761.38689964597,-997.01242090343,TRUE,0.746040838704198,0.776753375766495,0.00655951483555646
2059,1730.80704951377,-1134.12129751107,TRUE,0.819607045372566,0.804500264699391,0.00222240630783158
2060,1784.31707066254,-1123.87823155103,TRUE,0.77861934762024,0.798625004496667,0.00334148392606485
2063,1792.56322478856,-1218.82230479028,TRUE,0.732420555342383,0.775409207541871,0.00350030975682393
2065,1944.54380761715,-1179.86695753519,TRUE,0.785623713345322,0.771389757166282,0.00427645157042347
2072,1785.58909054855,-933.544636538656,TRUE,0.694821002356265,0.726536313181581,0.0105604118267836
2105,1848.23262957171,-1000.3073179328,TRUE,0.729059583194908,0.775896530500768,0.00343152799858222
2109,1894.20558436413,-977.875007117413,TRUE,0.771181346812222,0.755273898963039,0.00701702822544075
2111,1927.25237041255,-1047.34716705262,TRUE,0.7674695974627,0.804863202984845,0.0031377146416562
2156,1882.66297707046,-1097.31939990226,TRUE,0.750731101680977,0.795972744904084,0.00337398120664004
