"ndvi.var","elev.var","ndvi.mean","elev.mean","area","PCA.min","PCA.max","PCA.slope","PCA.mid","PCA.curvature","PCN.min","PCN.max","PCN.slope","PCN.mid","PCN.curvature"
1,0.63,-0.55,0.54,0.26,-0.41,-0.21,0.32,0.27,0.12,-0.41,-0.21,0.32,-0.14,0.1
0.63,1,-0.65,0.67,0.2,-0.46,-0.14,0.37,0.37,0.12,-0.46,-0.14,0.38,-0.07,0.06
-0.55,-0.65,1,-0.78,0.01,0.57,0.37,-0.39,-0.48,-0.16,0.57,0.37,-0.39,0.07,-0.1
0.54,0.67,-0.78,1,0.02,-0.62,-0.28,0.47,0.49,0.13,-0.62,-0.28,0.47,-0.16,0.06
0.26,0.2,0.01,0.02,1,0,0,0,0,0,0,0,0,0,0
-0.41,-0.46,0.57,-0.62,0,1,0.36,-0.8,-0.64,-0.16,1,0.36,-0.77,0.11,-0.08
-0.21,-0.14,0.37,-0.28,0,0.36,1,-0.06,-0.16,0.04,0.36,1,-0.06,0.08,0.03
0.32,0.37,-0.39,0.47,0,-0.8,-0.06,1,0.5,0.16,-0.8,-0.06,0.96,-0.12,0.08
0.27,0.37,-0.48,0.49,0,-0.64,-0.16,0.5,1,0.13,-0.64,-0.16,0.47,0.25,0.04
0.12,0.12,-0.16,0.13,0,-0.16,0.04,0.16,0.13,1,-0.16,0.04,0.16,-0.05,0.9
-0.41,-0.46,0.57,-0.62,0,1,0.36,-0.8,-0.64,-0.16,1,0.36,-0.77,0.11,-0.08
-0.21,-0.14,0.37,-0.28,0,0.36,1,-0.06,-0.16,0.04,0.36,1,-0.06,0.08,0.03
0.32,0.38,-0.39,0.47,0,-0.77,-0.06,0.96,0.47,0.16,-0.77,-0.06,1,0.04,0.09
-0.14,-0.07,0.07,-0.16,0,0.11,0.08,-0.12,0.25,-0.05,0.11,0.08,0.04,1,-0.04
0.1,0.06,-0.1,0.06,0,-0.08,0.03,0.08,0.04,0.9,-0.08,0.03,0.09,-0.04,1
