"dep","ind","r2","adjr","corr_r"
"ndvi.var","nv_preds",0.0637800756878322,0.0637650644653412,0.252547175172941
"ndvi.var","nm_preds",0.0637800756878535,0.0637650644653626,0.252547175172941
"ndvi.var","ev_preds",0.0637800756878322,0.0637650644653412,0.252547175172941
"ndvi.var","em_preds",0.0637800756878307,0.0637650644653398,0.252547175172941
"ndvi.var","OA.min",0.165240342576373,0.165226958153954,-0.406497653838707
"ndvi.var","OA.max",0.0413813631859462,0.041365992825556,-0.203424096866491
"ndvi.var","OA.slope",0.117470761694869,0.11745661134151,0.342740078915305
"ndvi.var","OA.mid",0.0270655608825635,0.027049960984553,0.164516141708373
"ndvi.var","OA.curvature",0.0455731629035956,0.04555785975395,0.213478717683041
"ndvi.var","ON.min",0.165240342576373,0.165226958153954,-0.406497653838707
"elev.var","nv_preds",0.0422312834502983,0.0422159267174136,0.205502514462228
"elev.var","nm_preds",0.0422312834503124,0.0422159267174278,0.205502514462228
"elev.var","ev_preds",0.0422312834502983,0.0422159267174136,0.205502514462228
"elev.var","em_preds",0.0422312834502972,0.0422159267174125,0.205502514462228
"elev.var","OA.min",0.207592003902863,0.207579298541202,-0.455622655168576
"elev.var","OA.max",0.0138188628406599,0.0138030505469009,-0.117553659409907
"elev.var","OA.slope",0.158963897479459,0.158950412421376,0.398702768336839
"elev.var","OA.mid",0.00159296361640086,0.00157695529424229,0.0399119482913333
"elev.var","OA.curvature",0.0146033386167929,0.0145875389012113,0.12084427424083
"elev.var","ON.min",0.207592003902863,0.207579298541202,-0.455622655168576
"ndvi.mean","nv_preds",0.000129913055224545,0.000113881274713012,0.0113979408326479
"ndvi.mean","nm_preds",0.000129913055222748,0.000113881274711125,0.0113979408326479
"ndvi.mean","ev_preds",0.000129913055224551,0.000113881274713012,0.0113979408326479
"ndvi.mean","em_preds",0.000129913055224694,0.000113881274713123,0.0113979408326479
"ndvi.mean","OA.min",0.316844392106839,0.31683343848306,0.562889324918175
"ndvi.mean","OA.max",0.106772121400702,0.106757799506805,0.32676003641924
"ndvi.mean","OA.slope",0.179050093956747,0.179036930957997,-0.423143112855152
"ndvi.mean","OA.mid",0.0201749985116085,0.0201592881312614,-0.142038721874149
"ndvi.mean","OA.curvature",0.0417993242160391,0.0417839605571789,-0.20444883031223
"ndvi.mean","ON.min",0.316844392106839,0.31683343848306,0.562889324918175
"elev.mean","nv_preds",0.000430240022492857,0.000414213057382873,0.0207422280021423
"elev.mean","nm_preds",0.000430240022495883,0.000414213057385981,0.0207422280021423
"elev.mean","ev_preds",0.000430240022492848,0.000414213057382873,0.0207422280021423
"elev.mean","em_preds",0.000430240022492601,0.000414213057382651,0.0207422280021423
"elev.mean","OA.min",0.382442937695032,0.38243303586938,-0.618419709982655
"elev.mean","OA.max",0.0676374760000051,0.0676225266265443,-0.260072059245136
"elev.mean","OA.slope",0.245449785827831,0.245437687472678,0.495428890788407
"elev.mean","OA.mid",0.0226847571907504,0.0226690870515315,0.150614598199464
"elev.mean","OA.curvature",0.0252085720483585,0.0251929423756425,0.158772075782734
"elev.mean","ON.min",0.382442937695032,0.38243303586938,-0.618419709982655
