"routes.stateroute","routes.Longi","routes.Lati","routes.optional","elev.point","elev.mean","elev.var"
2001,1732.33136252215,-953.001312221271,TRUE,186.477325689388,210.044367231097,1382.30192760028
2010,1921.6371146949,-1098.97457583366,TRUE,275.633897264694,249.806519187405,3318.93334424406
2014,1854.47270260977,-1085.41933031066,TRUE,260.716927999892,190.250261509418,1500.14763730803
2021,1768.09654269676,-1239.68647649906,TRUE,42.7053216863569,56.060417385945,257.381658888491
2022,1821.45212937559,-1208.72568153646,TRUE,54.9654884278178,70.4889112459782,582.0396337785
2024,1914.63585604929,-1221.90364556931,TRUE,87.2885308929831,100.803982606049,1029.34560733711
2025,1863.58449082101,-1174.03589383048,TRUE,131.754712134216,125.601698180605,1778.51169942463
2029,2025.16711373842,-1192.06985839564,TRUE,83.5879461249845,115.930930392327,523.818236010875
2043,1816.97343228598,-1133.12414202704,TRUE,144.52545507496,145.069568718763,936.375188205662
2045,1734.63877245086,-1036.53611318349,TRUE,201.68012781414,207.337936767757,1966.1903595372
2047,1751.05293554218,-1145.83519162115,TRUE,79.7577774517817,81.4631146844765,496.962883362314
2050,1870.17677363824,-1210.2862232551,TRUE,49.2042309376244,82.9092038680006,804.374975515852
2057,1761.38689964597,-997.01242090343,TRUE,218.695556230919,224.437319724924,1325.30698628215
2059,1730.80704951377,-1134.12129751107,TRUE,89.3843100574564,86.3295689389236,559.900326462235
2060,1784.31707066254,-1123.87823155103,TRUE,111.307900327225,121.868528685011,1210.759650006
2063,1792.56322478856,-1218.82230479028,TRUE,74.356603130039,59.2276313098241,286.09641393096
2065,1944.54380761715,-1179.86695753519,TRUE,91.2387860357817,119.583091462126,1506.42024944554
2072,1785.58909054855,-933.544636538656,TRUE,233.600994630774,227.359499640327,1000.91394887832
2105,1848.23262957171,-1000.3073179328,TRUE,258.605250185849,261.914395787074,1808.97551397817
2109,1894.20558436413,-977.875007117413,TRUE,331.519039381226,282.889046631493,5784.25799260235
2111,1927.25237041255,-1047.34716705262,TRUE,244.939493122582,270.258930132439,4408.80894273632
2156,1882.66297707046,-1097.31939990226,TRUE,140.596928061547,200.977583605533,2538.69398370022
2164,1913.51709205202,-1143.21831704031,TRUE,214.367053951271,178.085420572477,2384.93130001556
