"stateroute","OA.A","OA.i","OA.k","OA.r2","ON.A","ON.i","ON.k","ON.r2","CA.A","CA.i","CA.k","CA.r2","CN.A","CN.i","CN.k","CN.r2","TAexp","TApow","TAexp.r2","TApow.r2","TNexp","TNpow","TNexp.r2","TNpow.r2","ndvi_v","elev_v","prec_v","temp_v","ndvi_qv","elev_qv","prec_qv","temp_qv","qhull_vol","zhull_vol"
2001,0.937425530845021,0.428723308423377,0.732614422669266,0.987169613168039,0.937425530845021,1.91047337638785,0.71421010033221,0.987639741242928,0.905203838116575,0.873420447935893,0.576393332371388,0.981828745667098,0.905203838116575,2.34802394141952,0.562235576958605,0.98277202612605,-0.288961044103092,-0.00074760759627744,0.859799003668706,0.34036769303112,-0.291904206234766,-0.00074760759627744,0.849564060230906,0.34036769303112,0.0438771550789967,0.0460526725504048,0.0775655291413978,0.0828242702485555,0.0169338234428109,0.0267868605984865,0.00459867819772155,0.00467586473347853,0.0016039005599245,0.0444309998601979
2010,0.931832864992706,0.347357420655166,0.734408978840658,0.971165325004465,0.931832864992706,1.73563216079343,0.747089278167844,0.973384019580488,0.914106538650439,0.783156347826582,0.623321998273295,0.976554551781184,0.914106538650439,2.17550137957312,0.630001926050561,0.978307139567859,-0.285362407392407,-0.000666241045330021,0.650960224651393,0.209848698790788,-0.28740642634594,-0.000666241045330021,0.659521940369384,0.209848698790788,0.0441208297774364,0.07564844848207,0.0699621574112869,0.129288319005861,0.0166697932172197,0.0370641053341705,0.00321373482130493,0.00659134551853205,0.00184734581220832,0.116317286034207
2014,0.939748693138613,0.555547697236503,0.688272600351255,0.984152028758926,0.939748693138613,2.0022484378579,0.706555775250747,0.982321525516507,0.917441576237941,0.989629507950225,0.558858806748952,0.985480250793436,0.917441576237941,2.43258114388742,0.555703997899792,0.986286122570495,-0.337110629243106,-0.000910763166247386,0.750402410592078,0.323923773338667,-0.343900539497334,-0.000910763166247386,0.749063088311743,0.323923773338667,0.030291993537903,0.0637415477203589,0.0744645210933964,0.113076179154948,0.0145179940080383,0.033902621571221,0.00332923866083112,0.00587123907173728,0.00154450680952777,0.0650732683009539
2022,0.93199122579132,0.716347408585727,0.670766644674562,0.985433838194837,0.93199122579132,1.90284824763794,0.703772167964572,0.986271639026239,0.894524788697996,1.14058092830603,0.489184249424959,0.985570036656173,0.894524788697996,2.3500701923892,0.516428544990068,0.984825185916959,-0.350626840586373,-0.00102367039600692,0.803963801207607,0.405274281225914,-0.325365999329349,-0.00102367039600692,0.807677203831248,0.405274281225914,0.0918724469429694,0.0557134162690557,0.085148281333225,0.12760896007692,0.0240330641056678,0.0325459558269603,0.00383146182746386,0.00538699921866474,0.00207922511412462,0.118531881390713
2024,0.91795296305089,0.343579638445244,0.686641507490048,0.968811210101675,0.91795296305089,1.83389433000863,0.679625240904108,0.970819734958547,0.892553752744046,0.748383639417995,0.56783950439587,0.974417233748535,0.892553752744046,2.23342288481767,0.559314087119012,0.978077437395007,-0.295625382128598,-0.000806422556180221,0.693312333409268,0.305107862182915,-0.309203193925924,-0.000806422556180221,0.693728229069134,0.305107862182915,0.100967622223984,0.0677930886606657,0.0837484312686061,0.155291224877446,0.0253010179315014,0.0360152804501712,0.00388892167941859,0.00640085312439138,0.00179803186403616,0.122987304717326
2029,0.893762571278562,0.289143218665286,0.601331953183113,0.978907340814093,0.893762571278562,1.7908939259389,0.611264678785578,0.979193552281343,0.870443451764746,0.655581683062976,0.540340340076792,0.977434274909689,0.870443451764746,2.16153490137879,0.54223101716651,0.978762956715938,-0.233892874145283,-0.000624954056530115,0.811196316235171,0.342508023436668,-0.247225021002558,-0.000624954056530115,0.818033761966832,0.342508023436668,0.076281564501952,0.0883145536345362,0.0850999760290446,0.186143232302477,0.0266909900644788,0.0437769408658337,0.00407985524540148,0.00736680698271499,0.00245152129373741,0.139455128992542
2043,0.935299352672634,0.784891171421323,0.601958210894346,0.987818589829018,0.935299352672634,1.82210517785042,0.677206552641756,0.988613984522959,0.899269573495508,1.1848090194437,0.411891005110094,0.987947131175209,0.899269573495508,2.26042616355864,0.465021054263806,0.987804120817838,-0.379423664311035,-0.00107715028455163,0.760366402540434,0.362417591894597,-0.331500518561211,-0.00107715028455163,0.767787367416947,0.362417591894597,0.0498747407651432,0.0519714439829475,0.0726520484894396,0.117772317722139,0.0174430747734764,0.0305782174957302,0.0032040793213904,0.00552934317453323,0.0015532029794144,0.0854432066501285
2045,0.933280593724192,0.427532508882901,0.676267413611044,0.984928595001845,0.933280593724192,1.77124498945474,0.67573187254366,0.983916144359423,0.91033347462102,0.866855467778969,0.554942029238455,0.979491613680279,0.91033347462102,2.21052134265446,0.550703624668185,0.97908219594304,-0.302837169818718,-0.000866689432131129,0.823241516806428,0.398766335188102,-0.292959257204404,-0.000866689432131129,0.814404737505578,0.398766335188102,0.0443644699923566,0.0472047752895901,0.073899888528432,0.0932901050495797,0.0173045725345953,0.0274658678564608,0.00348357628103634,0.00497356489748208,0.00124015815810796,0.0568862324997042
2047,0.930227383664168,0.569749547549271,0.659011661414001,0.984630733152538,0.930227383664168,1.77598867568153,0.654708836569906,0.984977848548819,0.891925695677053,0.975299657290814,0.491620034770571,0.985588235623781,0.891925695677053,2.18385693034534,0.488708609822865,0.986656148909005,-0.334470482458994,-0.000968880089683235,0.783243700187221,0.388690528602835,-0.31118867266867,-0.000968880089683235,0.782019865092618,0.388690528602835,0.0810653564572067,0.0527107096208461,0.0782255618165215,0.11215562299725,0.02215523006172,0.0307036472382906,0.00321272735535431,0.00512930296023688,0.00215733617730176,0.114855307267382
2050,0.938408835367354,0.335363507758731,0.823732687677795,0.966966262908652,0.938408835367354,1.85289859075689,0.786816018152058,0.969258163392231,0.921528975725567,0.779760160167249,0.729966666456044,0.973120534830757,0.921528975725567,2.277880097638,0.691993110451945,0.976578260464553,-0.301411053785152,-0.000845366855105883,0.722881932808005,0.336296254436397,-0.317833952147669,-0.000845366855105883,0.723213068065624,0.336296254436397,0.0908306777615381,0.0561240229110647,0.086821257562506,0.130776143154907,0.0237136807163517,0.0331947835943327,0.00392439152480067,0.00560611263606962,0.00201104891168734,0.117198345738339
