"","stateroute","scale","subrouteID","AOU","occupancy"
"11","64038",5,"Stop1","30",0.0666666666666667
"38","64038",5,"Stop1","40",0.533333333333333
"65","64038",5,"Stop1","60",0.466666666666667
"66","64039",5,"Stop1","60",0.666666666666667
"96","68317",5,"Stop1","70",0.2
"104","89001",5,"Stop1","70",0.0666666666666667
"131","89001",5,"Stop1","440",0.4
"158","89001",5,"Stop1","495",0.0666666666666667
"173","64038",5,"Stop1","530",0.0666666666666667
"200","64038",5,"Stop1","540",0.2
"201","64039",5,"Stop1","540",0.0666666666666667
"203","68119",5,"Stop1","540",0.266666666666667
"204","68317",5,"Stop1","540",0.0666666666666667
"227","64038",5,"Stop1","770",0.333333333333333
"257","68119",5,"Stop1","1200",0.0666666666666667
"281","64038",5,"Stop1","1250",0.133333333333333
"304","53026",5,"Stop1","1290",0.2
"317","72132",5,"Stop1","1290",0.0666666666666667
"321","89019",5,"Stop1","1290",0.0666666666666667
"325","14098",5,"Stop1","1320",0.333333333333333
"326","34034",5,"Stop1","1320",0.133333333333333
"327","39028",5,"Stop1","1320",0.0666666666666667
"328","45101",5,"Stop1","1320",0.0666666666666667
"331","53026",5,"Stop1","1320",0.133333333333333
"333","58116",5,"Stop1","1320",0.266666666666667
"335","64038",5,"Stop1","1320",0.866666666666667
"336","64039",5,"Stop1","1320",0.8
"337","68113",5,"Stop1","1320",0.333333333333333
"338","68119",5,"Stop1","1320",0.266666666666667
"342","72035",5,"Stop1","1320",0.133333333333333
"343","72036",5,"Stop1","1320",0.133333333333333
"344","72132",5,"Stop1","1320",0.333333333333333
"345","76306",5,"Stop1","1320",0.0666666666666667
"349","89029",5,"Stop1","1320",0.0666666666666667
"351","89078",5,"Stop1","1320",0.0666666666666667
"372","76306",5,"Stop1","1330",0.0666666666666667
"389","64038",5,"Stop1","1350",0.666666666666667
"390","64039",5,"Stop1","1350",0.666666666666667
"416","64038",5,"Stop1","1370",0.666666666666667
"417","64039",5,"Stop1","1370",0.4
"443","64038",5,"Stop1","1390",0.2
"444","64039",5,"Stop1","1390",0.0666666666666667
"470","64038",5,"Stop1","1400",0.8
"471","64039",5,"Stop1","1400",0.666666666666667
"497","64038",5,"Stop1","1420",0.666666666666667
"498","64039",5,"Stop1","1420",0.4
"524","64038",5,"Stop1","1430",0.666666666666667
"525","64039",5,"Stop1","1430",0.533333333333333
"543","39028",5,"Stop1","1440",0.0666666666666667
"547","53026",5,"Stop1","1440",0.0666666666666667
"551","64038",5,"Stop1","1440",0.0666666666666667
"552","64039",5,"Stop1","1440",0.0666666666666667
"553","68113",5,"Stop1","1440",0.0666666666666667
"554","68119",5,"Stop1","1440",0.133333333333333
"560","72132",5,"Stop1","1440",0.0666666666666667
"567","89078",5,"Stop1","1440",0.0666666666666667
"578","64038",5,"Stop1","1460",0.6
"605","64038",5,"Stop1","1470",0.533333333333333
"632","64038",5,"Stop1","1490",0.8
"633","64039",5,"Stop1","1490",0.0666666666666667
"652","45101",5,"Stop1","1500",0.0666666666666667
"699","89019",5,"Stop1","1520",0.133333333333333
"713","64038",5,"Stop1","1670",0.533333333333333
"714","64039",5,"Stop1","1670",0.0666666666666667
"730","14098",5,"Stop1","1720",0.0666666666666667
"731","34034",5,"Stop1","1720",0.0666666666666667
"733","45101",5,"Stop1","1720",0.2
"740","64038",5,"Stop1","1720",0.666666666666667
"741","64039",5,"Stop1","1720",0.466666666666667
"743","68119",5,"Stop1","1720",0.133333333333333
"746","72034",5,"Stop1","1720",0.133333333333333
"747","72035",5,"Stop1","1720",0.0666666666666667
"748","72036",5,"Stop1","1720",0.2
"749","72132",5,"Stop1","1720",0.466666666666667
"750","76306",5,"Stop1","1720",0.0666666666666667
"760","45101",5,"Stop1","1900",0.133333333333333
"767","64038",5,"Stop1","1900",0.466666666666667
"768","64039",5,"Stop1","1900",0.333333333333333
"769","68113",5,"Stop1","1900",0.466666666666667
"770","68119",5,"Stop1","1900",0.0666666666666667
"771","68317",5,"Stop1","1900",0.0666666666666667
"777","76306",5,"Stop1","1900",0.133333333333333
"785","34034",5,"Stop1","1940",0.0666666666666667
"787","45101",5,"Stop1","1940",0.0666666666666667
"790","53026",5,"Stop1","1940",0.133333333333333
"796","68113",5,"Stop1","1940",0.0666666666666667
"798","68317",5,"Stop1","1940",0.133333333333333
"799","72029",5,"Stop1","1940",0.0666666666666667
"803","72132",5,"Stop1","1940",0.333333333333333
"804","76306",5,"Stop1","1940",0.0666666666666667
"813","39028",5,"Stop1","2010",0.0666666666666667
"824","68119",5,"Stop1","2010",0.0666666666666667
"848","64038",5,"Stop1","2020",0.0666666666666667
"868","45101",5,"Stop1","2060",0.333333333333333
"903","64039",5,"Stop1","2120",0.133333333333333
"922","45101",5,"Stop1","2140",0.4
"929","64038",5,"Stop1","2140",0.866666666666667
"930","64039",5,"Stop1","2140",0.866666666666667
"943","89029",5,"Stop1","2140",0.0666666666666667
"956","64038",5,"Stop1","2210",0.8
"957","64039",5,"Stop1","2210",0.8
"983","64038",5,"Stop1","2240",0.466666666666667
"1010","64038",5,"Stop1","2250",0.2
"1030","45101",5,"Stop1","2280",0.0666666666666667
"1041","68317",5,"Stop1","2280",0.0666666666666667
"1057","45101",5,"Stop1","2300",0.466666666666667
"1059","53025",5,"Stop1","2300",0.133333333333333
"1060","53026",5,"Stop1","2300",0.0666666666666667
"1064","64038",5,"Stop1","2300",0.733333333333333
"1065","64039",5,"Stop1","2300",0.6
"1066","68113",5,"Stop1","2300",0.8
"1068","68317",5,"Stop1","2300",0.0666666666666667
"1074","76306",5,"Stop1","2300",0.266666666666667
"1078","89029",5,"Stop1","2300",0.266666666666667
"1091","64038",5,"Stop1","2490",0.933333333333333
"1092","64039",5,"Stop1","2490",0.133333333333333
"1118","64038",5,"Stop1","2580",0.866666666666667
"1119","64039",5,"Stop1","2580",0.4
"1145","64038",5,"Stop1","2610",0.8
"1146","64039",5,"Stop1","2610",0.333333333333333
"1167","53025",5,"Stop1","2630",0.4
"1168","53026",5,"Stop1","2630",0.533333333333333
"1185","89019",5,"Stop1","2630",0.0666666666666667
"1189","14098",5,"Stop1","2730",0.0666666666666667
"1190","34034",5,"Stop1","2730",0.733333333333333
"1191","39028",5,"Stop1","2730",0.533333333333333
"1194","53025",5,"Stop1","2730",0.2
"1195","53026",5,"Stop1","2730",0.0666666666666667
"1199","64038",5,"Stop1","2730",1
"1200","64039",5,"Stop1","2730",0.6
"1201","68113",5,"Stop1","2730",0.6
"1203","68317",5,"Stop1","2730",0.133333333333333
"1205","72034",5,"Stop1","2730",0.0666666666666667
"1206","72035",5,"Stop1","2730",0.333333333333333
"1207","72036",5,"Stop1","2730",0.866666666666667
"1208","72132",5,"Stop1","2730",0.266666666666667
"1213","89029",5,"Stop1","2730",0.733333333333333
"1215","89078",5,"Stop1","2730",0.133333333333333
"1223","55011",5,"Stop1","2882",0.0666666666666667
"1245","39028",5,"Stop1","2890",0.6
"1258","72029",5,"Stop1","2890",0.0666666666666667
"1270","14098",5,"Stop1","2920",0.133333333333333
"1297","14098",5,"Stop1","2940",0.4
"1321","89029",5,"Stop1","2940",0.0666666666666667
"1346","89001",5,"Stop1","2971",0.133333333333333
"1354","45101",5,"Stop1","2980",0.133333333333333
"1381","45101",5,"Stop1","3000",0.2
"1383","53025",5,"Stop1","3000",0.0666666666666667
"1393","72029",5,"Stop1","3000",0.0666666666666667
"1398","76306",5,"Stop1","3000",0.0666666666666667
"1415","64038",5,"Stop1","3080",0.466666666666667
"1416","64039",5,"Stop1","3080",0.466666666666667
"1432","14098",5,"Stop1","3091",0.0666666666666667
"1433","34034",5,"Stop1","3091",0.8
"1442","64038",5,"Stop1","3091",0.466666666666667
"1443","64039",5,"Stop1","3091",0.4
"1449","72035",5,"Stop1","3091",0.133333333333333
"1450","72036",5,"Stop1","3091",0.933333333333333
"1458","89078",5,"Stop1","3091",0.0666666666666667
"1459","14098",5,"Stop1","3100",0.6
"1461","39028",5,"Stop1","3100",0.2
"1464","53025",5,"Stop1","3100",0.133333333333333
"1465","53026",5,"Stop1","3100",0.2
"1470","64039",5,"Stop1","3100",0.0666666666666667
"1472","68119",5,"Stop1","3100",0.0666666666666667
"1474","72029",5,"Stop1","3100",0.2
"1475","72034",5,"Stop1","3100",0.0666666666666667
"1476","72035",5,"Stop1","3100",0.2
"1477","72036",5,"Stop1","3100",0.4
"1480","88924",5,"Stop1","3100",0.0666666666666667
"1508","89001",5,"Stop1","3120",0.133333333333333
"1512","89078",5,"Stop1","3120",0.2
"1514","34034",5,"Stop1","3131",0.2
"1519","53026",5,"Stop1","3131",0.0666666666666667
"1525","68113",5,"Stop1","3131",0.133333333333333
"1529","72034",5,"Stop1","3131",0.0666666666666667
"1530","72035",5,"Stop1","3131",0.2
"1531","72036",5,"Stop1","3131",0.466666666666667
"1540","14098",5,"Stop1","3160",0.933333333333333
"1541","34034",5,"Stop1","3160",1
"1542","39028",5,"Stop1","3160",0.866666666666667
"1544","46121",5,"Stop1","3160",1
"1545","53025",5,"Stop1","3160",0.133333333333333
"1546","53026",5,"Stop1","3160",0.0666666666666667
"1547","55011",5,"Stop1","3160",1
"1548","58116",5,"Stop1","3160",0.133333333333333
"1549","59020",5,"Stop1","3160",0.8
"1550","64038",5,"Stop1","3160",0.866666666666667
"1551","64039",5,"Stop1","3160",0.866666666666667
"1552","68113",5,"Stop1","3160",1
"1553","68119",5,"Stop1","3160",1
"1554","68317",5,"Stop1","3160",1
"1555","72029",5,"Stop1","3160",1
"1556","72034",5,"Stop1","3160",1
"1557","72035",5,"Stop1","3160",1
"1558","72036",5,"Stop1","3160",1
"1559","72132",5,"Stop1","3160",1
"1560","76306",5,"Stop1","3160",0.6
"1561","88924",5,"Stop1","3160",0.533333333333333
"1564","89029",5,"Stop1","3160",0.933333333333333
"1586","72132",5,"Stop1","3250",0.0666666666666667
"1594","14098",5,"Stop1","3280",0.0666666666666667
"1631","64038",5,"Stop1","3310",0.133333333333333
"1663","72029",5,"Stop1","3330",0.0666666666666667
"1675","14098",5,"Stop1","3370",0.2
"1677","39028",5,"Stop1","3370",0.0666666666666667
"1678","45101",5,"Stop1","3370",0.0666666666666667
"1682","55011",5,"Stop1","3370",0.0666666666666667
"1684","59020",5,"Stop1","3370",0.133333333333333
"1685","64038",5,"Stop1","3370",0.0666666666666667
"1686","64039",5,"Stop1","3370",0.266666666666667
"1692","72035",5,"Stop1","3370",0.0666666666666667
"1693","72036",5,"Stop1","3370",0.133333333333333
"1702","14098",5,"Stop1","3390",0.133333333333333
"1722","76306",5,"Stop1","3390",0.2
"1739","64038",5,"Stop1","3420",0.133333333333333
"1759","45101",5,"Stop1","3430",0.0666666666666667
"1805","89001",5,"Stop1","3520",0.266666666666667
"1806","89019",5,"Stop1","3520",0.0666666666666667
"1810","14098",5,"Stop1","3600",0.0666666666666667
"1817","55011",5,"Stop1","3600",0.133333333333333
"1819","59020",5,"Stop1","3600",0.0666666666666667
"1827","72035",5,"Stop1","3600",0.266666666666667
"1828","72036",5,"Stop1","3600",0.0666666666666667
"1834","89029",5,"Stop1","3600",0.133333333333333
"1841","46121",5,"Stop1","3640",0.0666666666666667
