"stateroute","scale","subrouteID","AOU","occupancy"
"64038",5,"Stop1","30",0.133333333333333
"64038",5,"Stop1","40",0.666666666666667
"64038",5,"Stop1","60",0.533333333333333
"64039",5,"Stop1","60",1
"68317",5,"Stop1","70",0.2
"89001",5,"Stop1","70",0.0666666666666667
"89001",5,"Stop1","440",0.666666666666667
"89001",5,"Stop1","495",0.0666666666666667
"68317",5,"Stop1","510",0.0666666666666667
"64038",5,"Stop1","530",0.0666666666666667
"64038",5,"Stop1","540",0.466666666666667
"64039",5,"Stop1","540",0.0666666666666667
"68119",5,"Stop1","540",0.333333333333333
"68317",5,"Stop1","540",0.0666666666666667
"64038",5,"Stop1","590",0.0666666666666667
"64039",5,"Stop1","590",0.0666666666666667
"64038",5,"Stop1","770",0.333333333333333
"64039",5,"Stop1","770",0.133333333333333
"64038",5,"Stop1","1200",0.266666666666667
"68119",5,"Stop1","1200",0.0666666666666667
"64038",5,"Stop1","1250",0.133333333333333
"53026",5,"Stop1","1290",0.2
"72132",5,"Stop1","1290",0.0666666666666667
"89019",5,"Stop1","1290",0.0666666666666667
"45101",5,"Stop1","1310",0.0666666666666667
"72132",5,"Stop1","1310",0.0666666666666667
"14098",5,"Stop1","1320",0.4
"34034",5,"Stop1","1320",0.133333333333333
"39028",5,"Stop1","1320",0.0666666666666667
"45101",5,"Stop1","1320",0.0666666666666667
"53026",5,"Stop1","1320",0.133333333333333
"58116",5,"Stop1","1320",0.266666666666667
"64038",5,"Stop1","1320",1.13333333333333
"64039",5,"Stop1","1320",1.06666666666667
"68113",5,"Stop1","1320",0.6
"68119",5,"Stop1","1320",0.333333333333333
"72035",5,"Stop1","1320",0.133333333333333
"72036",5,"Stop1","1320",0.133333333333333
"72132",5,"Stop1","1320",0.333333333333333
"76306",5,"Stop1","1320",0.0666666666666667
"89019",5,"Stop1","1320",0.0666666666666667
"89029",5,"Stop1","1320",0.0666666666666667
"89078",5,"Stop1","1320",0.0666666666666667
"76306",5,"Stop1","1330",0.0666666666666667
"64038",5,"Stop1","1350",0.866666666666667
"64039",5,"Stop1","1350",0.933333333333333
"64038",5,"Stop1","1370",0.8
"64039",5,"Stop1","1370",0.4
"45101",5,"Stop1","1390",0.0666666666666667
"64038",5,"Stop1","1390",0.266666666666667
"64039",5,"Stop1","1390",0.133333333333333
"64038",5,"Stop1","1400",1.06666666666667
"64039",5,"Stop1","1400",0.933333333333333
"64038",5,"Stop1","1420",0.866666666666667
"64039",5,"Stop1","1420",0.533333333333333
"64038",5,"Stop1","1430",0.866666666666667
"64039",5,"Stop1","1430",0.666666666666667
"39028",5,"Stop1","1440",0.0666666666666667
"53026",5,"Stop1","1440",0.0666666666666667
"64038",5,"Stop1","1440",0.0666666666666667
"64039",5,"Stop1","1440",0.0666666666666667
"68113",5,"Stop1","1440",0.0666666666666667
"68119",5,"Stop1","1440",0.2
"72132",5,"Stop1","1440",0.133333333333333
"89078",5,"Stop1","1440",0.0666666666666667
"64038",5,"Stop1","1460",0.733333333333333
"64039",5,"Stop1","1460",0.0666666666666667
"64038",5,"Stop1","1470",0.666666666666667
"64038",5,"Stop1","1490",1
"64039",5,"Stop1","1490",0.133333333333333
"45101",5,"Stop1","1500",0.0666666666666667
"89019",5,"Stop1","1520",0.133333333333333
"64038",5,"Stop1","1530",0.0666666666666667
"64038",5,"Stop1","1670",0.666666666666667
"64039",5,"Stop1","1670",0.2
"14098",5,"Stop1","1720",0.0666666666666667
"34034",5,"Stop1","1720",0.0666666666666667
"39028",5,"Stop1","1720",0.0666666666666667
"45101",5,"Stop1","1720",0.2
"64038",5,"Stop1","1720",0.8
"64039",5,"Stop1","1720",0.6
"68113",5,"Stop1","1720",0.266666666666667
"68119",5,"Stop1","1720",0.133333333333333
"72029",5,"Stop1","1720",0.0666666666666667
"72034",5,"Stop1","1720",0.133333333333333
"72035",5,"Stop1","1720",0.0666666666666667
"72036",5,"Stop1","1720",0.2
"72132",5,"Stop1","1720",0.666666666666667
"76306",5,"Stop1","1720",0.0666666666666667
"45101",5,"Stop1","1900",0.2
"64038",5,"Stop1","1900",0.466666666666667
"64039",5,"Stop1","1900",0.4
"68113",5,"Stop1","1900",0.666666666666667
"68119",5,"Stop1","1900",0.0666666666666667
"68317",5,"Stop1","1900",0.0666666666666667
"76306",5,"Stop1","1900",0.133333333333333
"34034",5,"Stop1","1940",0.2
"39028",5,"Stop1","1940",0.0666666666666667
"45101",5,"Stop1","1940",0.0666666666666667
"53026",5,"Stop1","1940",0.133333333333333
"59020",5,"Stop1","1940",0.0666666666666667
"68113",5,"Stop1","1940",0.133333333333333
"68317",5,"Stop1","1940",0.133333333333333
"72029",5,"Stop1","1940",0.133333333333333
"72132",5,"Stop1","1940",0.4
"76306",5,"Stop1","1940",0.0666666666666667
