"site_id","ndvi_mean","na.rm"
2001,0.805007417940646,TRUE
2002,0.791478969816305,TRUE
2004,0.834341172488895,TRUE
2005,0.822736950492399,TRUE
2006,0.800996463767661,TRUE
2007,0.827860078785202,TRUE
2008,0.823999635266398,TRUE
2009,0.808040757331047,TRUE
2010,0.841331083133416,TRUE
2011,0.832655952194519,TRUE
2012,0.831716459522405,TRUE
2013,0.822277977806962,TRUE
2014,0.810790987556534,TRUE
2015,0.82056508419121,TRUE
2016,0.849308323557412,TRUE
2017,0.81975911199289,TRUE
2019,0.833422299923472,TRUE
2020,0.852361134336678,TRUE
2021,0.844308210227746,TRUE
2022,0.821906100941312,TRUE
2023,0.82760306465008,TRUE
2024,0.822172856527801,TRUE
2025,0.80895508470176,TRUE
2026,0.802750250614811,TRUE
2027,0.824531305872826,TRUE
2028,0.823134629086633,TRUE
2029,0.814905894089925,TRUE
2030,0.75151139923425,TRUE
2031,0.73799383104275,TRUE
2032,0.817248797735225,TRUE
2033,0.810797114086993,TRUE
2034,0.819313942060764,TRUE
2035,0.780624400465439,TRUE
2036,0.84305208192959,TRUE
2037,0.801407599858739,TRUE
2038,0.808277028467359,TRUE
2039,0.826245863975937,TRUE
2040,0.455032418138445,TRUE
2041,0.589928594735774,TRUE
2042,0.565875085334977,TRUE
2043,0.832053377653851,TRUE
2044,0.815888378292848,TRUE
2045,0.84713132056233,TRUE
2046,0.81912077280272,TRUE
2047,0.843665907464015,TRUE
2048,0.846556465476281,TRUE
2049,0.835336429469894,TRUE
2050,0.815333495518952,TRUE
2051,0.820216012471032,TRUE
2052,0.804173653898318,TRUE
2053,0.841056420466326,TRUE
2054,0.777678758198323,TRUE
2055,0.803843823269782,TRUE
2056,0.825462079702963,TRUE
2057,0.832543218989698,TRUE
2058,0.823162722789184,TRUE
2059,0.843005155080287,TRUE
2060,0.834167263952623,TRUE
2061,0.819113871175743,TRUE
2062,0.831555252572387,TRUE
2063,0.821964294471969,TRUE
2064,0.827534316447492,TRUE
2065,0.816483855527517,TRUE
2066,0.800031266257897,TRUE
2067,0.796445222804248,TRUE
2068,0.739973098821468,TRUE
2069,0.783853072279833,TRUE
2070,0.525228975074231,TRUE
2071,0.786436933590581,TRUE
2072,0.769316579451503,TRUE
2073,0.838853448115756,TRUE
2102,0.79685459801054,TRUE
2105,0.821957678926121,TRUE
2109,0.807930468725213,TRUE
2111,0.832938614992479,TRUE
2137,0.801407599858739,TRUE
2140,0.452228888447331,TRUE
2141,0.589928594735774,TRUE
2142,0.587790267548632,TRUE
2156,0.829183597311887,TRUE
2162,0.830196800306873,TRUE
2164,0.827534316447492,TRUE
2201,0.845882904579826,TRUE
2203,0.780543049739988,TRUE
2204,0.83362006425588,TRUE
2205,0.838732499601847,TRUE
2206,0.834733619498203,TRUE
2207,0.827244115280887,TRUE
2208,0.829980639017349,TRUE
2209,0.832883815188106,TRUE
2210,0.833994486592239,TRUE
2211,0.797607992524651,TRUE
2212,0.808797051866155,TRUE
2213,0.798660395466528,TRUE
2214,0.842703347851328,TRUE
2215,0.833851598730217,TRUE
2216,0.795683780359422,TRUE
2217,0.645000026884624,TRUE
2218,0.765483829385723,TRUE
2306,0.834778730722792,TRUE
2750,0.814043782902777,TRUE
2751,0.822939417534402,TRUE
2752,0.824358687840516,TRUE
2753,0.821903169601218,TRUE
2754,0.698981896853525,TRUE
3001,0.772563782414622,TRUE
3002,0.754206966887175,TRUE
3003,0.802376894990066,TRUE
3004,0.770729482045125,TRUE
3005,0.792652174317325,TRUE
3006,0.566474132851021,TRUE
3007,0.677225686003324,TRUE
3008,0.700266988047294,TRUE
3009,0.666152420319929,TRUE
3010,0.724886034186116,TRUE
