"ndvi.var","elev.var","ndvi.mean","elev.mean","area","OA.min","OA.max","OA.slope","OA.mid","OA.curvature","ON.min","ON.max","ON.slope","ON.mid","ON.curvature"
1,0.63,-0.55,0.54,0.25,-0.41,-0.2,0.34,0.16,0.21,-0.41,-0.2,0.33,-0.27,0.19
0.63,1,-0.65,0.67,0.21,-0.46,-0.12,0.4,0.04,0.12,-0.46,-0.12,0.41,-0.26,0.09
-0.55,-0.65,1,-0.78,0.01,0.56,0.33,-0.42,-0.14,-0.2,0.56,0.33,-0.43,0.32,-0.19
0.54,0.67,-0.78,1,0.02,-0.62,-0.26,0.5,0.15,0.16,-0.62,-0.26,0.49,-0.39,0.16
0.25,0.21,0.01,0.02,1,0,0,0,0,0,0,0,0,0,0
-0.41,-0.46,0.56,-0.62,0,1,0.35,-0.84,-0.23,-0.17,1,0.35,-0.79,0.48,-0.15
-0.2,-0.12,0.33,-0.26,0,0.35,1,-0.06,-0.09,-0.14,0.35,1,-0.05,0.18,-0.13
0.34,0.4,-0.42,0.5,0,-0.84,-0.06,1,0.19,0.26,-0.84,-0.06,0.96,-0.41,0.25
0.16,0.04,-0.14,0.15,0,-0.23,-0.09,0.19,1,0.28,-0.23,-0.09,0.13,-0.04,0.24
0.21,0.12,-0.2,0.16,0,-0.17,-0.14,0.26,0.28,1,-0.17,-0.14,0.23,-0.13,0.98
-0.41,-0.46,0.56,-0.62,0,1,0.35,-0.84,-0.23,-0.17,1,0.35,-0.79,0.48,-0.15
-0.2,-0.12,0.33,-0.26,0,0.35,1,-0.06,-0.09,-0.14,0.35,1,-0.05,0.18,-0.13
0.33,0.41,-0.43,0.49,0,-0.79,-0.05,0.96,0.13,0.23,-0.79,-0.05,1,-0.21,0.23
-0.27,-0.26,0.32,-0.39,0,0.48,0.18,-0.41,-0.04,-0.13,0.48,0.18,-0.21,1,-0.07
0.19,0.09,-0.19,0.16,0,-0.15,-0.13,0.25,0.24,0.98,-0.15,-0.13,0.23,-0.07,1
