"","site","species","year","count"
"4","d228_hb","Yellow-b.Sapsucker",1969,6
"5","d228_hb","Hairy Woodpecker",1969,2
"6","d228_hb","Downy Woodpecker",1969,6
"7","d228_hb","Least Flycatcher",1969,26
"8","d228_hb","Wood Pewee",1969,1
"10","d228_hb","Black-c. Chickadee",1969,4
"11","d228_hb","Brown Creeper",1969,2
"12","d228_hb","White-br. Nuthatch",1969,8
"14","d228_hb","Winter Wren",1969,1
"16","d228_hb","Wood Thrush",1969,7
"17","d228_hb","Hermit Thrush",1969,6
"18","d228_hb","Veery",1969,2
"19","d228_hb","Swainson's Thrush",1969,9
"20","d228_hb","Philadelphia Vireo",1969,4
"22","d228_hb","Red-eyed Vireo",1969,20
"24","d228_hb","Bk.-thr. Green Warbler",1969,8
"25","d228_hb","Bk.-thr. Blue Warbler",1969,4
"27","d228_hb","Blackburnian Warbler",1969,2
"29","d228_hb","Ovenbird",1969,6
"30","d228_hb","American Redstart",1969,12
"32","d228_hb","Scarlet Tanager",1969,4
"33","d228_hb","Rose-br. Grosbeak",1969,8
"35","d228_hb","Dark-eyed Junco",1969,8
"36","d228_hb","Purple Finch",1969,2
"42","d228_hb","Yellow-b.Sapsucker",1970,3
"43","d228_hb","Hairy Woodpecker",1970,1
"44","d228_hb","Downy Woodpecker",1970,3
"45","d228_hb","Least Flycatcher",1970,28
"48","d228_hb","Black-c. Chickadee",1970,1
"50","d228_hb","White-br. Nuthatch",1970,2
"52","d228_hb","Winter Wren",1970,0.5
"53","d228_hb","Robin",1970,0.5
"54","d228_hb","Wood Thrush",1970,6
"55","d228_hb","Hermit Thrush",1970,8
"56","d228_hb","Veery",1970,2
"57","d228_hb","Swainson's Thrush",1970,8
"58","d228_hb","Philadelphia Vireo",1970,7
"60","d228_hb","Red-eyed Vireo",1970,24
"62","d228_hb","Bk.-thr. Green Warbler",1970,9
"63","d228_hb","Bk.-thr. Blue Warbler",1970,8
"65","d228_hb","Blackburnian Warbler",1970,5.5
"67","d228_hb","Ovenbird",1970,6
"68","d228_hb","American Redstart",1970,26
"70","d228_hb","Scarlet Tanager",1970,6
"71","d228_hb","Rose-br. Grosbeak",1970,4
"73","d228_hb","Dark-eyed Junco",1970,4
"80","d228_hb","Yellow-b.Sapsucker",1971,4
"81","d228_hb","Hairy Woodpecker",1971,1
"82","d228_hb","Downy Woodpecker",1971,3
"83","d228_hb","Least Flycatcher",1971,43
"84","d228_hb","Wood Pewee",1971,1
"86","d228_hb","Black-c. Chickadee",1971,0.5
"87","d228_hb","Brown Creeper",1971,0.5
