"stateroute","mat.mean","mdr.mean","tseas.mean","tmax.mean","tmin.mean","tar.mean","twarmq.mean","tcoldq.mean","ap.mean","pmax.mean","pmin.mean","pseas.mean","pwetq.mean","pdryq.mean","sum.NDVI.mean","elev.mean","Longi","Lati","sum.NDVI.var","sum.EVI.var","mat.var","mdr.var","tseas.var","tmax.var","tmin.var","tar.var","twarmq.var","tcoldq.var","ap.var","pmax.var","pmin.var","pseas.var","pwetq.var","pdryq.var","elev.var","regR"
2001,15.39166656,13.51333335,773.124998,32.46500034,-2.034999953,34.49999987,25.0250001,5.129999884,1398.3,158.1,79.55,19,414.1666667,259.5666667,0.738277446,172.3666667,-87.6,34.86,0.007789307,0.007058645,0.132831575846812,0.0294130932149472,7.90692755996389,0.11009934663928,0.180566870529657,0.0284573835144876,0.132445127579003,0.147203986180839,355.817377356072,2.85991857980679,5.74422485753874,0.240171244518592,39.5715357123459,28.6518235669762,1654.27001918678,84
2006,15.4885714,13.04142873,772.4228542,32.16428577,-1.912857122,34.07714206,25.10000038,5.174285569,1416.428571,163.3142857,82.98571429,18,414.8571429,273.3714286,0.703928642,180.7285714,-86.68,34.5,0.008705735,0.006510398,0.0636486459577085,0.0255973836474521,48.6087593470092,0.0968261400520294,0.060652948429917,0.0409190693417364,0.0777921337490434,0.0677173211418937,520.34764733848,2.04759491555439,6.2906263527228,0.277206026935399,47.6171080232775,35.6316611835078,3060.69505810187,86
2017,16.25499988,13.36833328,742.7849976,32.49833323,-1.023333332,33.52166653,25.50666666,6.311666695,1459.083333,166.85,83.25,18.95,439.5166667,277.15,0.815699268,149.9,-87,33.52,0.005773732,0.003444662,0.0547875975362437,0.0819710123655192,62.886270310066,0.0332480839045098,0.146561398187894,0.123217364852032,0.0312410683338735,0.108930846501275,524.113480849243,9.47338609799586,11.9549823181101,0.500614127406657,104.756599205171,9.88870619380101,1684.55619492327,78
2019,16.22982443,13.83157896,753.3368434,32.88771934,-1.243859645,34.13157895,25.60526292,6.180701808,1474.210526,164.7719298,83.8245614,20.45614035,445.1578947,269.8421053,0.799953598,106.877193,-88.17,33.47,0.003156585,0.001826608,0.0953235508868635,0.13784546690949,25.562155929205,0.0145893312703122,0.310622693300497,0.256380291093162,0.0762701964170475,0.155428758415388,1207.40974475729,28.5621344689462,5.88315331923418,0.382894406136181,62.3592463643258,70.5067242517337,743.40681885018,75
2021,17.75606046,13.70606063,691.0893906,33.33484904,0.993939401,32.34090938,26.29545429,8.531818101,1450.333333,169.8787879,78.51515152,20.46969697,446.8181818,271.3787879,0.805781902,63.81818182,-87.83,32.27,0.002385633,0.001200808,0.0216589309988804,0.0593463707961507,65.1459968895028,0.0169357870820439,0.0513044193870141,0.0497967119259197,0.0068627814316353,0.0626936335180788,856.031693103883,9.74284527618074,11.7023789948711,0.238785793408697,35.4732510188805,26.9776033380143,371.230241600828,71
2027,17.45967736,12.99838709,691.0935531,32.47258045,0.946774197,31.52580652,25.96290312,8.1693549,1375.419355,163.8064516,68.38709677,21.62903226,426.0967742,259.0806452,0.771619379,118.6774194,-85.55,32.31,0.002299913,0.001208532,0.0799418588732289,0.00956493592326098,56.9707929704489,0.0452507287045785,0.181751616346034,0.070078794017648,0.0459431261686337,0.140087712308713,1798.77028529342,51.9098178871468,15.1048473309985,0.280539764931563,275.158957628682,117.123380578101,1181.84434335721,73
2029,17.91551705,13.19137945,678.6379289,32.77241391,1.532758628,31.23965517,26.26379322,8.83965512,1275.775862,145.137931,58.67241379,21,387.2241379,231.6896552,0.7657445,92.53448276,-85.06,32.14,0.004556389,0.003240895,0.0433498443343838,0.0343888868223996,105.529916497553,0.0344544761883274,0.0586218560628735,0.0297869061401727,0.0217950845596453,0.0869876734416651,1794.59461755151,62.6214620602353,13.0872624128894,0.343587830262381,280.073874387655,129.977221270574,718.203823502764,71
2034,17.89482732,14.06034481,663.9706852,33.08448285,1.277586199,31.80689608,26.03965519,9.001724145,1483.465517,170.3965517,70.18965517,19.60344828,448.2413793,283.7413793,0.80480125,109.2931034,-86.61,31.44,0.001762586,0.000886308,0.0146960048921352,0.0401662659965221,90.3376160217951,0.0417160616686169,0.065940206310693,0.172352159960028,0.0136453378225182,0.0530971775058131,1579.93146541904,6.31878763262849,16.0502973082489,0.361786564782476,48.8572307568587,77.0860547377098,400.893924394822,72
2043,16.69433946,12.93773561,723.313214,32.48113186,-0.118867927,32.5999997,25.73962258,7.081132187,1466.603774,162.6037736,80.77358491,18.09433962,444.3207547,276.0943396,0.802562756,163.5849057,-87.1,33.11,0.003300757,0.001771262,0.0768973306139297,0.0596274170920009,104.227739632717,0.0307539988307517,0.21116042222628,0.211847061642712,0.0511783638437565,0.163011908630762,301.217593824916,16.8746437147488,10.1857944897739,0.728404460583154,31.4691889808089,9.08501621408145,1239.91354374166,75
2045,15.0265625,13.87343761,763.2718763,31.83124971,-2.803125009,34.63437504,24.46093741,4.756249987,1505.03125,167.203125,87.546875,19,447.375,286.5,0.80217484,247.328125,-87.76,34.13,0.001552487,0.001156274,0.0572883659213404,0.137285922363956,17.3005977996812,0.093735027398855,0.0503409504757256,0.0651577086769292,0.0439136813136805,0.0816978269002559,204.51344681123,4.14903723508323,0.847827628395324,0.315099856457367,15.7973518823903,20.3020601930138,2258.63550143446,80
