"record_id","<!doctype_html_public_w3c_dtd_xhtml_1_0_strict_en_http:_www_w3_org_tr_xhtml1_dtd_xhtml1_strict_dtd>"
527276,"<html xmlns=\"http://www.w3.org/1999/xhtml\">"
527277,"<head>"
527278,"<meta http-equiv=\"Content-Type\" content=\"text/html; charset=iso-8859-1\"/>"
527279,"<title>404 - File or directory not found.</title>"
527280,"<style type=\"text/css\">"
527281,"<!--"
527282,"body{margin:0;font-size:.7em;font-family:Verdana, Arial, Helvetica, sans-serif;background:#EEEEEE;}"
527283,"fieldset{padding:0 15px 10px 15px;}"
527284,"h1{font-size:2.4em;margin:0;color:#FFF;}"
527285,"h2{font-size:1.7em;margin:0;color:#CC0000;}"
527286,"h3{font-size:1.2em;margin:10px 0 0 0;color:#000000;}"
527287,"#header{width:96%;margin:0 0 0 0;padding:6px 2% 6px 2%;font-family:\"trebuchet MS\", Verdana, sans-serif;color:#FFF;"
527288,"background-color:#555555;}"
527289,"#content{margin:0 0 0 2%;position:relative;}"
527290,".content-container{background:#FFF;width:96%;margin-top:8px;padding:10px;position:relative;}"
527291,"-->"
527292,"</style>"
527293,"</head>"
527294,"<body>"
527295,"<div id=\"header\"><h1>Server Error</h1></div>"
527296,"<div id=\"content\">"
527297,"<div class=\"content-container\"><fieldset>"
527298,"<h2>404 - File or directory not found.</h2>"
527299,"<h3>The resource you are looking for might have been removed, had its name changed, or is temporarily unavailable.</h3>"
527300,"</fieldset></div>"
527301,"</div>"
527302,"</body>"
527303,"</html>"
