spnum,spcode,family,genus,species,variety,subspecies,spname,binomia_auth,trinomial_auth
1,acalgrac,Euphorbiaceae,Acalypha,gracilens,,,Acalypha gracilens,A. Gray,
2,acalvirg,Euphorbiaceae,Acalypha,virginica,,,Acalypha virginica,L.,
3,achimill,Asteraceae,Achillea,millefolium,,,Achillea millefolium,L.,
4,aegicyli,Poaceae,Aegilops,cylindrica,,,Aegilops cylindrica,Host,
5,agalhete,Scrophulariaceae,Agalinis,heterophylla,,,Agalinis heterophylla,(Nutt.) Small ex Britton,
6,agriparv,Rosaceae,Agrimonia,parviflora,,,Agrimonia parviflora,Aiton,
7,agroelli,Poaceae,Agrostis,elliottiana,,,Agrostis elliottiana,Schult.,
8,agrohyem,Poaceae,Agrostis,hyemalis,,,Agrostis hyemalis,"(Walter) Britton, Sterns & Poggenb.",
9,allicana,Liliaceae,Allium,canadense,,,Allium canadense,L.,
10,alopcaro,Poaceae,Alopecurus,carolinianus,,,Alopecurus carolinianus,Walter,
11,ambrarte,Asteraceae,Ambrosia,artemisiifolia,,,Ambrosia artemisiifolia,L.,
12,ambrbide,Asteraceae,Ambrosia,bidentata,,,Ambrosia bidentata,Michx.,
13,ambrpsil,Asteraceae,Ambrosia,psilostachya,,,Ambrosia psilostachya,DC.,
14,ambrtrif,Asteraceae,Ambrosia,trifida,,,Ambrosia trifida,L.,
15,amorcane,Fabaceae,Amorpha,canescens,,,Amorpha canescens,Pursh,
16,amorfrut,Fabaceae,Amorpha,fruticosa,,,Amorpha fruticosa,L.,
17,amphdrac,Asteraceae,Amphiachyris,dracunculoides,,,Amphiachyris dracunculoides,(DC.) Nutt.,
18,anagmini,Primulaceae,Anagallis,minima,,,Anagallis minima,(L.) Krause,
19,andrgera,Poaceae,Andropogon,gerardii,,,Andropogon gerardii,Vitman,
20,andrvirg,Poaceae,Andropogon,virginicus,,,Andropogon virginicus,L.,
21,anemcaro,Ranunculaceae,Anemone,caroliniana,,,Anemone caroliniana,Walter,
22,antenegl,Asteraceae,Antennaria,neglecta,,,Antennaria neglecta,Greene,
23,apoccann,Apocynaceae,Apocynum,cannabinum,,,Apocynum cannabinum,L.,
24,arenserp,Caryophyllaceae,Arenaria,serpyllifolia,,,Arenaria serpyllifolia,L.,
25,arisolig,Poaceae,Aristida,oligantha,,,Aristida oligantha,Michx.,
26,arispurp,Poaceae,Aristida,purpurascens,,,Aristida purpurascens,Poir.,
27,arnoplan,Asteraceae,Arnoglossum,plantagineum,,,Arnoglossum plantagineum,Raf.,
28,arteludo,Asteraceae,Artemisia,ludoviciana,,,Artemisia ludoviciana,Nutt.,
29,asclsten,Asclepiadaceae,Asclepias,stenophylla,,,Asclepias stenophylla,A. Gray,
30,ascltube,Asclepiadaceae,Asclepias,tuberosa,,,Asclepias tuberosa,L.,
31,asclvert,Asclepiadaceae,Asclepias,verticillata,,,Asclepias verticillata,L.,
32,asclviri,Asclepiadaceae,Asclepias,viridis,,,Asclepias viridis,Walter,
33,asteeric,Asteraceae,Symphyotrichum,ericoides,,,Symphyotrichum ericoides,(L.) G.L. Nesom,
34,asteoole,Asteraceae,Symphyotrichum,oolentangiense,,,Symphyotrichum oolentangiense,(Riddell) G.L. Nesom,
35,astepate,Asteraceae,Symphyotrichum,patens,,,Symphyotrichum patens,(Aiton) G.L. Nesom,
36,astepilo,Asteraceae,Symphyotrichum,pilosum,,,Symphyotrichum pilosum,(Willd.) G.L. Nesom,
37,asteprae,Asteraceae,Symphyotrichum,praealtum,,,Symphyotrichum praealtum,(Poir.) G.L. Nesom,
38,astrcras,Fabaceae,Astragalus,crassicarpus,,,Astragalus crassicarpus,Nutt.,
39,astrnutt,Fabaceae,Astragalus,nuttallianus,,,Astragalus nuttallianus,DC.,
40,baptalba,Fabaceae,Baptisia,alba,,,Baptisia alba,(L.) Vent.,
41,baptaust,Fabaceae,Baptisia,australis,,,Baptisia australis,(L.) R. Br.,
42,baptbrac,Fabaceae,Baptisia,bracteata,,,Baptisia bracteata,Muhl. ex Elliot,
43,bidefron,Asteraceae,Bidens,frondosa,,,Bidens frondosa,L.,
44,bothsacc,Poaceae,Bothriochloa,laguroides,,torreyana,Bothriochloa laguroides ssp. torreyana,(DC.) Herter,(Steud.) Allred & Gould
45,boutcurt,Poaceae,Bouteloua,curtipendula,,,Bouteloua curtipendula,(Michx.) Torr.,
46,bouthirs,Poaceae,Bouteloua,hirsuta,,,Bouteloua hirsuta,Lag.,
47,briceupa,Asteraceae,Brickellia,eupatorioides,,,Brickellia eupatorioides,(L.) Shinners,
48,bromjapo,Poaceae,Bromus,arvensis,,,Bromus arvensis,L.,
49,buchdact,Poaceae,Bouteloua,dactyloides,,,Bouteloua dactyloides,(Nutt.) J.T. Columbus,
50,buchamer,Scrophulariaceae,Buchnera,americana,,,Buchnera americana,L.,
51,callalca,Malvaceae,Callirhoe,alcaeoides,,,Callirhoe alcaeoides,(Michx.) A. Gray,
52,calyserr,Onagraceae,Calylophus,serrulatus,,,Calylophus serrulatus,(Nutt.) P.H. Raven,
53,careamph,Cyperaceae,Carex,amphibola,,,Carex amphibola,Steud.,
54,careanne,Cyperaceae,Carex,annectens,,,Carex annectens,(E.P. Bicknell) E.P. Bicknell,
55,carebush,Cyperaceae,Carex,bushii,,,Carex bushii,Mack.,
56,careceph,Cyperaceae,Carex,cephalophora,,,Carex cephalophora,Muhl. ex Willd.,
57,carefest,Cyperaceae,Carex,festucacea,,,Carex festucacea,Schkuhr ex Willd.,
58,carefran,Cyperaceae,Carex,frankii,,,Carex frankii,Kunth,
59,caregrav,Cyperaceae,Carex,gravida,,,Carex gravida,L.H. Bailey,
60,caremicr,Cyperaceae,Carex,microdonta,,,Carex microdonta,Torr. & Hook.,
61,celtocci,Ulmaceae,Celtis,occidentalis,,,Celtis occidentalis,L.,
62,cerafont,Caryophyllaceae,Cerastium,fontanum,,,Cerastium fontanum,Baumg.,
63,cerccana,Fabaceae,Cercis,canadensis,,,Cercis canadensis,L.,
64,chaetain,Apiaceae,Chaerophyllum,tainturieri,,,Chaerophyllum tainturieri,Hook.,
65,chaeaste,Asteraceae,Chaetopappa,asteroides,,,Chaetopappa asteroides,Nutt. ex DC.,
66,chamfasc,Fabaceae,Chamaecrista,fasciculata,,,Chamaecrista fasciculata,(Michx.) Greene,
67,chammacu,Euphorbiaceae,Chamaesyce,maculata,,,Chamaesyce maculata,(L.) Small,
68,chamnuta,Euphorbiaceae,Chamaesyce,nutans,,,Chamaesyce nutans,(Lag.) Small,
69,chlovert,Poaceae,Chloris,verticillata,,,Chloris verticillata,Nutt.,
70,chrypilo,Asteraceae,Chrysopsis,pilosa,,,Chrysopsis pilosa,Nutt.,
71,cirsalti,Asteraceae,Cirsium,altissimum,,,Cirsium altissimum,(L.) Hill,
72,cirsundu,Asteraceae,Cirsium,undulatum,,,Cirsium undulatum,(Nutt.) Spreng.,
73,cirsvulg,Asteraceae,Cirsium,vulgare,,,Cirsium vulgare,(Savi) Ten.,
74,coelcyli,Poaceae,Coelorachis,cylindrica,,,Coelorachis cylindrica,(Michx.) Nash,
75,conycana,Asteraceae,Conyza,canadensis,,,Conyza canadensis,(L.) Cronquist,
76,coregran,Asteraceae,Coreopsis,grandiflora,,,Coreopsis grandiflora,Hogg ex Sweet,
77,coretinc,Asteraceae,Coreopsis,tinctoria,,,Coreopsis tinctoria,Nutt.,
78,cratcrus,Rosaceae,Crataegus,crus-galli,,,Crataegus crus-galli,L.,
79,crotsagi,Fabaceae,Crotalaria,sagittalis,,,Crotalaria sagittalis,L.,
80,crotcapi,Euphorbiaceae,Croton,capitatus,,,Croton capitatus,Michx.,
81,crotglan,Euphorbiaceae,Croton,glandulosus,,,Croton glandulosus,L.,
82,crotmona,Euphorbiaceae,Croton,monanthogynus,,,Croton monanthogynus,Michx.,
83,crotwill,Euphorbiaceae,Croton,willdenowii,,,Croton willdenowii,G.L. Webster,
84,cuscpent,Cuscutaceae,Cuscuta,pentagona,,,Cuscuta pentagona,Engelm.,
85,cynodact,Poaceae,Cynodon,dactylon,,,Cynodon dactylon,(L.) Pers.,
86,cypeacum,Cyperaceae,Cyperus,acuminatus,,,Cyperus acuminatus,Torr. & Hook. ex Torr.,
87,cypeechi,Cyperaceae,Cyperus,echinatus,,,Cyperus echinatus,(L.) Alph. Wood,
88,cypelupu,Cyperaceae,Cyperus,lupulinus,,,Cyperus lupulinus,(Spreng.) Marcks,
89,cypepseu,Cyperaceae,Cyperus,pseudovegetus,,,Cyperus pseudovegetus,Steud.,
90,cypeseti,Cyperaceae,Cyperus,setigerus,,,Cyperus setigerus,Torr. & Hook.,
91,cypesqua,Cyperaceae,Cyperus,squarrosus,,,Cyperus squarrosus,L.,
92,cypestri,Cyperaceae,Cyperus,strigosus,,,Cyperus strigosus,L.,
93,dalecand,Fabaceae,Dalea,candida,,,Dalea candida,Michx. ex Willd.,
94,dalemult,Fabaceae,Dalea,multiflora,,,Dalea multiflora,(Nutt.) Shinners,
95,dalepurp,Fabaceae,Dalea,purpurea,,,Dalea purpurea,Vent.,
96,daucpusi,Apiaceae,Daucus,pusillus,,,Daucus pusillus,Michx.,
97,delpcaro,Ranunculaceae,Delphinium,carolinianum,,,Delphinium carolinianum,Walter,
98,desmilli,Fabaceae,Desmanthus,illinoensis,,,Desmanthus illinoensis,(Michx.) MacMill. ex B.L. Rob. & Fernald,
99,desmlept,Fabaceae,Desmanthus,leptolobus,,,Desmanthus leptolobus,Torr. & A. Gray,
100,desmcili,Fabaceae,Desmodium,ciliare,,,Desmodium ciliare,(Muhl. ex Willd.) DC.,
101,desmills,Fabaceae,Desmodium,illinoense,,,Desmodium illinoense,A. Gray,
102,desmmari,Fabaceae,Desmodium,marilandicum,,,Desmodium marilandicum,(L.) DC.,
103,desmpani,Fabaceae,Desmodium,paniculatum,,,Desmodium paniculatum,(L.) DC.,
104,desmsess,Fabaceae,Desmodium,sessilifolium,,,Desmodium sessilifolium,(Torr.) Torr. & A. Gray,
105,dichacum,Poaceae,Dichanthelium,acuminatum,,,Dichanthelium acuminatum,(Sw.) Gould & C.A. Clark,
106,dicholig,Poaceae,Dichanthelium,oligosanthes,,,Dichanthelium oligosanthes,(Schult.) Gould,
107,dichspha,Poaceae,Dichanthelium,sphaerocarpon,,,Dichanthelium sphaerocarpon,(Elliot) Gould,
108,digicogn,Poaceae,Digitaria,cognata,,,Digitaria cognata,(Schult.) Pilg.,
109,digisang,Poaceae,Digitaria,sanguinalis,,,Digitaria sanguinalis,(L.) Scop.,
110,diodtere,Rubiaceae,Diodia,teres,,,Diodia teres,Walter,
111,drabbrac,Brassicaceae,Draba,brachycarpa,,,Draba brachycarpa,Nutt. ex Torr. & A. Gray,
112,drabcune,Brassicaceae,Draba,cuneifolia,,,Draba cuneifolia,Nutt. ex Torr. & A. Gray,
113,dracampl,Asteraceae,Dracopis,amplexicaulis,,,Dracopis amplexicaulis,(Vahl) Cass.,
114,echipall,Asteraceae,Echinacea,pallida,,,Echinacea pallida,(Nutt.) Nutt.,
115,eleomont,Cyperaceae,Eleocharis,montevidensis,,,Eleocharis montevidensis,Kunth,
116,elymcana,Poaceae,Elymus,canadensis,,,Elymus canadensis,L.,
117,elymvirg,Poaceae,Elymus,virginicus,,,Elymus virginicus,L.,
118,eragspec,Poaceae,Eragrostis,spectabilis,,,Eragrostis spectabilis,(Pursh) Steud.,
119,erechier,Asteraceae,Erechtites,hieraciifolia,,,Erechtites hieraciifolia,(L.) Raf. ex DC.,
120,erigphil,Asteraceae,Erigeron,philadelphicus,,,Erigeron philadelphicus,L.,
121,erigstri,Asteraceae,Erigeron,strigosus,,,Erigeron strigosus,Muhl. ex Willd.,
122,erynleav,Apiaceae,Eryngium,leavenworthii,,,Eryngium leavenworthii,Torr. & A. Gray,
123,eupaalti,Asteraceae,Eupatorium,altissimum,,,Eupatorium altissimum,L.,
124,euphcoro,Euphorbiaceae,Euphorbia,corollata,,,Euphorbia corollata,L.,
125,euphdent,Euphorbiaceae,Euphorbia,dentata,,,Euphorbia dentata,auct. non Michx.,
126,euphmarg,Euphorbiaceae,Euphorbia,marginata,,,Euphorbia marginata,Pursh,
127,euphspat,Euphorbiaceae,Euphorbia,spathulata,,,Euphorbia spathulata,Lam.,
128,euphtetr,Euphorbiaceae,Euphorbia,tetrapora,,,Euphorbia tetrapora,Engelm.,
129,euthgymn,Asteraceae,Euthamia,gymnospermoides,,,Euthamia gymnospermoides,Greene,
130,festprat,Poaceae,Schedonorus,phoenix,,,Schedonorus phoenix,(Scop.) Holub,
131,fimbpube,Cyperaceae,Fimbristylis,puberula,puberula,,Fimbristylis puberula var. puberula,(Michx.) Vahl,(Michx.) Vahl
132,fragvirg,Rosaceae,Fragaria,virginiana,,,Fragaria virginiana,Duchesne,
133,galaregu,Fabaceae,Galactia,regularis,,,Galactia regularis,"(L.) Britton, Sterns & Poggenb.",
134,galiapar,Rubiaceae,Galium,aparine,,,Galium aparine,L.,
135,galivirg,Rubiaceae,Galium,virgatum,,,Galium virgatum,Nutt.,
136,gamopurp,Asteraceae,Gamochaeta,purpurea,,,Gamochaeta purpurea,(L.) Cabrera,
137,unkngaur,Onagraceae,Gaura,sp.,,,Gaura sp.,,
138,geracaro,Geraniaceae,Geranium,carolinianum,,,Geranium carolinianum,L.,
139,geumcana,Rosaceae,Geum,canadense,,,Geum canadense,Jacq.,
140,glancana,Verbenaceae,Glandularia,canadensis,,,Glandularia canadensis,(L.) Nutt.,
141,gnapobtu,Asteraceae,Pseudognaphalium,obtusifolium,,,Pseudognaphalium obtusifolium,(L.) Hilliard & B.L. Burtt,
142,grinlanc,Asteraceae,Grindelia,lanceolata,,,Grindelia lanceolata,Nutt.,
143,grinsqua,Asteraceae,Grindelia,squarrosa,,,Grindelia squarrosa,(Pursh) Dunal,
144,gymndioi,Fabaceae,Gymnocladus,dioicus,,,Gymnocladus dioicus,(L.) K. Koch,
145,hackvirg,Boraginaceae,Hackelia,virginiana,,,Hackelia virginiana,(L.) I.M. Johnst.,
146,hedehisp,Lamiaceae,Hedeoma,hispida,,,Hedeoma hispida,Pursh,
147,heleamar,Asteraceae,Helenium,amarum,,,Helenium amarum,(Raf.) H. Rock,
148,helihirs,Asteraceae,Helianthus,hirsutus,,,Helianthus hirsutus,Raf.,
149,helimaxi,Asteraceae,Helianthus,maximiliani,,,Helianthus maximiliani,Schrad.,
150,helimoll,Asteraceae,Helianthus,mollis,,,Helianthus mollis,Lam.,
151,hierlong,Asteraceae,Hieracium,longipilum,,,Hieracium longipilum,Torr.,
152,hordpusi,Poaceae,Hordeum,pusillum,,,Hordeum pusillum,Nutt.,
153,houspusi,Rubiaceae,Houstonia,pusilla,,,Houstonia pusilla,Schoepf,
154,hypedrum,Clusiaceae,Hypericum,drummondii,,,Hypericum drummondii,(Grev. & Hook.) Torr. & A. Gray,
155,hypeperf,Clusiaceae,Hypericum,perforatum,,,Hypericum perforatum,L.,
156,hypepunc,Clusiaceae,Hypericum,punctatum,,,Hypericum punctatum,Lam.,
157,hypohirs,Liliaceae,Hypoxis,hirsuta,,,Hypoxis hirsuta,(L.) Coville,
158,isolcari,Cyperaceae,Isolepis,carinata,,,Isolepis carinata,Hook. & Arn. ex Torr.,
159,ivaannua,Asteraceae,Iva,annua,,,Iva annua,L.,
160,juncbrac,Juncaceae,Juncus,brachycarpus,,,Juncus brachycarpus,Engelm.,
161,juncdiff,Juncaceae,Juncus,diffusissimus,,,Juncus diffusissimus,Buckley,
162,juncinte,Juncaceae,Juncus,interior,,,Juncus interior,Wiegand,
163,juncmarg,Juncaceae,Juncus,marginatus,,,Juncus marginatus,Rostk.,
164,junctenu,Juncaceae,Juncus,tenuis,,,Juncus tenuis,Willd.,
165,junctorr,Juncaceae,Juncus,torreyi,,,Juncus torreyi,Coville,
166,junivirg,Cupressaceae,Juniperus,virginiana,,,Juniperus virginiana,L.,
