year,location,season,night,web,trap,recap,species,sex,age,reprod,mass
1989,5pgrass,1,2,2,12,n,pgfv,f,a,na,7
1989,5pgrass,1,2,2,19,n,dior,f,a,na,46
1989,5pgrass,1,2,2,55,n,pgfv,m,a,na,8
1989,5pgrass,1,2,2,58,n,dior,f,a,na,49
1989,5pgrass,1,2,2,84,n,dior,f,a,na,34
1989,5pgrass,1,2,2,129,n,dior,m,a,na,40
1989,5pgrass,1,2,2,132,n,dior,m,a,na,55
1989,5pgrass,1,2,3,12,n,dior,m,a,na,47
1989,5pgrass,1,2,3,18,n,pgfv,m,a,na,8
1989,5pgrass,1,2,3,24,n,spsp,f,a,l,100
1989,5pgrass,1,2,3,30,n,pgfv,m,a,st,7
1989,5pgrass,1,2,3,34,n,dior,m,a,na,43.5
1989,5pgrass,1,2,3,58,n,dior,f,a,l,51
1989,5pgrass,1,2,3,59,n,onar,m,a,na,21
1989,5pgrass,1,2,3,65,n,pgfv,f,a,na,6.5
1989,5pgrass,1,2,3,67,n,remg,m,a,st,7
1989,5pgrass,1,2,3,72,n,dior,m,a,na,41.5
1989,5pgrass,1,2,3,76,n,pgfv,f,a,na,6
1989,5pgrass,1,2,3,83,n,dior,m,a,na,46
1989,5pgrass,1,2,3,91,n,pgfv,m,a,na,8
1989,5pgrass,1,2,3,93,n,dior,m,a,na,52
1989,5pgrass,1,2,3,108,n,pgfv,m,a,st,8
1989,5pgrass,1,2,3,114,n,pgfv,m,a,na,8
1989,5pgrass,1,2,3,119,n,disp,f,a,na,120
1989,5pgrass,1,2,3,120,n,dior,m,a,na,44
1989,5pgrass,1,2,3,142,n,pgfv,m,a,na,8.5
1989,5pgrass,1,2,5,10,n,pgfv,m,a,na,8
1989,5pgrass,1,2,5,15,n,pgfv,m,a,na,7
1989,5pgrass,1,2,5,23,n,dior,m,a,st,49
1989,5pgrass,1,2,5,32,n,pgfv,f,a,na,7
1989,5pgrass,1,2,5,35,n,disp,m,a,na,82
1989,5pgrass,1,2,5,80,n,onar,f,a,na,20
1989,5pgrass,1,2,5,90,n,dime,f,j,na,20
1989,5pgrass,1,2,5,93,n,dime,f,j,na,20
1989,5pgrass,1,2,5,104,n,dior,f,a,na,47
1989,5pgrass,1,2,5,117,n,remg,m,a,na,10
1989,5pgrass,1,2,5,140,n,pgfv,m,a,na,8
1989,5pgrass,1,2,5,141,n,pgfv,m,a,na,8
1989,5pgrass,1,3,2,1,n,dior,m,a,na,48
1989,5pgrass,1,3,2,19,n,pgfv,f,j,na,5
1989,5pgrass,1,3,3,2,n,dior,f,a,l,39.5
1989,5pgrass,1,3,3,8,n,spsp,m,a,st,100
1989,5pgrass,1,3,3,11,n,disp,f,a,na,125
1989,5pgrass,1,3,3,34,n,pgfv,f,a,na,6
1989,5pgrass,1,3,3,35,n,spsp,f,a,na,50
1989,5pgrass,1,3,3,48,n,pgfv,f,a,na,7
1989,5pgrass,1,3,3,55,n,pgfv,m,a,na,7
1989,5pgrass,1,3,3,80,n,remg,f,j,na,6.5
1989,5pgrass,1,3,3,90,n,dior,m,a,na,49
1989,5pgrass,1,3,3,92,n,pgfv,f,a,na,7
1989,5pgrass,1,3,3,105,n,pgfv,f,a,na,7
1989,5pgrass,1,3,3,108,n,pgfv,m,a,na,8
1989,5pgrass,1,3,3,110,n,pgfv,f,a,na,6
1989,5pgrass,1,3,3,144,n,disp,m,j,na,80
1989,5pgrass,1,3,3,144,n,pgfv,m,a,st,7
1989,5pgrass,1,3,5,5,n,spsp,m,a,st,100
1989,5pgrass,1,3,5,12,n,nemi,m,a,na,75
1989,5pgrass,1,3,5,23,n,dior,f,a,l,48
1989,5pgrass,1,3,5,35,n,disp,f,a,na,130
1989,5pgrass,1,3,5,45,n,pgfv,m,a,na,8
1989,5pgrass,1,3,5,54,n,remg,m,j,na,4
1989,5pgrass,1,3,5,70,n,pgfv,f,a,na,7
1989,5pgrass,1,3,5,84,n,onar,f,j,na,11
1989,5pgrass,1,3,5,106,n,pgfv,f,a,na,11
1989,5pgrass,1,3,5,260,n,disp,m,a,st,140
1989,5pgrass,2,1,2,9,n,spsp,m,a,na,105
1989,5pgrass,2,1,2,10,n,dior,m,a,na,51
1989,5pgrass,2,1,2,29,n,pgfv,m,a,st,5
1989,5pgrass,2,1,2,30,n,pgfv,m,a,st,3
1989,5pgrass,2,1,2,42,n,remn,m,a,na,7
1989,5pgrass,2,1,2,48,n,pgfv,m,j,na,5
1989,5pgrass,2,1,2,58,n,dior,m,a,st,50
1989,5pgrass,2,1,2,65,n,pgfv,f,a,na,6.5
1989,5pgrass,2,1,2,68,n,remn,f,a,na,9
1989,5pgrass,2,1,2,70,n,spsp,f,j,na,74
1989,5pgrass,2,1,2,78,n,onar,m,a,st,22
1989,5pgrass,2,1,2,83,n,pgfv,m,a,st,7
1989,5pgrass,2,1,2,84,n,dior,f,a,na,37
1989,5pgrass,2,1,2,95,n,disp,f,a,na,120
1989,5pgrass,2,1,2,106,n,dior,m,a,na,43
1989,5pgrass,2,1,2,116,n,pgfv,f,a,na,7
1989,5pgrass,2,1,2,127,n,pgfv,m,a,st,8
1989,5pgrass,2,1,2,132,n,dior,m,a,st,53
1989,5pgrass,2,1,2,144,n,pgfv,f,a,na,6
1989,5pgrass,2,1,3,5,n,dior,f,a,na,50
1989,5pgrass,2,1,3,32,n,spsp,f,a,na,90
1989,5pgrass,2,1,3,34,n,pgfv,m,a,st,9
1989,5pgrass,2,1,3,50,n,disp,f,a,na,110
1989,5pgrass,2,1,3,55,n,dior,m,a,na,31
1989,5pgrass,2,1,3,60,n,disp,f,a,na,100
1989,5pgrass,2,1,3,62,n,dior,m,a,na,38
1989,5pgrass,2,1,3,65,n,dior,f,a,na,49
1989,5pgrass,2,1,3,83,n,dior,m,a,na,45
1989,5pgrass,2,1,3,92,n,dior,f,a,na,51
1989,5pgrass,2,1,3,105,n,pgfv,f,a,na,6
1989,5pgrass,2,1,3,106,n,pgfv,f,a,na,6
1989,5pgrass,2,1,3,119,n,disp,m,a,na,100
1989,5pgrass,2,1,3,132,n,dior,m,a,st,49
1989,5pgrass,2,1,3,143,n,dior,f,a,na,49
1989,5pgrass,2,1,3,145,n,pgfv,f,a,na,6
1989,5pgrass,2,1,5,35,n,dior,m,a,st,56
1989,5pgrass,2,1,5,48,n,pgfv,m,a,st,7
1989,5pgrass,2,1,5,58,n,pgfv,m,a,na,5.5
1989,5pgrass,2,1,5,69,n,pgfv,f,a,na,7
1989,5pgrass,2,1,5,71,n,dior,f,a,na,51
1989,5pgrass,2,1,5,72,n,pgfv,m,a,na,7
1989,5pgrass,2,1,5,82,n,pgfv,f,a,na,6.5
1989,5pgrass,2,1,5,90,n,pgfv,m,a,st,7
1989,5pgrass,2,1,5,92,n,dior,f,a,na,47
1989,5pgrass,2,1,5,95,n,pgfv,m,a,na,6.5
1989,5pgrass,2,1,5,119,n,pgfv,m,a,na,8
1989,5pgrass,2,1,5,120,n,pgfv,m,a,na,7
1989,5pgrass,2,1,5,140,n,pgfv,f,j,na,4
1989,5pgrass,2,1,5,141,n,pgfv,m,a,st,5
1989,5pgrass,2,1,5,143,n,pgfv,f,j,na,4
1989,5pgrass,2,2,2,9,n,dior,f,a,na,47
1989,5pgrass,2,2,2,10,n,remn,m,a,st,6
1989,5pgrass,2,2,2,12,n,pmtr,f,a,na,na
1989,5pgrass,2,2,2,24,n,dior,m,a,st,42
1989,5pgrass,2,2,2,24,n,pgfv,f,a,l,7
1989,5pgrass,2,2,2,32,n,dime,f,a,na,55
1989,5pgrass,2,2,2,58,n,spsp,f,j,na,66
1989,5pgrass,2,2,2,70,n,remn,f,j,na,4
1989,5pgrass,2,2,2,83,n,pgfv,f,a,na,7
1989,5pgrass,2,2,2,89,n,remn,m,a,na,8
1989,5pgrass,2,2,2,104,n,disp,f,a,na,110
1989,5pgrass,2,2,2,108,n,spsp,f,a,na,100
1989,5pgrass,2,2,2,117,n,pgfv,m,a,st,8.5
1989,5pgrass,2,2,2,144,n,pgfv,f,j,na,5
1989,5pgrass,2,2,3,12,n,dior,m,a,na,47
1989,5pgrass,2,2,3,33,n,pgfv,m,a,na,5.5
1989,5pgrass,2,2,3,39,n,dior,f,a,na,35
1989,5pgrass,2,2,3,48,n,spsp,m,a,na,99
1989,5pgrass,2,2,3,66,n,onar,m,a,st,16
1989,5pgrass,2,2,3,71,n,dior,f,a,na,46
1989,5pgrass,2,2,3,131,n,pgfv,m,a,st,8
1989,5pgrass,2,2,3,143,n,dior,f,a,na,48
1989,5pgrass,2,2,3,260,n,remg,m,j,na,6
1989,5pgrass,2,2,3,na,n,pgfv,m,a,na,8
1989,5pgrass,2,2,5,2,n,pgfv,m,a,na,6
1989,5pgrass,2,2,5,23,n,spsp,m,a,st,110
1989,5pgrass,2,2,5,45,n,pgfv,m,a,na,9
1989,5pgrass,2,2,5,46,n,pgfv,m,a,na,6
1989,5pgrass,2,2,5,91,n,dior,m,a,st,48
1989,5pgrass,2,2,5,94,n,disp,m,a,st,140
1989,5pgrass,2,2,5,134,n,pgfv,m,a,st,8
1989,5pgrass,2,3,3,17,n,pgfv,f,a,na,6
1989,5pgrass,2,3,3,82,n,onar,m,a,na,16
1989,5pgrass,2,3,3,118,n,dior,m,a,st,50
1989,5pgrass,2,3,3,120,n,disp,f,a,na,100
1989,5pgrass,2,3,5,93,n,disp,f,a,na,110
1989,5pgrass,2,3,5,95,n,pgfv,f,a,na,8
1989,5pgrass,2,3,5,107,n,pgfv,m,a,st,8
1989,5pgrass,2,3,5,108,n,pgfv,m,a,na,7.5
1989,5pgrass,2,3,5,131,n,remn,m,a,na,9
1989,5pgrass,2,3,5,132,n,remn,m,j,na,8
1989,5pgrass,2,3,5,260,n,dior,m,a,st,54
1989,5plarrea,1,1,1,4,n,dime,m,a,st,45
1989,5plarrea,1,1,1,17,n,dime,m,a,st,46
1989,5plarrea,1,1,1,22,n,onar,m,a,st,18
1989,5plarrea,1,1,1,33,n,dime,f,a,l,45
1989,5plarrea,1,1,1,41,n,onar,m,a,st,22
1989,5plarrea,1,1,1,42,n,dime,f,a,na,39
1989,5plarrea,1,1,1,52,n,chin,m,a,na,8
1989,5plarrea,1,1,1,54,n,dime,f,a,na,49
1989,5plarrea,1,1,1,60,n,dime,f,a,na,43
1989,5plarrea,1,1,1,67,n,dime,m,a,na,38
1989,5plarrea,1,1,1,78,n,dime,f,j,na,29
1989,5plarrea,1,1,1,95,n,dime,f,a,na,46
1989,5plarrea,1,1,1,102,n,chin,m,a,na,9
1989,5plarrea,1,1,1,105,n,dime,f,a,na,41
1989,5plarrea,1,1,1,127,n,dime,f,a,na,43
1989,5plarrea,1,1,1,140,n,dime,m,a,na,35
1989,5plarrea,1,1,1,143,n,dime,f,a,na,38
1989,5plarrea,1,1,1,144,n,dime,m,a,na,36
1989,5plarrea,1,1,1,145,n,disp,f,a,na,109
1989,5plarrea,1,1,1,260,n,dime,m,a,st,50
1989,5plarrea,1,1,3,26,n,dime,m,a,st,42
1989,5plarrea,1,1,3,27,n,dime,m,a,na,33
1989,5plarrea,1,1,3,33,n,dime,m,a,na,43
1989,5plarrea,1,1,3,56,n,dime,f,a,na,37
1989,5plarrea,1,1,3,69,n,neal,m,a,st,104
1989,5plarrea,1,1,3,71,n,pgfv,f,a,na,14
1989,5plarrea,1,1,3,81,n,dime,m,a,st,45
1989,5plarrea,1,1,3,83,n,dime,f,a,na,38
1989,5plarrea,1,1,3,93,n,dime,f,a,l,39
1989,5plarrea,1,1,3,108,n,dior,f,a,na,40
1989,5plarrea,1,1,3,120,n,dime,f,j,na,28.5
1989,5plarrea,1,1,3,130,n,onar,f,a,na,28
1989,5plarrea,1,1,3,132,n,dime,f,a,na,39
1989,5plarrea,1,1,5,1,n,dime,f,a,na,37
1989,5plarrea,1,1,5,7,n,dime,f,j,l,28
1989,5plarrea,1,1,5,10,n,dime,m,a,na,40
1989,5plarrea,1,1,5,54,n,onar,f,a,na,20
1989,5plarrea,1,1,5,67,n,dime,m,a,st,40
1989,5plarrea,1,1,5,92,n,dime,f,a,l,37
1989,5plarrea,1,1,5,93,n,disp,f,a,na,98
1989,5plarrea,1,1,5,108,n,dime,f,a,na,32
1989,5plarrea,1,1,5,129,n,dime,m,a,st,45
1989,5plarrea,1,1,5,138,n,dime,f,a,na,32
1989,5plarrea,1,1,5,144,n,dime,f,a,na,41
1989,5plarrea,1,2,1,24,n,dime,f,a,na,36
1989,5plarrea,1,2,1,32,n,dime,m,a,na,38
1989,5plarrea,1,2,1,52,n,pgfv,m,a,st,7.5
1989,5plarrea,1,2,1,60,n,disp,m,a,st,148
1989,5plarrea,1,2,1,108,n,dime,m,a,na,40
1989,5plarrea,1,2,1,127,n,dime,m,a,st,42
1989,5plarrea,1,2,1,130,n,dime,f,a,na,33.5
1989,5plarrea,1,2,1,132,n,pgfv,f,a,l,7
1989,5plarrea,1,2,1,138,n,pgfv,f,a,na,7
1989,5plarrea,1,2,1,143,n,dime,m,a,na,37
1989,5plarrea,1,2,1,144,n,dime,na,j,na,27
1989,5plarrea,1,2,1,260,n,dime,f,a,l,41
1989,5plarrea,1,2,3,12,n,dime,f,a,na,37
1989,5plarrea,1,2,3,22,n,pgfv,m,a,na,7
1989,5plarrea,1,2,3,45,n,dime,m,a,st,48
1989,5plarrea,1,2,3,56,n,onar,f,a,na,29
1989,5plarrea,1,2,3,69,n,nemi,f,j,na,70
1989,5plarrea,1,2,3,70,n,nemi,f,j,na,64
1989,5plarrea,1,2,3,72,n,dime,f,a,l,41
1989,5plarrea,1,2,3,77,n,pgfv,m,a,st,6
1989,5plarrea,1,2,3,84,n,remg,f,a,na,9
1989,5plarrea,1,2,3,92,n,dime,f,a,na,40
1989,5plarrea,1,2,3,93,n,dime,m,a,st,45
1989,5plarrea,1,2,3,108,n,dime,m,a,st,45
1989,5plarrea,1,2,3,114,n,onar,f,a,na,35
1989,5plarrea,1,2,3,128,n,dime,f,a,na,38
1989,5plarrea,1,2,3,142,n,dime,m,a,st,44
1989,5plarrea,1,2,5,11,n,dime,f,a,l,43
1989,5plarrea,1,2,5,22,n,dime,m,a,st,44
1989,5plarrea,1,2,5,59,n,dime,m,a,st,45
1989,5plarrea,1,2,5,79,n,dime,m,j,na,19
1989,5plarrea,1,2,5,83,n,dime,f,j,na,20
1989,5plarrea,1,2,5,94,n,dime,f,a,na,47
1989,5plarrea,1,2,5,105,n,dime,m,a,st,47
1989,5plarrea,1,2,5,107,n,onar,f,a,p,20
1989,5plarrea,1,2,5,120,n,dime,f,a,na,39
1989,5plarrea,1,2,5,129,n,dime,f,a,na,44
1989,5plarrea,1,2,5,131,n,dime,f,a,p,42
1989,5plarrea,1,2,5,136,n,onar,m,a,st,20
1989,5plarrea,1,2,5,260,n,dime,m,a,st,42
1989,5plarrea,1,3,1,17,n,dime,m,a,na,45
1989,5plarrea,1,3,1,43,n,dime,m,a,st,54
1989,5plarrea,1,3,1,48,n,pgfv,m,a,st,8
1989,5plarrea,1,3,1,59,n,dime,m,a,st,45
1989,5plarrea,1,3,1,84,n,dime,f,a,na,41
1989,5plarrea,1,3,1,144,n,pgfv,m,a,na,7
1989,5plarrea,1,3,3,21,n,disp,f,j,na,86
1989,5plarrea,1,3,3,34,n,disp,f,a,na,89
1989,5plarrea,1,3,3,46,n,dime,f,a,l,42
1989,5plarrea,1,3,3,48,n,dime,f,a,na,40
1989,5plarrea,1,3,3,142,n,disp,f,a,na,92
1989,5plarrea,1,3,5,24,n,dime,m,a,st,na
1989,5plarrea,1,3,5,46,n,dime,f,a,na,38
1989,5plarrea,1,3,5,55,n,disp,f,a,na,110
1989,5plarrea,1,3,5,72,n,dime,m,a,st,43
1989,5plarrea,2,1,1,8,n,pgfv,m,j,st,5
1989,5plarrea,2,1,1,9,n,dime,m,a,st,49
1989,5plarrea,2,1,1,10,n,dime,m,a,st,45
1989,5plarrea,2,1,1,11,n,dime,m,a,na,40
1989,5plarrea,2,1,1,12,n,dime,f,a,na,38
1989,5plarrea,2,1,1,17,n,disp,f,a,na,130
1989,5plarrea,2,1,1,22,n,pgfv,m,a,na,7
1989,5plarrea,2,1,1,24,n,dime,m,a,st,52
1989,5plarrea,2,1,1,31,n,dime,m,a,st,42
1989,5plarrea,2,1,1,33,n,dime,m,a,na,36
1989,5plarrea,2,1,1,34,n,pmle,m,a,na,22
1989,5plarrea,2,1,1,44,n,dime,m,a,st,45
1989,5plarrea,2,1,1,46,n,disp,m,a,st,100
1989,5plarrea,2,1,1,47,n,dime,f,a,l,43
1989,5plarrea,2,1,1,48,n,dime,m,a,st,41
1989,5plarrea,2,1,1,54,n,remg,m,a,na,17
1989,5plarrea,2,1,1,56,n,chin,m,a,na,16
1989,5plarrea,2,1,1,63,n,dime,m,a,st,46
1989,5plarrea,2,1,1,69,n,dime,m,a,st,41
1989,5plarrea,2,1,1,70,n,pgfv,f,j,na,5
1989,5plarrea,2,1,1,72,n,dime,f,a,na,32
1989,5plarrea,2,1,1,80,n,dime,m,a,st,44
1989,5plarrea,2,1,1,81,n,dime,f,a,na,46
1989,5plarrea,2,1,1,81,n,onar,f,a,p,26
1989,5plarrea,2,1,1,83,n,disp,f,j,na,75
1989,5plarrea,2,1,1,84,n,dime,f,a,na,41
1989,5plarrea,2,1,1,95,n,dime,m,a,st,42
1989,5plarrea,2,1,1,96,n,dime,f,a,na,40
1989,5plarrea,2,1,1,101,n,dime,f,a,na,38
1989,5plarrea,2,1,1,103,n,dime,f,a,na,44
1989,5plarrea,2,1,1,104,n,dime,m,j,na,29
1989,5plarrea,2,1,1,115,n,dime,f,a,na,44
1989,5plarrea,2,1,1,117,n,pgfv,m,a,st,8
1989,5plarrea,2,1,1,119,n,dime,m,a,st,44
1989,5plarrea,2,1,1,131,n,onar,m,j,na,10
1989,5plarrea,2,1,1,132,n,dime,m,a,na,41
1989,5plarrea,2,1,1,138,n,dime,m,a,st,37
1989,5plarrea,2,1,1,139,n,pgfv,f,a,na,6
1989,5plarrea,2,1,1,142,n,pgfv,m,a,st,7
1989,5plarrea,2,1,1,143,n,dime,m,a,st,42
1989,5plarrea,2,1,1,144,n,dime,f,a,na,40
1989,5plarrea,2,1,1,260,n,dime,f,a,na,39
1989,5plarrea,2,1,3,7,n,dime,m,a,st,47
1989,5plarrea,2,1,3,8,n,pgfv,f,a,na,7
1989,5plarrea,2,1,3,18,n,dime,m,a,st,43
1989,5plarrea,2,1,3,19,n,dime,na,j,na,28
1989,5plarrea,2,1,3,21,n,pgfv,f,a,na,7
1989,5plarrea,2,1,3,26,n,dime,m,a,na,42
1989,5plarrea,2,1,3,30,n,remg,m,a,na,8.5
1989,5plarrea,2,1,3,32,n,disp,f,a,na,100
1989,5plarrea,2,1,3,35,n,remg,m,a,st,7.5
1989,5plarrea,2,1,3,38,n,pgfv,f,a,na,7
1989,5plarrea,2,1,3,43,n,pgfv,m,a,st,8.5
1989,5plarrea,2,1,3,46,n,pgfv,m,a,st,7
1989,5plarrea,2,1,3,47,n,dime,f,a,na,41
1989,5plarrea,2,1,3,48,n,dime,m,a,na,41
1989,5plarrea,2,1,3,51,n,pgfv,m,a,st,6.5
1989,5plarrea,2,1,3,54,n,pgfv,m,a,na,6
1989,5plarrea,2,1,3,57,n,pgfv,m,a,st,7
1989,5plarrea,2,1,3,58,n,dime,f,a,na,46
1989,5plarrea,2,1,3,60,n,dime,f,a,na,38
1989,5plarrea,2,1,3,68,n,onar,m,j,na,17
1989,5plarrea,2,1,3,70,n,dime,f,a,na,39
1989,5plarrea,2,1,3,71,n,pgfv,f,a,na,7.5
1989,5plarrea,2,1,3,72,n,dime,f,a,na,40
1989,5plarrea,2,1,3,80,n,pgfv,m,j,st,5
1989,5plarrea,2,1,3,82,n,neal,m,a,na,130
1989,5plarrea,2,1,3,103,n,pgfv,m,a,st,8
1989,5plarrea,2,1,3,104,n,dime,m,a,st,44
1989,5plarrea,2,1,3,105,n,onar,f,a,p,28
1989,5plarrea,2,1,3,116,n,pgfv,f,a,na,5
1989,5plarrea,2,1,3,118,n,dime,m,a,na,35
1989,5plarrea,2,1,3,120,n,dime,m,a,st,42
1989,5plarrea,2,1,3,125,n,dime,f,a,na,39
1989,5plarrea,2,1,3,128,n,remg,f,a,l,7
1989,5plarrea,2,1,3,130,n,pgfv,m,a,st,7.5
1989,5plarrea,2,1,3,141,n,dime,f,a,na,42
1989,5plarrea,2,1,3,143,n,dime,f,a,na,43
1989,5plarrea,2,1,5,7,n,pgfv,m,a,st,6
1989,5plarrea,2,1,5,17,n,pgfv,m,a,st,7
1989,5plarrea,2,1,5,22,n,pgfv,f,a,na,7
1989,5plarrea,2,1,5,24,n,dime,m,a,st,41
1989,5plarrea,2,1,5,32,n,pgfv,m,a,st,7.5
1989,5plarrea,2,1,5,33,n,dime,m,a,st,46
1989,5plarrea,2,1,5,60,n,dime,m,a,st,44
1989,5plarrea,2,1,5,65,n,dime,m,a,st,42
1989,5plarrea,2,1,5,71,n,dime,f,a,na,41
1989,5plarrea,2,1,5,84,n,dime,f,a,na,35
1989,5plarrea,2,1,5,94,n,disp,f,a,na,100
1989,5plarrea,2,1,5,95,n,dime,f,a,na,36
1989,5plarrea,2,1,5,103,n,pgfv,m,a,st,7.5
1989,5plarrea,2,1,5,115,n,disp,m,a,st,150
1989,5plarrea,2,1,5,117,n,onar,f,a,p,22
1989,5plarrea,2,1,5,118,n,dime,m,a,st,49
1989,5plarrea,2,1,5,120,n,dime,f,a,v,34
1989,5plarrea,2,1,5,130,n,dime,m,a,st,45
1989,5plarrea,2,1,5,134,n,dime,f,a,na,39
1989,5plarrea,2,1,5,137,n,dime,f,a,na,42
1989,5plarrea,2,1,5,139,n,dime,m,a,st,47
1989,5plarrea,2,1,5,140,n,pgfv,m,a,st,7
1989,5plarrea,2,1,5,141,n,pgfv,f,a,na,6.5
1989,5plarrea,2,1,5,143,n,dime,f,a,na,35
1989,5plarrea,2,2,1,20,n,chin,f,a,na,14
1989,5plarrea,2,2,1,24,n,dime,m,a,na,41
1989,5plarrea,2,2,1,33,n,pgfv,m,a,na,8
1989,5plarrea,2,2,1,46,n,disp,m,a,st,100
1989,5plarrea,2,2,1,56,n,dime,f,a,na,40
1989,5plarrea,2,2,1,68,n,dime,m,a,st,41
1989,5plarrea,2,2,1,69,n,dime,f,a,na,30
1989,5plarrea,2,2,1,71,n,dime,f,a,na,31
1989,5plarrea,2,2,1,83,n,disp,m,j,na,78
1989,5plarrea,2,2,1,102,n,dime,f,a,na,41
1989,5plarrea,2,2,1,130,n,dime,m,a,na,39
1989,5plarrea,2,2,1,142,n,pgfv,m,a,st,7
1989,5plarrea,2,2,1,143,n,pgfv,m,a,st,6
1989,5plarrea,2,2,3,7,n,pgfv,f,a,na,7
1989,5plarrea,2,2,3,12,n,dime,f,a,v,51
1989,5plarrea,2,2,3,52,n,dime,m,a,st,47
1989,5plarrea,2,2,3,54,n,pgfv,f,a,na,6
1989,5plarrea,2,2,3,62,n,dime,m,a,na,37
1989,5plarrea,2,2,3,82,n,dime,m,a,st,46
1989,5plarrea,2,2,3,83,n,pgfv,f,j,na,5
1989,5plarrea,2,2,3,84,n,dime,m,a,st,35
1989,5plarrea,2,2,3,93,n,dime,f,a,na,41
1989,5plarrea,2,2,3,96,n,dime,f,a,na,38
1989,5plarrea,2,2,3,99,n,onar,m,j,na,15
1989,5plarrea,2,2,3,106,n,dime,f,a,na,39
1989,5plarrea,2,2,3,140,n,dime,f,a,na,38
1989,5plarrea,2,2,3,144,n,dime,f,a,na,40
1989,5plarrea,2,2,5,12,n,dime,f,a,na,36
1989,5plarrea,2,2,5,33,n,dime,f,a,na,30
1989,5plarrea,2,2,5,47,n,dime,m,a,na,33
1989,5plarrea,2,2,5,60,n,dime,f,a,na,42
1989,5plarrea,2,2,5,68,n,pgfv,m,a,st,8
1989,5plarrea,2,2,5,80,n,dime,f,a,na,35
1989,5plarrea,2,2,5,96,n,pgfv,f,a,na,6
1989,5plarrea,2,2,5,102,n,pgfv,f,a,na,7
1989,5plarrea,2,2,5,105,n,dime,f,a,na,30
1989,5plarrea,2,2,5,105,n,pgfv,f,a,na,6.5
1989,5plarrea,2,2,5,129,n,dime,f,a,na,43
1989,5plarrea,2,2,5,137,n,dime,m,a,na,30
1989,5plarrea,2,3,1,8,n,dime,m,a,na,47
1989,5plarrea,2,3,1,11,n,pgfv,m,a,na,6.5
1989,5plarrea,2,3,1,24,n,pmsp,f,a,na,na
1989,5plarrea,2,3,1,46,n,dime,f,a,l,42
1989,5plarrea,2,3,1,71,n,dime,m,a,na,36
1989,5plarrea,2,3,1,105,n,onar,m,a,st,24
1989,5plarrea,2,3,1,107,n,onar,f,a,p,na
1989,5plarrea,2,3,1,129,n,dime,m,a,na,42
1989,5plarrea,2,3,1,130,n,dime,f,a,na,44
1989,5plarrea,2,3,3,51,n,pgfv,m,a,na,7
1989,5plarrea,2,3,3,55,n,disp,f,a,l,100
1989,5plarrea,2,3,3,70,n,pgfv,m,a,st,7
1989,5plarrea,2,3,3,71,n,dime,m,a,na,30
