plot,year,rooted_in,cover,spcode
205,1998,1,2,acalvirg
205,1998,1,1,achimill
205,1998,1,2,ambrarte
205,1998,1,2,ambrpsil
205,1998,1,2,amorcane
205,1998,1,2,amphdrac
205,1998,1,4,andrgera
205,1998,1,2,arnoplan
205,1998,1,2,asclviri
205,1998,1,2,asteeric
205,1998,1,2,baptalba
205,1998,1,2,baptaust
205,1998,1,2,boutcurt
205,1998,1,2,bromjapo
205,1998,1,1,buchdact
205,1998,1,2,carebush
205,1998,1,2,carefest
205,1998,1,2,caremicr
205,1998,1,2,chamnuta
205,1998,1,2,cirsalti
205,1998,1,2,cirsvulg
205,1998,1,2,conycana
205,1998,1,2,cypeseti
205,1998,1,2,dicholig
205,1998,1,2,eleomont
205,1998,1,2,elymcana
205,1998,1,2,elymvirg
205,1998,1,2,erigphil
205,1998,1,1,erigstri
205,1998,1,2,euphmarg
205,1998,1,1,euphspat
205,1998,1,2,juncinte
205,1998,1,2,lactserr
205,1998,1,2,lespproc
205,1998,1,2,lespvirg
205,1998,1,2,linusulc
205,1998,1,2,medilupu
205,1998,1,2,melioffi
205,1998,1,2,monafist
205,1998,1,2,oxaldill
205,1998,1,2,panivirg
205,1998,1,2,penstubi
205,1998,1,2,physvirg
205,1998,1,2,planvirg
205,1998,1,2,poaprate
205,1998,1,2,polyvert
205,1998,1,2,psortenu
205,1998,1,2,ruelhumi
205,1998,1,2,salvazur
205,1998,1,3,schiscop
205,1998,1,1,setaparv
205,1998,1,3,solicana
205,1998,1,2,sorgnuta
205,1998,1,2,sporcomp
205,1998,1,2,stroleio
205,1998,1,2,symporbi
205,1998,1,2,unari205
205,1998,1,2,verbsimp
205,1998,1,2,vernbald
205,1998,1,2,xantstru
206,1998,1,2,achimill
206,1998,1,1,ambrarte
206,1998,1,2,ambrpsil
206,1998,1,2,amorcane
206,1998,1,6,andrgera
206,1998,1,2,asclsten
206,1998,1,2,asclviri
206,1998,1,2,asteeric
206,1998,1,2,asteoole
206,1998,1,2,baptbrac
206,1998,1,1,bothsacc
206,1998,1,1,briceupa
206,1998,1,2,bromjapo
206,1998,1,2,carebush
206,1998,1,2,careceph
206,1998,1,2,carefest
206,1998,1,2,caremicr
206,1998,1,2,chamnuta
206,1998,1,2,cirsalti
206,1998,1,2,cirsundu
206,1998,1,1,conycana
206,1998,1,2,coregran
206,1998,1,2,cypeechi
206,1998,1,2,cypelupu
206,1998,1,2,dalecand
206,1998,1,2,dalepurp
206,1998,1,2,desmilli
206,1998,1,2,desmsess
206,1998,1,2,dichacum
206,1998,1,2,dicholig
206,1998,1,1,digicogn
206,1998,1,2,elymcana
206,1998,1,2,elymvirg
206,1998,1,2,eragspec
206,1998,1,2,erigstri
206,1998,1,2,fimbpube
206,1998,1,2,juncinte
206,1998,1,2,koelmacr
206,1998,1,2,kummstri
206,1998,1,2,lespproc
206,1998,1,2,lespvirg
206,1998,1,2,linusulc
206,1998,1,2,lithinci
206,1998,1,2,melioffi
206,1998,1,2,mimoquad
206,1998,1,2,oxaldill
206,1998,1,2,panivirg
206,1998,1,2,physpumi
206,1998,1,2,physvirg
206,1998,1,2,poaprate
206,1998,1,2,psortenu
206,1998,1,2,raticolu
206,1998,1,2,rosacaro
206,1998,1,3,rubuostr
206,1998,1,2,rudbhirt
206,1998,1,2,ruelhumi
206,1998,1,2,salvazur
206,1998,1,4,schiscop
206,1998,1,2,setaparv
206,1998,1,2,sisycamp
206,1998,1,2,solicana
206,1998,1,3,sorgnuta
206,1998,1,2,unknspir
206,1998,1,2,sporcomp
206,1998,1,2,stroleio
206,1998,1,2,tridflav
206,1998,1,1,unheu206
206,1998,1,2,unnla206
208,1998,1,2,acalgrac
208,1998,1,1,acalvirg
208,1998,1,2,achimill
208,1998,1,2,allicana
208,1998,1,2,ambrbide
208,1998,1,2,ambrpsil
208,1998,1,2,amphdrac
208,1998,1,6,andrgera
208,1998,1,2,asclviri
208,1998,1,3,asteeric
208,1998,1,2,astrcras
208,1998,1,1,briceupa
208,1998,1,2,bromjapo
208,1998,1,1,buchdact
208,1998,1,1,callalca
208,1998,1,2,careceph
208,1998,1,2,carefest
208,1998,1,2,caregrav
208,1998,1,4,caremicr
208,1998,1,1,chaetain
208,1998,1,1,chamnuta
208,1998,1,2,cirsalti
208,1998,1,1,conycana
208,1998,1,2,crotmona
208,1998,1,1,cuscpent
208,1998,1,2,dalecand
208,1998,1,2,dalepurp
208,1998,1,2,desmlept
208,1998,1,2,dicholig
208,1998,1,2,dracampl
208,1998,1,4,elymcana
208,1998,1,3,elymvirg
208,1998,1,1,eragspec
208,1998,1,2,erigstri
208,1998,1,2,euphspat
208,1998,1,1,fragvirg
208,1998,1,2,juncinte
208,1998,1,2,kummstip
208,1998,1,2,lespcune
208,1998,1,2,lespproc
208,1998,1,2,melioffi
208,1998,1,2,monacitr
208,1998,1,2,oenospec
208,1998,1,2,oxaldill
208,1998,1,1,oxalviol
208,1998,1,3,panivirg
208,1998,1,2,phalcaro
208,1998,1,2,physpumi
208,1998,1,1,planvirg
208,1998,1,2,poaprate
208,1998,1,2,polynutt
208,1998,1,2,psortenu
208,1998,1,2,pyrrcaro
208,1998,1,2,raticolu
208,1998,1,1,rudbhirt
208,1998,1,2,rumecris
208,1998,1,2,salvazur
208,1998,1,2,schiscop
208,1998,1,2,setaparv
208,1998,1,1,sileanti
208,1998,1,2,solacaro
208,1998,1,1,solicana
208,1998,1,2,sorgnuta
208,1998,1,2,spheobtu
208,1998,1,5,sporcomp
208,1998,1,2,stroleio
208,1998,1,2,symporbi
208,1998,1,2,trioperf
208,1998,1,2,vernbald
208,1998,1,2,xantstru
220,1998,1,2,acalvirg
220,1998,1,2,achimill
220,1998,1,2,ambrarte
220,1998,1,2,ambrpsil
220,1998,1,2,amorcane
220,1998,1,6,andrgera
220,1998,1,2,asclviri
220,1998,1,2,asteeric
220,1998,1,2,baptalba
220,1998,1,2,baptbrac
220,1998,1,2,bothsacc
220,1998,1,2,bromjapo
220,1998,1,2,carebush
220,1998,1,2,carefest
220,1998,1,2,caregrav
220,1998,1,2,caremicr
220,1998,1,2,cirsalti
220,1998,1,2,cypeechi
220,1998,1,2,cypeseti
220,1998,1,2,dichacum
220,1998,1,2,dicholig
220,1998,1,2,eleomont
220,1998,1,2,elymcana
220,1998,1,2,elymvirg
220,1998,1,2,erigstri
220,1998,1,2,eupaalti
220,1998,1,1,fragvirg
220,1998,1,1,unkngaur
220,1998,1,2,juncinte
220,1998,1,2,lespcune
220,1998,1,2,melioffi
220,1998,1,2,monafist
220,1998,1,2,oenospec
220,1998,1,2,oxaldill
220,1998,1,1,oxalviol
220,1998,1,2,panivirg
220,1998,1,2,physpumi
220,1998,1,2,poaprate
220,1998,1,1,psortenu
220,1998,1,2,ruelhumi
220,1998,1,2,rumecris
220,1998,1,3,schiscop
220,1998,1,2,setaparv
220,1998,1,2,sisycamp
220,1998,1,2,solacaro
220,1998,1,3,sorgnuta
220,1998,1,2,spheobtu
220,1998,1,2,sporcomp
220,1998,1,2,tradohie
220,1998,1,2,tridflav
220,1998,1,2,vernarka
220,1998,1,2,vernbald
222,1998,1,2,acalvirg
222,1998,1,2,achimill
222,1998,1,2,agrohyem
222,1998,1,2,ambrbide
222,1998,1,2,ambrpsil
222,1998,1,2,amorcane
222,1998,1,5,andrgera
222,1998,1,2,arteludo
222,1998,1,2,asclviri
222,1998,1,2,asteeric
222,1998,1,2,bothsacc
222,1998,1,2,briceupa
222,1998,1,2,callalca
222,1998,1,2,carebush
222,1998,1,2,careceph
222,1998,1,2,carefest
222,1998,1,2,caregrav
222,1998,1,2,caremicr
222,1998,1,2,cirsalti
222,1998,1,2,cirsundu
222,1998,1,2,cypeechi
222,1998,1,2,cypelupu
222,1998,1,2,cypepseu
222,1998,1,2,dalepurp
222,1998,1,2,desmilli
222,1998,1,2,desmsess
222,1998,1,2,dicholig
222,1998,1,2,eleomont
222,1998,1,2,elymcana
