plot,year,corner,scale,spcode
205,1998,1,0.1,acalvirg
205,1998,2,0.1,acalvirg
205,1998,3,0.01,acalvirg
205,1998,4,1.0,achimill
205,1998,2,1.0,ambrarte
205,1998,3,10.0,ambrarte
205,1998,1,0.01,ambrpsil
205,1998,2,0.1,ambrpsil
205,1998,3,10.0,ambrpsil
205,1998,4,1.0,ambrpsil
205,1998,4,1.0,amorcane
205,1998,1,10.0,amphdrac
205,1998,3,10.0,amphdrac
205,1998,1,0.1,andrgera
205,1998,2,0.1,andrgera
205,1998,3,0.01,andrgera
205,1998,4,0.01,andrgera
205,1998,3,10.0,arnoplan
205,1998,1,1.0,asclviri
205,1998,2,1.0,asclviri
205,1998,3,10.0,asclviri
205,1998,4,10.0,asclviri
205,1998,1,10.0,asteeric
205,1998,4,1.0,asteeric
205,1998,4,10.0,baptalba
205,1998,1,10.0,baptaust
205,1998,1,0.01,boutcurt
205,1998,1,1.0,bromjapo
205,1998,2,10.0,bromjapo
205,1998,3,10.0,bromjapo
205,1998,4,10.0,bromjapo
205,1998,NA,100.0,buchdact
205,1998,3,10.0,carebush
205,1998,1,10.0,carefest
205,1998,2,10.0,carefest
205,1998,3,1.0,carefest
205,1998,4,0.1,carefest
205,1998,3,0.1,caremicr
205,1998,1,10.0,chamnuta
205,1998,2,1.0,chamnuta
205,1998,1,1.0,cirsalti
205,1998,2,0.1,cirsalti
205,1998,3,0.1,cirsalti
205,1998,4,1.0,cirsalti
205,1998,1,1.0,cirsvulg
205,1998,2,1.0,cirsvulg
205,1998,2,1.0,conycana
205,1998,3,10.0,conycana
205,1998,3,0.1,cypeseti
205,1998,1,0.1,dicholig
205,1998,2,10.0,dicholig
205,1998,3,0.1,dicholig
205,1998,4,10.0,dicholig
205,1998,2,0.1,eleomont
205,1998,1,10.0,elymcana
205,1998,3,10.0,elymcana
205,1998,4,0.1,elymcana
205,1998,1,10.0,elymvirg
205,1998,2,10.0,elymvirg
205,1998,3,0.1,erigphil
205,1998,4,0.1,erigphil
205,1998,1,1.0,erigstri
205,1998,1,10.0,euphmarg
205,1998,2,10.0,euphmarg
205,1998,4,10.0,euphmarg
205,1998,1,1.0,euphspat
205,1998,2,10.0,juncinte
205,1998,3,10.0,juncinte
205,1998,1,1.0,lactserr
205,1998,2,0.1,lactserr
205,1998,3,0.1,lactserr
205,1998,3,10.0,lespproc
205,1998,2,1.0,lespvirg
205,1998,3,10.0,lespvirg
205,1998,1,10.0,linusulc
205,1998,2,0.1,linusulc
205,1998,3,1.0,linusulc
205,1998,4,1.0,linusulc
205,1998,1,10.0,medilupu
205,1998,2,0.01,medilupu
205,1998,3,10.0,medilupu
205,1998,4,10.0,medilupu
205,1998,1,10.0,melioffi
205,1998,2,10.0,melioffi
205,1998,3,0.01,melioffi
205,1998,4,1.0,melioffi
205,1998,4,10.0,monafist
205,1998,1,1.0,oxaldill
205,1998,2,1.0,oxaldill
205,1998,3,0.1,oxaldill
205,1998,4,1.0,oxaldill
205,1998,1,1.0,panivirg
205,1998,2,0.01,panivirg
205,1998,3,0.1,panivirg
205,1998,4,1.0,panivirg
205,1998,1,0.1,penstubi
205,1998,3,10.0,penstubi
205,1998,1,10.0,physvirg
205,1998,4,1.0,planvirg
205,1998,1,0.01,poaprate
205,1998,2,0.1,poaprate
205,1998,3,10.0,poaprate
205,1998,4,0.01,poaprate
205,1998,2,0.1,polyvert
205,1998,3,10.0,polyvert
205,1998,1,1.0,psortenu
205,1998,2,10.0,psortenu
205,1998,3,10.0,psortenu
205,1998,4,1.0,psortenu
205,1998,2,10.0,ruelhumi
205,1998,3,1.0,ruelhumi
205,1998,4,1.0,ruelhumi
205,1998,2,10.0,salvazur
205,1998,4,1.0,salvazur
205,1998,1,0.01,schiscop
205,1998,2,0.01,schiscop
205,1998,3,0.1,schiscop
205,1998,4,0.1,schiscop
205,1998,NA,100.0,setaparv
205,1998,1,10.0,solicana
205,1998,2,1.0,solicana
205,1998,3,1.0,solicana
205,1998,4,0.01,solicana
205,1998,1,0.1,sorgnuta
205,1998,2,0.1,sorgnuta
205,1998,3,0.01,sorgnuta
205,1998,4,0.01,sorgnuta
205,1998,1,0.01,sporcomp
205,1998,2,1.0,sporcomp
205,1998,3,0.1,sporcomp
205,1998,4,0.1,sporcomp
205,1998,1,1.0,stroleio
205,1998,2,0.1,stroleio
205,1998,3,0.01,stroleio
205,1998,4,0.1,stroleio
205,1998,NA,100.0,symporbi
205,1998,1,10.0,unari205
205,1998,4,1.0,unari205
205,1998,NA,100.0,verbsimp
205,1998,1,10.0,vernbald
205,1998,2,10.0,vernbald
205,1998,3,10.0,vernbald
205,1998,4,1.0,vernbald
205,1998,4,10.0,xantstru
206,1998,1,1.0,achimill
206,1998,2,10.0,achimill
206,1998,4,1.0,achimill
206,1998,2,10.0,ambrarte
206,1998,1,1.0,ambrpsil
206,1998,2,1.0,ambrpsil
206,1998,3,1.0,ambrpsil
206,1998,1,10.0,amorcane
206,1998,2,1.0,amorcane
206,1998,3,1.0,amorcane
206,1998,4,10.0,amorcane
206,1998,1,0.1,andrgera
206,1998,2,0.01,andrgera
206,1998,3,0.01,andrgera
206,1998,4,0.01,andrgera
206,1998,1,10.0,asclsten
206,1998,4,10.0,asclsten
206,1998,1,10.0,asclviri
206,1998,2,10.0,asclviri
206,1998,3,1.0,asclviri
206,1998,4,1.0,asclviri
206,1998,1,0.1,asteeric
206,1998,2,10.0,asteeric
206,1998,3,10.0,asteeric
206,1998,1,0.1,asteoole
206,1998,2,10.0,asteoole
206,1998,NA,100.0,baptbrac
206,1998,3,1.0,bothsacc
206,1998,1,10.0,briceupa
206,1998,4,10.0,bromjapo
206,1998,2,10.0,carebush
206,1998,3,0.1,carebush
206,1998,1,1.0,careceph
206,1998,1,10.0,carefest
206,1998,3,0.1,carefest
206,1998,4,1.0,carefest
206,1998,1,0.1,caremicr
206,1998,2,1.0,caremicr
206,1998,3,0.1,caremicr
206,1998,4,0.1,caremicr
206,1998,2,0.1,chamnuta
206,1998,3,10.0,chamnuta
206,1998,2,10.0,cirsalti
206,1998,2,10.0,cirsundu
206,1998,4,10.0,cirsundu
206,1998,2,1.0,conycana
206,1998,NA,100.0,coregran
206,1998,NA,100.0,cypeechi
206,1998,1,10.0,cypelupu
206,1998,4,10.0,cypelupu
206,1998,NA,100.0,dalecand
206,1998,2,10.0,dalepurp
206,1998,3,1.0,dalepurp
206,1998,1,0.1,desmilli
206,1998,2,10.0,desmsess
206,1998,1,0.1,dichacum
206,1998,1,0.01,dicholig
206,1998,2,0.1,dicholig
206,1998,3,1.0,dicholig
206,1998,4,0.1,dicholig
206,1998,3,10.0,digicogn
206,1998,2,10.0,elymcana
206,1998,1,0.1,elymvirg
206,1998,2,0.1,elymvirg
206,1998,3,0.1,elymvirg
206,1998,4,1.0,elymvirg
206,1998,1,10.0,eragspec
206,1998,2,10.0,eragspec
206,1998,3,0.1,eragspec
206,1998,4,0.01,eragspec
206,1998,1,10.0,erigstri
206,1998,2,1.0,erigstri
206,1998,3,0.1,erigstri
206,1998,1,1.0,fimbpube
206,1998,2,10.0,fimbpube
206,1998,4,1.0,fimbpube
206,1998,1,10.0,juncinte
206,1998,4,10.0,juncinte
206,1998,NA,100.0,koelmacr
206,1998,2,10.0,kummstri
206,1998,2,10.0,lespproc
206,1998,4,10.0,lespvirg
206,1998,1,10.0,linusulc
206,1998,2,10.0,lithinci
206,1998,1,10.0,melioffi
206,1998,3,10.0,melioffi
206,1998,NA,100.0,mimoquad
206,1998,2,0.1,oxaldill
206,1998,3,1.0,oxaldill
206,1998,4,1.0,oxaldill
206,1998,1,0.1,panivirg
206,1998,2,10.0,panivirg
206,1998,3,1.0,panivirg
206,1998,4,1.0,panivirg
206,1998,2,10.0,physpumi
