"id","new","species","period","time","date","quadr","sex","known","weight","ot","sc","in.","pr","op","lg","year"
"146",FALSE,"TS",11,"AM",19800305,"J9","M",FALSE,95,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1980
"RR1",NA,"BB",1,"AM",19790913,"A1","F",NA,11,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"RR3",NA,"BB",1,"AM",19790913,"A10","M",NA,16,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"28",NA,"PM",1,"AM",19790913,"A2","F",NA,22.5,NA,FALSE,FALSE,TRUE,TRUE,FALSE,1979
"27",NA,"PM",1,"AM",19790913,"A3","F",NA,18,NA,FALSE,FALSE,TRUE,FALSE,FALSE,1979
"FR1",NA,"SC",1,"AM",19790913,"A5","",TRUE,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"30",NA,"CG",1,"PM",19790913,"A9","M",NA,22.5,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"RR2",NA,"BB",1,"AM",19790913,"B10","F",NA,16,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"27",NA,"PM",1,"PM",19790913,"B2","F",NA,18,NA,FALSE,FALSE,FALSE,TRUE,FALSE,1979
"29-FR2",NA,"PM",1,"AM",19790913,"B4","F",NA,29.5,NA,FALSE,FALSE,TRUE,FALSE,TRUE,1979
"25",NA,"PM",1,"AM",19790913,"C1","F",NA,18.5,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"20",NA,"PM",1,"AM",19790913,"C10","F",NA,25,NA,FALSE,FALSE,TRUE,TRUE,TRUE,1979
"24",NA,"PM",1,"AM",19790913,"D4","F",NA,8.5,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"22",NA,"PL",1,"AM",19790913,"D9","F",NA,7,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"21",NA,"NI",1,"AM",19790913,"D9","M",NA,19.5,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"",NA,"CG",1,"AM",19790913,"E10","F",NA,0,NA,FALSE,FALSE,FALSE,TRUE,FALSE,1979
"17",NA,"PM",1,"PM",19790913,"E2","F",NA,20,NA,FALSE,FALSE,FALSE,TRUE,FALSE,1979
"17",NA,"PM",1,"AM",19790913,"E3","F",NA,29,NA,FALSE,FALSE,TRUE,FALSE,TRUE,1979
"18",NA,"PM",1,"AM",19790913,"E4","F",NA,7,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"FL3",NA,"CG",1,"PM",19790913,"E9","M",NA,34,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"19",NA,"PL",1,"AM",19790913,"F10","M",NA,7,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"16",NA,"PL",1,"AM",19790913,"F3","M",NA,17.5,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"31",NA,"TS",1,"PM",19790913,"G4","F",NA,102.5,NA,FALSE,FALSE,TRUE,FALSE,FALSE,1979
"14",NA,"CG",1,"AM",19790913,"H9","F",NA,29,NA,FALSE,FALSE,TRUE,TRUE,TRUE,1979
"15",NA,"PM",1,"AM",19790913,"H9","M",NA,18,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"39",NA,"PM",1,"AM",19790913,"I10","F",NA,18.5,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"63",NA,"PM",1,"AM",19790913,"I5","F",NA,8,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"36",NA,"PL",1,"AM",19790913,"J1","F",NA,25,NA,FALSE,FALSE,FALSE,TRUE,FALSE,1979
"60",NA,"PM",1,"AM",19790913,"J1","F",NA,18,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"9",NA,"TS",1,"AM",19790913,"J10","M",NA,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"60",NA,"PM",1,"AM",19790913,"J8","F",NA,60,NA,NA,NA,NA,NA,NA,1979
"38",NA,"PM",1,"AM",19790913,"J9","M",NA,38,NA,NA,NA,NA,NA,NA,1979
"38",NA,"PM",1,"AM",19790913,"J9","M",NA,16.5,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"76",NA,"PM",1,"AM",19790913,"J9","M",NA,18,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"28",NA,"PM",1,"AM",19790914,"A2","F",NA,21,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"52",NA,"PM",1,"AM",19790914,"A2","F",NA,27,NA,FALSE,FALSE,TRUE,FALSE,TRUE,1979
"LR2",NA,"BB",1,"PM",19790914,"A4","F",NA,15.5,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"53",NA,"PM",1,"AM",19790914,"A4","M",NA,17,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"24",NA,"PM",1,"AM",19790914,"A6","F",NA,8.5,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"15",NA,"PM",1,"AM",19790914,"A7","M",NA,17,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"54",NA,"PM",1,"AM",19790914,"A9","F",NA,20,NA,FALSE,FALSE,FALSE,FALSE,TRUE,1979
"24",NA,"PM",1,"PM",19790914,"B4","F",NA,8.5,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"59",NA,"TS",1,"PM",19790914,"B4","F",NA,91,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"25",NA,"PM",1,"AM",19790914,"C1","F",NA,16.5,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"29",NA,"PM",1,"AM",19790914,"C5","F",NA,28,NA,FALSE,FALSE,TRUE,TRUE,TRUE,1979
"22",NA,"PL",1,"AM",19790914,"C6","F",NA,8,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"51",NA,"",1,"AM",19790914,"D4","F",NA,8,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"32",NA,"CG",1,"PM",19790914,"E10","M",NA,32.5,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"17",NA,"PM",1,"AM",19790914,"E2","F",NA,19,NA,FALSE,FALSE,FALSE,FALSE,TRUE,1979
"50",NA,"NI",1,"AM",19790914,"E4","M",NA,20,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"18",NA,"PL",1,"AM",19790914,"E4","F",NA,8.5,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"58",NA,"TS",1,"PM",19790914,"E6","M",NA,93,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"16",NA,"PL",1,"AM",19790914,"F1","M",NA,18,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"57",NA,"TS",1,"PM",19790914,"F4","F",NA,98,NA,FALSE,FALSE,TRUE,FALSE,FALSE,1979
"30",NA,"CG",1,"PM",19790914,"F9","M",NA,23.5,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"FL4-41",NA,"PL",1,"AM",19790914,"H10","M",NA,17,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"56",NA,"TS",1,"PM",19790914,"H7","F",NA,89,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"35",NA,"NI",1,"AM",19790914,"I4","M",NA,20,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"RR4",NA,"BB",1,"PM",19790914,"I5","F",NA,13,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"14",NA,"CG",1,"PM",19790914,"I9","F",NA,28.5,NA,FALSE,FALSE,TRUE,FALSE,TRUE,1979
"33",NA,"PM",1,"AM",19790914,"J1","M",NA,18,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"LR1",NA,"BB",1,"PM",19790914,"J10","F",NA,17.5,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"39",NA,"PM",1,"AM",19790914,"J10","F",NA,20,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"FR2-36",NA,"PL",1,"AM",19790914,"J4","F",NA,24,NA,FALSE,FALSE,TRUE,TRUE,FALSE,1979
"LR4-37",NA,"PM",1,"AM",19790914,"J7","F",NA,22,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"14",NA,"CG",1,"AM",19790914,"J9","F",NA,27,NA,FALSE,FALSE,TRUE,FALSE,FALSE,1979
"38",NA,"PM",1,"AM",19790914,"J9","F",NA,16,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"LR2",NA,"BB",1,"AM",19790915,"A1","F",NA,15,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"FR1FL1",NA,"BB",1,"PM",19790915,"A1","M",NA,19.5,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
