"fit","upr","lwr"
0.600977376224497,0.753379451382958,0.455391390251948
0.613458867465102,0.756538462138874,0.479097370767714
0.619107173077357,0.76709001988719,0.467242343163437
0.612740258207613,0.759109899303353,0.452703498096393
0.609515818890711,0.750020663398116,0.465304821817718
0.608002694629276,0.774073009865684,0.451192970054051
0.625069729447059,0.764905958164271,0.476143866083298
0.610881340509135,0.752866393370099,0.46481023078379
0.601396967621745,0.770335876478057,0.438267566143077
0.589613901836499,0.764551002394031,0.441834958592876
0.604675120914613,0.758004332415276,0.441200700486962
0.592015171039259,0.752993343175429,0.423036179706098
0.567673854043524,0.73923908111923,0.410769326414558
0.581267051453363,0.734579845655711,0.41700188367637
0.586858911535647,0.736367891853621,0.430934927101834
0.595530131376051,0.74505040502907,0.430355174697867
0.574656817140881,0.753662990273035,0.418157195088817
0.575763583890679,0.736197307245539,0.423817663080463
0.633594194869463,0.802458868956243,0.463981210141564
0.64405897875087,0.809711795727034,0.49203036620895
0.632146295914506,0.794566175645209,0.469225825145626
0.63039797612631,0.796134244896695,0.471074169442613
0.631383478776568,0.789144772867859,0.465201528186105
0.629964812418431,0.775389310799037,0.463839944211821
0.636069633442831,0.795027243014936,0.478777659008742
0.637611987333718,0.801478366990095,0.479925066383141
0.631373416773059,0.783857900096336,0.469848272338832
0.628200946010571,0.778565322725544,0.467648979730379
0.62989283984389,0.790433880980022,0.467997052690831
0.640265178545612,0.799543962289052,0.482863768507361
0.638363404648357,0.801076767266442,0.472964649162685
0.634680529567858,0.786904663366562,0.464384463652115
0.630012735667062,0.796936075757917,0.479061237397729
0.631196651977875,0.798459522166005,0.45303441349831
0.635935083776057,0.801893684867094,0.47364726940628
0.643053414182312,0.80255446767637,0.49470634300829
0.627910317382837,0.783555190401341,0.456868988728128
0.644200649100581,0.799746203362725,0.477220290486614
0.64661291551457,0.802421867440018,0.484833232762997
0.655129441822845,0.815568293222097,0.478402282457513
0.645159946570424,0.803569562746319,0.488269196828648
0.612465893073914,0.782259729920698,0.459322666921877
0.631476164257946,0.783390508924896,0.467647197763885
0.624258950580846,0.779682372299814,0.469316820456766
0.63176659571451,0.793794906936106,0.476092234183841
0.651080513013133,0.816899921702917,0.491560906596298
0.624646413570576,0.792915462952326,0.460287131894878
0.632055956079623,0.794304162012054,0.464383958757801
0.626156952325239,0.790642897904579,0.468908165650769
0.632960818681197,0.791163115741514,0.484028695585928
0.628490878457296,0.785735989722724,0.465511900185439
0.64717320580454,0.813103937047217,0.480743415527073
0.624242177247965,0.788242435317737,0.470676583417224
0.639441990069687,0.798815160355125,0.475021669550499
0.629897801971333,0.784808241564277,0.471143629538915
0.639389418238696,0.783097905649261,0.477954183121476
0.623673423258271,0.786039861498648,0.457765634875439
0.638082099374712,0.804326854907483,0.490485110818824
0.637762540463811,0.796400356754007,0.4842721368729
0.640084184465229,0.805663442399289,0.476461814480878
0.624497200008502,0.780385632310632,0.473805228911538
0.624946433537306,0.789130284807546,0.467570096085179
0.626629602969784,0.783550633370909,0.464290215046519
0.625278765059586,0.783922138117797,0.464094121357865
0.629822581040171,0.792016104670488,0.474602313914675
0.648414049494358,0.814186015132121,0.484280508302194
0.633136163176667,0.777912364032306,0.466972153757238
0.642587016353751,0.81385538593355,0.481387798473862
0.635788837944752,0.788490863047309,0.465396013256428
0.651333119831108,0.815407350387484,0.491652200774475
0.632443935693987,0.785558389745041,0.464436050557679
0.626543294533674,0.783569170599378,0.469925233624162
0.61849382209392,0.784444145937431,0.45381673074576
0.625736210634156,0.783964477994082,0.459399555318488
0.634077537342331,0.789782880203709,0.472363302730678
0.635415168322493,0.803952819437393,0.485993779470817
0.626198403684183,0.783279785029055,0.464035843141595
0.640124902966088,0.786917381493163,0.463758042697786
0.632470682208124,0.787906609433419,0.474396255151654
0.637299243442704,0.799633991159102,0.47816474541443
0.629995828736008,0.795977499698514,0.455350664987111
0.628539518633753,0.789857722147936,0.455136300956557
0.628919888514608,0.794294177453542,0.47833760964845
0.623830065950942,0.78816589367291,0.460318069357184
0.636167515787988,0.802234133922697,0.478133494918572
0.641205026591838,0.801781170231745,0.481209385481693
0.631560610449392,0.800270577406601,0.460878931405026
0.640113410026252,0.800299584760121,0.487739159770675
0.643998691577448,0.804084402046707,0.479596272618764
0.646661513812932,0.809482026645875,0.480475862457338
0.64555387376103,0.802875631024888,0.485679037692335
0.621711809924631,0.778934241191811,0.453133434612183
0.628031663267201,0.790782713708014,0.480205859876135
0.613300399240096,0.785270876254028,0.45851785244094
0.63049967671794,0.790482965653681,0.468130686717263
0.652823692905352,0.796538169139322,0.488237020416286
0.631166599342581,0.773313028632626,0.471017636658922
0.631668276761514,0.78958559264123,0.468603338288704
0.626092411306453,0.78354678732281,0.467326928075197
0.62802847802631,0.791855485138235,0.454898341695772
0.62227893972137,0.792643194167999,0.456580874479886
0.64051936955971,0.806219486407912,0.477051952800494
0.624561370352891,0.802352189920857,0.46503802270842
0.633158924619115,0.792708342255305,0.463346412568628
0.625207460431223,0.79417541798264,0.467230572265085
0.634656905779639,0.804819665287236,0.471622291686457
0.620575850294702,0.784728010272401,0.464814325716152
0.637231182199763,0.805314275344127,0.469611695910113
0.64394157427703,0.806743640894814,0.489767339551989
0.632708471076245,0.798787470893737,0.469306359284794
0.627455917323503,0.793154687269507,0.468319748858924
0.62663227492681,0.793466010980604,0.461189028725725
0.626324841690093,0.7990750482962,0.471180684340356
0.62904275652569,0.787256929539085,0.470507249291011
0.63494130323684,0.796254181514643,0.468340632955937
0.643704576839833,0.808575008186642,0.487663127554825
