"datasetID","site","numTrans33","numTrans25","numTrans10","numCore","n","perTrans33","perTrans25","perTrans10","meanOcc"
207,"1",11,6,0,6,17,0.647058823529412,0.352941176470588,0,0.5
207,"2",8,3,0,6,14,0.571428571428571,0.214285714285714,0,0.583333333333333
207,"3",10,6,0,6,16,0.625,0.375,0,0.520833333333333
207,"4",9,4,0,6,15,0.6,0.266666666666667,0,0.555555555555556
207,"Toolik_1",11,6,0,6,17,0.647058823529412,0.352941176470588,0,0.5
207,"Toolik_2",8,3,0,6,14,0.571428571428571,0.214285714285714,0,0.583333333333333
207,"Toolik_3",10,6,0,6,16,0.625,0.375,0,0.520833333333333
207,"Toolik_4",9,4,0,6,15,0.6,0.266666666666667,0,0.555555555555556
208,"1_CF",11,11,0,3,15,0.733333333333333,0.733333333333333,0,0.266666666666667
208,"1_DF",5,5,3,1,9,0.555555555555556,0.555555555555556,0.333333333333333,0.366666666666667
208,"1_SF",9,7,5,2,15,0.6,0.466666666666667,0.333333333333333,0.333333333333333
208,"1_T1",7,5,0,3,13,0.538461538461538,0.384615384615385,0,0.367521367521367
208,"1_T2",5,4,0,1,12,0.416666666666667,0.333333333333333,0,0.404761904761905
208,"1_T3",8,8,0,3,15,0.533333333333333,0.533333333333333,0,0.375
208,"1_T4",4,2,0,3,9,0.444444444444444,0.222222222222222,0,0.46031746031746
208,"1_T5",11,8,7,1,15,0.733333333333333,0.533333333333333,0.466666666666667,0.272727272727273
208,"1_T6",13,13,5,3,16,0.8125,0.8125,0.3125,0.265625
208,"1_T7",12,11,7,3,17,0.705882352941177,0.647058823529412,0.411764705882353,0.279411764705882
208,"2_CF",8,8,4,3,12,0.666666666666667,0.666666666666667,0.333333333333333,0.319444444444445
208,"2_DF",8,6,5,2,11,0.727272727272727,0.545454545454545,0.454545454545455,0.3
208,"2_SF",7,7,7,1,11,0.636363636363636,0.636363636363636,0.636363636363636,0.272727272727273
208,"2_T1",8,7,0,2,13,0.615384615384615,0.538461538461538,0,0.333333333333333
208,"2_T2",4,4,0,1,11,0.363636363636364,0.363636363636364,0,0.420454545454545
208,"2_T3",4,4,0,2,12,0.333333333333333,0.333333333333333,0,0.447916666666667
208,"2_T4",8,5,0,2,12,0.666666666666667,0.416666666666667,0,0.375
208,"2_T5",13,10,8,1,17,0.764705882352941,0.588235294117647,0.470588235294118,0.232736572890026
208,"2_T6",9,9,0,3,13,0.692307692307692,0.692307692307692,0,0.324786324786325
208,"2_T7",10,8,5,3,16,0.625,0.5,0.3125,0.336309523809524
208,"3_CF",7,7,0,3,10,0.7,0.7,0,0.35
208,"3_DF",13,12,10,2,16,0.8125,0.75,0.625,0.229166666666667
208,"3_SF",9,8,2,4,13,0.692307692307692,0.615384615384615,0.153846153846154,0.342657342657343
208,"3_T1",10,7,5,2,14,0.714285714285714,0.5,0.357142857142857,0.31547619047619
208,"3_T2",5,3,0,3,12,0.416666666666667,0.25,0,0.453703703703704
208,"3_T3",7,4,0,3,15,0.466666666666667,0.266666666666667,0,0.457142857142857
208,"3_T4",8,5,0,3,14,0.571428571428571,0.357142857142857,0,0.377551020408163
208,"3_T5",10,10,6,1,16,0.625,0.625,0.375,0.261904761904762
208,"3_T6",10,9,3,2,14,0.714285714285714,0.642857142857143,0.214285714285714,0.35
208,"3_T7",12,9,7,3,18,0.666666666666667,0.5,0.388888888888889,0.305555555555556
208,"4_T1",9,7,4,3,14,0.642857142857143,0.5,0.285714285714286,0.357142857142857
208,"4_T2",8,5,3,1,12,0.666666666666667,0.416666666666667,0.25,0.325
208,"4_T4",8,3,0,3,13,0.615384615384615,0.230769230769231,0,0.428571428571429
208,"4_T5",13,11,6,2,18,0.722222222222222,0.611111111111111,0.333333333333333,0.254385964912281
208,"4_T6",12,11,7,2,16,0.75,0.6875,0.4375,0.295454545454545
208,"4_T7",10,10,3,2,17,0.588235294117647,0.588235294117647,0.176470588235294,0.299019607843137
208,"5_T1",8,7,0,4,15,0.533333333333333,0.466666666666667,0,0.385185185185185
208,"5_T2",6,6,5,2,12,0.5,0.5,0.416666666666667,0.35
208,"5_T3",8,5,0,3,13,0.615384615384615,0.384615384615385,0,0.397435897435898
208,"5_T4",10,4,0,3,14,0.714285714285714,0.285714285714286,0,0.377551020408163
208,"5_T5",11,9,7,1,15,0.733333333333333,0.6,0.466666666666667,0.266666666666667
208,"5_T6",10,10,1,2,14,0.714285714285714,0.714285714285714,0.0714285714285714,0.339285714285714
208,"5_T7",12,10,8,3,18,0.666666666666667,0.555555555555556,0.444444444444444,0.303030303030303
208,"6_T1",9,7,3,2,13,0.692307692307692,0.538461538461538,0.230769230769231,0.337278106508876
208,"6_T2",7,6,4,1,12,0.583333333333333,0.5,0.333333333333333,0.325
208,"6_T3",6,6,0,3,13,0.461538461538462,0.461538461538462,0,0.461538461538462
208,"6_T4",8,8,0,1,14,0.571428571428571,0.571428571428571,0,0.366071428571429
208,"6_T5",13,12,6,1,17,0.764705882352941,0.705882352941177,0.352941176470588,0.210526315789474
208,"6_T6",11,9,5,4,15,0.733333333333333,0.6,0.333333333333333,0.326666666666667
208,"6_T7",10,10,6,3,17,0.588235294117647,0.588235294117647,0.352941176470588,0.30812324929972
208,"CF",8,7,0,3,12,0.666666666666667,0.583333333333333,0,0.416666666666667
208,"DF",7,5,0,3,10,0.7,0.5,0,0.416666666666667
208,"maxgrain_1_CF",11,11,0,2,15,0.733333333333333,0.733333333333333,0,0.251851851851852
208,"maxgrain_1_DF",5,4,2,1,8,0.625,0.5,0.25,0.3875
208,"maxgrain_1_SF",10,9,5,2,17,0.588235294117647,0.529411764705882,0.294117647058824,0.315508021390374
208,"maxgrain_1_T1",6,6,0,3,13,0.461538461538462,0.461538461538462,0,0.393162393162393
208,"maxgrain_1_T2",6,5,0,3,14,0.428571428571429,0.357142857142857,0,0.39795918367347
208,"maxgrain_1_T3",6,6,0,3,13,0.461538461538462,0.461538461538462,0,0.423076923076923
208,"maxgrain_1_T4",4,2,0,3,9,0.444444444444444,0.222222222222222,0,0.492063492063492
208,"maxgrain_1_T5",10,8,6,2,14,0.714285714285714,0.571428571428571,0.428571428571429,0.272727272727273
208,"maxgrain_1_T6",13,13,3,3,16,0.8125,0.8125,0.1875,0.276041666666667
208,"maxgrain_1_T7",12,11,7,3,18,0.666666666666667,0.611111111111111,0.388888888888889,0.283333333333333
208,"maxgrain_2_CF",10,10,6,4,14,0.714285714285714,0.714285714285714,0.428571428571429,0.297619047619048
208,"maxgrain_2_DF",8,7,3,2,11,0.727272727272727,0.636363636363636,0.272727272727273,0.309090909090909
208,"maxgrain_2_SF",6,5,5,2,10,0.6,0.5,0.5,0.318181818181818
208,"maxgrain_2_T1",9,8,0,2,14,0.642857142857143,0.571428571428571,0,0.333333333333333
208,"maxgrain_2_T2",4,4,0,2,11,0.363636363636364,0.363636363636364,0,0.420454545454545
208,"maxgrain_2_T3",5,5,0,2,12,0.416666666666667,0.416666666666667,0,0.4375
208,"maxgrain_2_T4",8,6,0,2,12,0.666666666666667,0.5,0,0.361111111111111
208,"maxgrain_2_T5",12,8,5,2,16,0.75,0.5,0.3125,0.266304347826087
208,"maxgrain_2_T6",10,10,0,3,14,0.714285714285714,0.714285714285714,0,0.325396825396825
208,"maxgrain_2_T7",9,9,5,2,16,0.5625,0.5625,0.3125,0.325
208,"maxgrain_3_CF",8,8,0,2,11,0.727272727272727,0.727272727272727,0,0.329545454545455
208,"maxgrain_3_DF",10,10,8,2,14,0.714285714285714,0.714285714285714,0.571428571428571,0.261904761904762
208,"maxgrain_3_SF",10,9,3,2,14,0.714285714285714,0.642857142857143,0.214285714285714,0.305194805194805
208,"maxgrain_3_T1",10,6,3,2,14,0.714285714285714,0.428571428571429,0.214285714285714,0.345238095238095
208,"maxgrain_3_T2",7,5,0,2,13,0.538461538461538,0.384615384615385,0,0.384615384615384
208,"maxgrain_3_T3",8,4,0,3,14,0.571428571428571,0.285714285714286,0,0.418367346938776
208,"maxgrain_3_T4",8,4,0,3,13,0.615384615384615,0.307692307692308,0,0.395604395604396
208,"maxgrain_3_T5",9,8,8,1,15,0.6,0.533333333333333,0.533333333333333,0.257142857142857
208,"maxgrain_3_T6",9,9,4,2,14,0.642857142857143,0.642857142857143,0.285714285714286,0.321428571428571
208,"maxgrain_3_T7",11,9,5,2,17,0.647058823529412,0.529411764705882,0.294117647058824,0.304812834224599
208,"maxgrain_4_T1",10,9,5,2,16,0.625,0.5625,0.3125,0.33125
208,"maxgrain_4_T2",8,5,3,1,12,0.666666666666667,0.416666666666667,0.25,0.325
208,"maxgrain_4_T4",8,4,0,3,14,0.571428571428571,0.285714285714286,0,0.418367346938776
208,"maxgrain_4_T5",11,11,7,2,18,0.611111111111111,0.611111111111111,0.388888888888889,0.254385964912281
208,"maxgrain_4_T6",11,10,6,3,15,0.733333333333333,0.666666666666667,0.4,0.315151515151515
208,"maxgrain_4_T7",10,10,4,2,17,0.588235294117647,0.588235294117647,0.235294117647059,0.29656862745098
208,"maxgrain_5_T1",8,7,0,4,15,0.533333333333333,0.466666666666667,0,0.385185185185185
208,"maxgrain_5_T2",8,5,5,1,13,0.615384615384615,0.384615384615385,0.384615384615385,0.330769230769231
208,"maxgrain_5_T3",7,5,0,3,14,0.5,0.357142857142857,0,0.416666666666667
208,"maxgrain_5_T4",10,5,0,3,14,0.714285714285714,0.357142857142857,0,0.36734693877551
208,"maxgrain_5_T5",11,8,7,0,15,0.733333333333333,0.533333333333333,0.466666666666667,0.263492063492063
208,"maxgrain_5_T6",10,10,3,3,14,0.714285714285714,0.714285714285714,0.214285714285714,0.321428571428572
208,"maxgrain_5_T7",10,9,5,3,17,0.588235294117647,0.529411764705882,0.294117647058824,0.32620320855615
208,"maxgrain_6_T1",10,8,3,2,14,0.714285714285714,0.571428571428571,0.214285714285714,0.32967032967033
208,"maxgrain_6_T2",7,5,3,2,12,0.583333333333333,0.416666666666667,0.25,0.35
208,"maxgrain_6_T3",6,6,0,3,14,0.428571428571429,0.428571428571429,0,0.455357142857143
208,"maxgrain_6_T4",8,8,0,1,15,0.533333333333333,0.533333333333333,0,0.358333333333333
208,"maxgrain_6_T5",14,13,8,1,18,0.777777777777778,0.722222222222222,0.444444444444444,0.201754385964912
208,"maxgrain_6_T6",10,8,4,3,14,0.714285714285714,0.571428571428571,0.285714285714286,0.335714285714286
208,"maxgrain_6_T7",10,8,4,2,15,0.666666666666667,0.533333333333333,0.266666666666667,0.309090909090909
208,"SF",6,5,0,4,11,0.545454545454545,0.454545454545455,0,0.409090909090909
208,"T1",7,7,5,4,17,0.411764705882353,0.411764705882353,0.294117647058824,0.401069518716578
208,"T2",6,5,4,4,15,0.4,0.333333333333333,0.266666666666667,0.44
208,"T3",9,9,0,4,18,0.5,0.5,0,0.395833333333333
208,"T4",7,4,0,5,13,0.538461538461538,0.307692307692308,0,0.461538461538462
208,"T5",12,9,6,4,18,0.666666666666667,0.5,0.333333333333333,0.341269841269841
208,"T6",11,8,2,4,17,0.647058823529412,0.470588235294118,0.117647058823529,0.384615384615385
208,"T7",11,6,4,5,18,0.611111111111111,0.333333333333333,0.222222222222222,0.401515151515152
210,"1",55,49,34,5,76,0.723684210526316,0.644736842105263,0.447368421052632,0.251644736842105
210,"1_A_1",25,20,12,3,34,0.735294117647059,0.588235294117647,0.352941176470588,0.254901960784314
210,"1_A_10",28,25,16,2,33,0.848484848484849,0.757575757575758,0.484848484848485,0.202020202020202
210,"1_A_11",14,14,12,2,17,0.823529411764706,0.823529411764706,0.705882352941177,0.178921568627451
210,"1_A_12",33,32,20,3,38,0.868421052631579,0.842105263157895,0.526315789473684,0.18859649122807
210,"1_A_13",29,28,19,2,31,0.935483870967742,0.903225806451613,0.612903225806452,0.155680224403927
210,"1_A_14",20,19,12,1,22,0.909090909090909,0.863636363636364,0.545454545454545,0.170454545454545
210,"1_A_15",29,25,17,3,33,0.878787878787879,0.757575757575758,0.515151515151515,0.207070707070707
210,"1_A_16",34,32,18,2,38,0.894736842105263,0.842105263157895,0.473684210526316,0.176535087719298
210,"1_A_17",18,17,16,1,20,0.9,0.85,0.8,0.147916666666667
