year,mo,rain,temp
1994,1,6,0.2
1994,2,86,2.1
1994,3,33,10.7
1994,4,182,14.4
1994,5,24,19.6
1994,6,37,25.8
1994,7,247,25.2
1994,8,170,24.7
1994,9,43,20.3
1994,10,80,15.7
1994,11,134,9.4
1994,12,34,3.9
1995,1,20,1.8
1995,2,26,5.1
1995,3,84,9.3
1995,4,148,13.3
1995,5,178,16.9
1995,6,237,21.9
1995,7,46,25.1
1995,8,34,26.4
1995,9,118,19.7
1995,10,12,16.3
1995,11,3,8.2
1995,12,49,2.8
1996,1,11,0.3
1996,2,3,4.9
1996,3,37,6.5
1996,4,62,14.9
1996,5,26,22.3
1996,6,67,25.6
1996,7,45,27.5
1996,8,88,26.1
1996,9,204,20.7
1996,10,75,15.6
1996,11,122,6.3
1996,12,7,3.6
1997,1,8,0.8
1997,2,107,5.2
1997,3,30,10.1
1997,4,93,12.1
1997,5,98,18.1
1997,6,183,22.7
1997,7,141,25.4
1997,8,117,24.0
1997,9,76,21.8
1997,10,80,14.9
1997,11,20,6.1
1997,12,92,1.9
1998,1,48,2.6
1998,2,NA,5.4
1998,3,18,6.0
1998,4,101,13.6
1998,5,163,21.8
1998,6,49,24.8
1998,7,176,27.0
1998,8,26,26.8
1998,9,138,25.1
1998,10,210,15.8
1998,11,103,11.0
1998,12,41,3.3
1999,1,61,3.8
1999,2,53,8.2
1999,3,87,7.7
1999,4,146,15.3
1999,5,162,19.0
1999,6,193,22.4
1999,7,86,26.8
1999,8,55,26.3
1999,9,152,19.2
1999,10,49,15.2
1999,11,4,12.4
1999,12,138,4.7
2000,1,18,2.4
2000,2,65,7.3
2000,3,149,10.2
2000,4,95,14.3
2000,5,160,20.6
2000,6,269,21.9
2000,7,51,25.4
2000,8,0,28.6
2000,9,13,22.9
2000,10,121,16.9
2000,11,44,4.7
2000,12,15,-3.9
2001,1,64,3.1
2001,2,101,2.4
2001,3,46,6.5
2001,4,32,17.7
2001,5,146,19.5
2001,6,24,23.3
2001,7,14,29.0
2001,8,18,27.9
2001,9,43,21.0
2001,10,61,15.2
2001,11,21,11.4
2001,12,24,4.6
2002,1,5,2.8
2002,2,16,3.8
2002,3,19,6.9
2002,4,132,15.2
2002,5,117,17.8
2002,6,87,23.7
2002,7,45,26.0
2002,8,94,25.2
2002,9,115,22.4
2002,10,58,11.9
2002,11,9,7.2
2002,12,42,3.3
2003,1,1,0.4
2003,2,35,1.5
2003,3,118,8.1
2003,4,70,15.5
2003,5,156,19.1
2003,6,204,21.9
2003,7,20,26.9
2003,8,240,26.6
2003,9,67,18.9
2003,10,71,15.4
2003,11,45,8.6
2003,12,62,3.8
2004,1,60,1.0
2004,2,47,2.6
2004,3,158,11.0
2004,4,96,14.9
2004,5,47,20.4
2004,6,132,22.2
2004,7,106,24.6
2004,8,59,25.1
2004,9,13,22.2
2004,10,138,16.3
2004,11,116,9.2
2004,12,19,3.7
2005,1,94,1.2
2005,2,38,6.1
2005,3,40,9.0
2005,4,34,15.0
2005,5,82,19.2
2005,6,194,24.4
2005,7,95,25.6
2005,8,95,25.9
2005,9,38,23.4
2005,10,61,15.4
2005,11,1,10.3
2005,12,6,1.3
2006,1,23,6.8
2006,2,0,3.1
2006,3,85,10.3
2006,4,159,17.9
2006,5,32,20.3
2006,6,59,24.4
2006,7,46,27.8
2006,8,74,28.2
2006,9,19,20.2
2006,10,25,14.6
2006,11,28,9.5
2006,12,66,4.0
2007,1,35,0.2
2007,2,26,2.3
2007,3,217,13.6
2007,4,124,12.8
2007,5,168,20.2
2007,6,238,23.2
2007,7,78,25.5
2007,8,32,27.2
2007,9,90,22.2
2007,10,167,16.3
2007,11,7,9.3
2007,12,36,1.2
2008,1,16,1.6
2008,2,51,1.8
2008,3,108,8.6
2008,4,103,13.2
2008,5,170,19.4
2008,6,261,23.9
2008,7,91,25.9
2008,8,87,24.2
2008,9,29,19.7
2008,10,84,14.3
2008,11,29,8.1
2008,12,34,1.4
2009,1,2,0.3
2009,2,51,6.2
2009,3,112,9.7
2009,4,174,13.7
2009,5,66,18.2
2009,6,139,24.9
