"site","spRich","nTime"
"1_1",21,563
"1_2",19,565
"1_3",21,556
"1_4",21,566
"1_5",20,567
"2_1",20,549
"2_2",19,528
"2_3",19,552
"2_4",20,548
"2_5",20,556
"3_1",19,538
"3_2",19,543
"3_3",20,555
"3_4",21,530
"3_5",20,543
"4_1",19,471
"4_2",18,476
"4_3",19,479
"4_4",20,457
"4_5",18,453
"5_1",18,456
"5_2",20,449
"5_3",19,462
"5_4",20,446
"5_5",20,467
"6_1",18,447
"6_2",20,457
"6_3",19,455
"6_4",20,445
"6_5",20,453
