"site","spRich","nTime"
1,35,31
2,36,31
3,38,31
4,37,31
5,37,31
6,40,31
7,34,31
8,36,31
9,37,31
10,37,31
11,37,31
12,33,31
13,37,31
14,32,31
15,35,31
16,33,31
