"species","year","count"
"Elephant",1959,380
"Buffalo",1959,1750
"Hippopotamus",1959,150
"Burchellszebra",1959,180
"Impala",1959,600
"Blackrhinoceros",1959,30
"Giraffe",1959,60
"Wildebeest",1959,250
"Waterbuck",1959,20
"Bushbuck",1959,20
"Reedbuck",1959,220
"Baboon",1959,550
"Warthog",1959,0
"Elephant",1961,421
"Buffalo",1961,1507
"Hippopotamus",1961,150
"Burchellszebra",1961,115
"Impala",1961,451
"Blackrhinoceros",1961,23
"Giraffe",1961,60
"Wildebeest",1961,250
"Waterbuck",1961,20
"Bushbuck",1961,20
"Reedbuck",1961,220
"Baboon",1961,450
"Warthog",1961,2
"Elephant",1965,421
"Buffalo",1965,1507
"Hippopotamus",1965,150
"Burchellszebra",1965,115
"Impala",1965,285
"Blackrhinoceros",1965,20
"Giraffe",1965,31
"Wildebeest",1965,7
"Waterbuck",1965,20
"Bushbuck",1965,20
"Reedbuck",1965,220
"Baboon",1965,400
"Warthog",1965,6
"Elephant",1967,300
"Buffalo",1967,1500
"Hippopotamus",1967,150
"Burchellszebra",1967,100
"Impala",1967,380
"Blackrhinoceros",1967,20
"Giraffe",1967,50
"Wildebeest",1967,2
"Waterbuck",1967,20
"Bushbuck",1967,20
"Reedbuck",1967,220
"Baboon",1967,400
"Warthog",1967,6
"Elephant",1970,427
"Buffalo",1970,1548
"Hippopotamus",1970,150
"Burchellszebra",1970,75
"Impala",1970,451
"Blackrhinoceros",1970,23
"Giraffe",1970,60
"Wildebeest",1970,0
"Waterbuck",1970,20
"Bushbuck",1970,20
"Reedbuck",1970,20
"Baboon",1970,400
"Warthog",1970,35
"Elephant",1975,386
"Buffalo",1975,1823
"Hippopotamus",1975,151
"Burchellszebra",1975,156
"Impala",1975,985
"Blackrhinoceros",1975,35
"Giraffe",1975,60
"Wildebeest",1975,80
"Waterbuck",1975,20
"Bushbuck",1975,50
"Reedbuck",1975,20
"Baboon",1975,450
"Warthog",1975,50
"Elephant",1976,453
"Buffalo",1976,2032
"Hippopotamus",1976,118
"Burchellszebra",1976,157
"Impala",1976,1071
"Blackrhinoceros",1976,20
"Giraffe",1976,60
"Wildebeest",1976,80
"Waterbuck",1976,20
"Bushbuck",1976,50
"Reedbuck",1976,20
"Baboon",1976,450
"Warthog",1976,50
"Elephant",1981,483
"Buffalo",1981,1800
"Hippopotamus",1981,150
"Burchellszebra",1981,162
"Impala",1981,1500
"Blackrhinoceros",1981,20
"Giraffe",1981,72
"Wildebeest",1981,169
"Waterbuck",1981,16
"Bushbuck",1981,50
"Reedbuck",1981,20
"Baboon",1981,500
"Warthog",1981,65
"Elephant",1984,373
"Buffalo",1984,2097
"Hippopotamus",1984,179
"Burchellszebra",1984,255
"Impala",1984,150
"Blackrhinoceros",1984,25
"Giraffe",1984,66
"Wildebeest",1984,675
"Waterbuck",1984,17
"Bushbuck",1984,50
"Reedbuck",1984,10
"Baboon",1984,500
"Warthog",1984,95
