studyName,EventNumber,DatetimeGMT,CruiseName,CountMinute,Species,Number,Linkages,Behavior,Direction,Notes
PD93-01,235,1/18/1993 10:14,9301,0,,0,0,0,,STERN COUNT
PD93-01,235,1/18/1993 10:14,9301,1,SPSK,1,0,1,,
PD93-01,235,1/18/1993 10:14,9301,2,WISP,1,0,1,,
PD93-01,235,1/18/1993 10:14,9301,4,ADPE,15,0,3,,
PD93-01,235,1/18/1993 10:14,9301,4,SPSK,1,0,1,,
PD93-01,235,1/18/1993 10:14,9301,5,ADPE,12,0,5,,HEADING TOWARDS SE
PD93-01,235,1/18/1993 10:14,9301,6,ADPE,8,0,5,,HEADING TOWARDS SE
PD93-01,235,1/18/1993 10:14,9301,7,ADPE,6,0,5,,HEADING TOWARDS SE
PD93-01,235,1/18/1993 10:14,9301,11,SPSK,1,0,1,,
PD93-01,235,1/18/1993 10:14,9301,11,ANTE,2,0,1,,1 W/ FISH IN BILL
PD93-01,235,1/18/1993 10:14,9301,16,SPSK,1,0,1,,
PD93-01,235,1/18/1993 10:14,9301,17,SPSK,1,0,2,,
PD93-01,235,1/18/1993 10:14,9301,19,GIPE,2,0,3,,BATHING
PD93-01,235,1/18/1993 10:14,9301,19,SPSK,1,0,1,,
PD93-01,235,1/18/1993 10:14,9301,20,WISP,1,0,1,,
PD93-01,235,1/18/1993 10:14,9301,23,SPSK,1,0,1,,
PD93-01,235,1/18/1993 10:14,9301,24,SPSK,1,0,1,,
PD93-01,235,1/18/1993 10:14,9301,25,SPSK,1,0,6,,ON WATER
PD93-01,235,1/18/1993 10:14,9301,27,SPSK,1,0,1,,
PD93-01,238,1/18/1993 11:09,9301,1,SPSK,2,0,1,,
PD93-01,238,1/18/1993 11:09,9301,4,SPSK,1,0,1,,
PD93-01,238,1/18/1993 11:09,9301,6,SPSK,1,0,1,,
PD93-01,238,1/18/1993 11:09,9301,8,SPSK,1,0,1,,
PD93-01,238,1/18/1993 11:09,9301,10,SPSK,1,0,1,,
PD93-01,238,1/18/1993 11:09,9301,28,SPSK,1,0,1,,
PD93-01,238,1/18/1993 11:09,9301,29,FUSE,1,0,5,,
PD93-01,243,1/18/1993 12:01,9301,7,WISP,1,0,1,,
PD93-01,243,1/18/1993 12:01,9301,12,SPSK,1,0,1,,
PD93-01,243,1/18/1993 12:01,9301,13,GIPE,1,0,1,,
PD93-01,243,1/18/1993 12:01,9301,14,WISP,1,0,1,,
PD93-01,243,1/18/1993 12:01,9301,21,WISP,1,0,1,,
PD93-01,243,1/18/1993 12:01,9301,23,WISP,1,0,1,,
PD93-01,243,1/18/1993 12:01,9301,23,SPSK,1,0,1,,
PD93-01,243,1/18/1993 12:01,9301,23,BBAL,1,0,1,,
PD93-01,243,1/18/1993 12:01,9301,24,WISP,1,0,1,,
PD93-01,243,1/18/1993 12:01,9301,25,SPSK,1,0,1,,
PD93-01,243,1/18/1993 12:01,9301,26,SPSK,1,0,1,,
PD93-01,243,1/18/1993 12:01,9301,28,WISP,2,0,1,,
PD93-01,243,1/18/1993 12:01,9301,29,WISP,1,0,1,,
PD93-01,243,1/18/1993 12:01,9301,29,SPSK,1,0,1,,
PD93-01,247,1/18/1993 12:56,9301,1,SPSK,1,0,1,,
PD93-01,247,1/18/1993 12:56,9301,3,GIPE,1,0,1,,
PD93-01,247,1/18/1993 12:56,9301,9,LMSA,1,0,1,,
PD93-01,247,1/18/1993 12:56,9301,9,SPSK,1,0,1,,
PD93-01,251,1/18/1993 13:52,9301,5,SPSK,1,0,2,,
PD93-01,251,1/18/1993 13:52,9301,9,SPSK,1,0,2,,
PD93-01,251,1/18/1993 13:52,9301,12,SPSK,1,0,1,,
