"stateroute","elev","elev.mean","elev.var","Longi","Lati","sum.NDVI","sum.EVI","sum.NDVI.mean","sum.EVI.mean","sum.NDVI.var","sum.EVI.var","mat","mdr","tseas","tmax","tmin","tar","twarmq","tcoldq","ap","pmax","pmin","pseas","pwetq","pdryq","mat.mean","mdr.mean","tseas.mean","tmax.mean","tmin.mean","tar.mean","twarmq.mean","tcoldq.mean","ap.mean","pmax.mean","pmin.mean","pseas.mean","pwetq.mean","pdryq.mean","mat.var","mdr.var","tseas.var","tmax.var","tmin.var","tar.var","twarmq.var","tcoldq.var","ap.var","pmax.var","pmin.var","pseas.var","pwetq.var","pdryq.var","regR"
2001,186,209.318724641611,1353.30528896097,-87.6,34.86,0.79606,0.5644475,0.759229845,0.530987396,0.007789307,0.007058645,15.3,13.3,7742,32.3,-2,34.3,25,5,1397,159,80,19,411,262,15.1547461394716,13.4104722955223,7733.87770885467,32.135093308969,-2.32897461793528,34.4640679269043,24.7779137447469,4.84138835034792,1417.20420281656,159.858198576492,82.59456522993,18.4004896464947,417.75001387704,267.650990471566,0.126065324748633,0.0262598272255577,655.074207032279,0.0957166078644315,0.179331213264659,0.0250102110574825,0.12566905984846,0.139058885289065,275.014763545616,2.34791281190209,5.11374787939914,0.235654229330212,32.7967302010635,24.559648281449,84
2006,192,232.07520381994,1886.1004913961,-86.68,34.5,0.724265,0.4764425,0.740983119,0.505136772,0.008705735,0.006510398,15.5,13.1,7661,32.1,-1.8,33.9,25,5.2,1418,163,82,18,419,276,15.2908773444995,13.0535882706643,7669.21364398913,31.8915558940909,-2.02154259460354,33.9130984886944,24.8370854247445,5.03265032683081,1430.34071202809,164.235813571451,82.7598479923075,18.1065615775353,421.458895911423,276.990159046968,0.0255022407557685,0.0111700085949397,4597.43666769162,0.0336424115901956,0.0298936358292899,0.0340198143018739,0.0363139601661277,0.0288702318202444,239.477868098162,0.592149507633256,4.39257541878524,0.216198420779115,31.505406836773,19.203513034416,86
2017,199,167.641096030507,1163.5998623045,-87,33.52,0.8569425,0.5791325,0.780176782,0.496168142,0.005773732,0.003444662,16.3,12.9,7403,32.4,-0.7,33.1,25.6,6.5,1442,162,80,18,426,277,16.3665426078228,13.1991501506626,7379.2512957472,32.5096029658399,-0.776899276831281,33.2554555424494,25.5760837062742,6.51806907648713,1448.29805025009,164.154579683393,80.5231266080819,18.4707331925433,434.233693032118,276.165320679444,0.0433906910851909,0.0749378033588893,6103.47760297936,0.0137295438837934,0.124805185133699,0.119156533027695,0.0182649453498673,0.0941772050319707,432.159992186418,8.2723196251172,11.4588313119608,0.409373222988657,97.2243084875688,4.03408684068793,78
2019,106,90.8280717789884,618.170951868437,-88.17,33.47,0.84725,0.5784825,0.792542373,0.522631822,0.003156585,0.001826608,16.5,13.3,7501,32.8,-0.6,33.4,25.9,6.5,1450,161,82,21,444,264,16.5324979185331,13.4481007886566,7489.2018548136,32.920825312263,-0.81730739399011,33.5874165225666,25.8664134989876,6.57336205434625,1443.18169525628,161.658808138711,82.1945768883984,20.8260309961541,440.76083188248,263.672950467077,0.0970128220990163,0.142456625370798,2305.5788952279,0.00787965618025705,0.321766279962233,0.264402464634874,0.0804235874699568,0.159493306011638,1159.1553306233,27.4744545952861,5.68327494392644,0.368111819922746,59.9039456327393,67.8926592291971,75
2021,46,56.5709246371174,264.302720299551,-87.83,32.27,0.799635,0.486665,0.799135028,0.512005675,0.002385633,0.001200808,17.7,13.5,6995,33.3,1,32.3,26.4,8.4,1411,167,77,21,439,264,17.6716569513332,13.5525641451285,6968.99063203833,33.2745141412399,0.911450354245764,32.3630637869941,26.2862656481058,8.36896235892575,1427.65405540564,167.149929177984,77.6642343529617,20.9693409731897,441.347671527231,266.72071913068,0.0170155450646729,0.0563277146975728,6268.32312914737,0.0112870929105316,0.0498835570660467,0.0519444198949756,0.00357559729934766,0.0585073524690991,850.031331006068,8.56909169141411,11.2207919054514,0.222247278900024,34.898125977954,26.2544110923641,71
2027,137,127.528481651632,1005.89787350846,-85.55,32.31,0.8371575,0.581845,0.785968774,0.502440402,0.002299913,0.001208532,17.6,13,6851,32.5,1.2,31.3,26,8.4,1347,159,66,21,414,252,17.6126750397011,12.9922736623626,6844.37776490723,32.5326971654321,1.24010889125715,31.292588274175,26.0351216166491,8.43615856516383,1346.64146881725,158.228835706695,65.863897298953,21.2739866336663,413.433242811935,251.546583451017,0.0616340983989896,0.00822556688441913,5817.98561933016,0.0320863361223841,0.157223701011827,0.0729611760639524,0.0332591190003507,0.115195245625599,1641.92966440099,48.9647234334079,13.6981645998121,0.24493686756444,258.521333722492,114.093656993749,73
2029,80,115.650328348815,528.129125042809,-85.06,32.14,0.70528,0.3903825,0.772060278,0.488957814,0.004556389,0.003240895,18.1,13.4,6728,33,1.7,31.3,26.4,9.1,1245,138,55,21,377,222,17.9906803910388,13.247818296212,6731.6595529719,32.8109398062256,1.67186357620227,31.1390762300234,26.2615105743505,8.9886880463024,1263.05972949952,141.173719921743,56.6939896527524,21.5977856495402,382.609708909893,225.095018235193,0.0381625377740141,0.0315232170445148,10738.9567539112,0.0258077800055179,0.0558628199167963,0.0312632024918121,0.0143561824607477,0.080068232998049,1696.63114021165,59.3306393100043,12.3584468890415,0.29045640346154,267.663430859323,120.661399958209,71
2034,104,92.7279878388581,281.430213021081,-86.61,31.44,0.7316025,0.45192,0.784895071,0.497325498,0.001762586,0.000886308,17.9,14.2,6595,33,1.2,31.8,26,9.1,1520,171,72,19,452,290,18.0100288185358,13.950723144687,6567.71809881496,32.9494999856026,1.51160126367133,31.4378987219313,26.051578002139,9.23235955513972,1513.3613053334,169.565285840792,72.7719397437515,19.4293381667529,449.187047992389,289.471272392296,0.0118311451975751,0.0397225486127452,9296.62685735683,0.0392326302662271,0.0727826931475371,0.196914759946238,0.00767492942671961,0.051938982948438,1492.60422619768,5.41371446701482,16.1005863786912,0.38059930774045,45.2391314916896,80.7196041728094,72
2043,144,144.345813159413,968.78861126087,-87.1,33.11,0.8005375,0.474715,0.794544531,0.500137963,0.003300757,0.001771262,16.8,13,7174,32.5,0,32.5,25.7,7.2,1473,163,80,18,448,276,16.850656241851,13.0314760829333,7200.00154649164,32.6096226375064,0.0653761940359598,32.5757423940403,25.8360753039546,7.27012454257562,1450.01183044159,162.226384563365,78.6956299927826,18.6557882197529,441.933065821324,274.187438194695,0.0650340696118241,0.0548531350301623,10535.52376247,0.019432293049081,0.23751847904755,0.20747727962641,0.0440460125918232,0.151282672728058,267.164852977552,16.1106477604987,10.1099111144962,0.65051403806582,26.6998232299889,7.17737434373464,75
2045,198,207.324449098893,1973.53619064089,-87.76,34.13,0.7127375,0.489825,0.806835031,0.541707833,0.001552487,0.001156274,15.2,14.2,7602,32.1,-2.7,34.8,24.6,5,1503,167,87,19,445,285,15.2818782331867,13.9627996271458,7602.994993292,32.0967256224387,-2.5187171214393,34.615442743878,24.7035511319488,5.07726579774324,1497.62581400166,166.759322266384,87.2850482005143,18.86074490111,443.887627069801,283.941909061998,0.0445657220196824,0.129345674707647,1576.87289937492,0.072047209090639,0.0379385152308019,0.0567385745989905,0.0320711275727578,0.0710044224709664,148.122849523153,3.73774390734414,0.535091303229274,0.280140190523318,10.9665872138727,17.5270452663856,80
2047,71,80.781971790603,496.429115329327,-87.82,33.13,0.7615175,0.4995325,0.801932902,0.520667298,0.00300759,0.001974362,17,13.2,7391,33.1,0,33.1,26.3,7.2,1418,162,82,20,438,264,16.9209688677882,13.2703894639308,7374.13702972007,33.0522993651331,-0.0440563565776391,33.1103238665252,26.1604819685528,7.15630607473953,1424.11951245212,162.484922533278,81.8518463053181,20.2315155636585,439.937783193125,264.987670031347,0.0686330787057948,0.0368625213029747,6814.9860099302,0.0148718998293319,0.237121343486743,0.146414443584421,0.0323845326647652,0.137819413661777,653.233359163584,8.76368744471221,3.24572508434389,0.637964118635641,30.0881050331053,17.1797101945927,74
2050,48,83.0471139487776,802.705321133825,-86.71,32.32,0.7854975,0.4998875,0.7660857,0.495643959,0.004022257,0.002130746,18.1,12.7,6954,33.1,2.1,31,26.8,9,1329,160,65,21,409,255,17.9454034675432,12.7156740532823,6948.87413808885,33.0193246942666,1.86098496468507,31.1583397295815,26.5939332896609,8.79051514526824,1349.80963504966,160.391347192385,66.7397997875142,20.9753134402796,414.631717117231,258.95450752793,0.0497895227963549,0.0236070508705824,4312.38049599758,0.0383793931335249,0.116479819583076,0.0298322386546646,0.049221425754034,0.0847894912527153,731.385569360279,15.3679637235589,6.38248585996908,0.521589086474202,121.907060027627,64.0548710292443,73
