t,stateroute,R,Rcore,Rocca,R.aocca,R.ncore
5,2001,69.27272727,52.63636364,16.63636364,16.63636364,16.63636364
5,2006,55.18181818,42.72727273,11.45454545,11.45454545,11.45454545
5,2017,65.18181818,53.27272727,11.90909091,11.90909091,11.90909091
5,2019,64.36363636,52.27272727,12.09090909,12.09090909,12.09090909
5,2021,57.09090909,42.63636364,14.45454545,14.45454545,14.45454545
5,2027,67.63636364,50,17.63636364,17.63636364,17.63636364
5,2029,67.09090909,55.36363636,11.72727273,11.72727273,11.72727273
5,2034,61.72727273,52.36363636,8.363636364,8.363636364,8.363636364
5,2043,54.18181818,48.54545455,5.636363636,5.636363636,5.636363636
5,2045,68.81818182,56.81818182,12,12,12
5,2047,64.90909091,57.27272727,7.636363636,7.636363636,7.636363636
5,2050,62,50,10,10,10
5,2105,60.18181818,46.63636364,13.54545455,13.54545455,13.54545455
5,6014,79.27272727,66.54545455,12.72727273,11.36363636,11.36363636
5,6018,27.54545455,16.54545455,11,10,10
5,6024,43.45454545,28.45454545,15,15,15
5,6025,42.63636364,28.63636364,14,14,14
5,6032,90,65.27272727,21.72727273,18.90909091,18.90909091
5,7004,70.72727273,52.45454545,17.27272727,17.27272727,17.27272727
5,7005,62.36363636,48.72727273,13.45454545,13.45454545,13.45454545
5,7015,49.81818182,30,19.81818182,19.81818182,19.81818182
5,7019,68.90909091,46,22.90909091,22.90909091,22.90909091
5,7020,67.54545455,56.36363636,11.18181818,11.18181818,11.18181818
5,7021,68.81818182,54,14.81818182,14.81818182,14.81818182
5,7109,43.72727273,27,14.18181818,14.18181818,14.18181818
5,14001,63.63636364,44.81818182,16.81818182,16.36363636,16.36363636
5,14014,73.09090909,56.72727273,16.36363636,16.36363636,16.36363636
5,14018,57.81818182,35.81818182,21.27272727,20.54545455,20.54545455
5,14021,47.90909091,30,15.90909091,15.90909091,15.90909091
5,14054,65.18181818,45.81818182,19.36363636,19.36363636,19.36363636
5,14071,73.54545455,62.90909091,7.818181818,7.818181818,7.818181818
5,14080,37.72727273,26,11.72727273,11.72727273,11.72727273
5,14097,62.36363636,50,12.36363636,11.63636364,11.63636364
5,14098,69.90909091,58.72727273,11.18181818,11.18181818,11.18181818
