t,stateroute,R,Rcore,Rocca,R.aocca,R.ncore
5,2001,69.27272727,44.81818182,10.18181818,10.18181818,10.18181818
5,2006,55.18181818,37.90909091,11.45454545,11.45454545,11.45454545
5,2017,65.18181818,51.45454545,8.454545455,8.454545455,8.454545455
5,2019,64.36363636,49.54545455,8.818181818,8.818181818,8.818181818
5,2021,57.09090909,35,9.727272727,9.727272727,9.727272727
5,2027,67.63636364,42,10,10,10
5,2029,67.09090909,49.81818182,7.818181818,7.818181818,7.818181818
5,2034,61.72727273,47.90909091,5.090909091,5.090909091,5.090909091
5,2043,54.18181818,46.27272727,4.181818182,4.181818182,4.181818182
5,2045,68.81818182,49,4.727272727,4.727272727,4.727272727
5,2047,64.90909091,55,4.727272727,4.727272727,4.727272727
5,2050,62,41,9,9,9
5,2105,60.18181818,43,6.272727273,6.272727273,6.272727273
5,6014,79.27272727,62,8.818181818,7.454545455,7.454545455
5,6018,27.54545455,13,9.909090909,8.909090909,8.909090909
5,6024,43.45454545,20,12.27272727,12.27272727,11.81818182
5,6025,42.63636364,23,10.09090909,10.09090909,10.09090909
5,6032,90,55,15.54545455,13.63636364,13.18181818
5,7004,70.72727273,46.81818182,14.36363636,14.36363636,14.36363636
5,7005,62.36363636,44.72727273,11,11,11
5,7015,49.81818182,29,13.45454545,13.45454545,13.45454545
5,7019,68.90909091,37,15.18181818,15.18181818,15.18181818
5,7020,67.54545455,46,8.181818182,8.181818182,8.181818182
5,7021,68.81818182,46,8.090909091,8.090909091,8.090909091
5,7109,43.72727273,23,10.18181818,10.18181818,10.18181818
5,14001,63.63636364,38,11.63636364,11.63636364,11.18181818
5,14014,73.09090909,53,8.545454545,8.545454545,8.545454545
5,14018,57.81818182,31,11.90909091,11.90909091,11.18181818
5,14021,47.90909091,23,12.90909091,12.90909091,11.90909091
5,14054,65.18181818,44,16.45454545,16.45454545,15.90909091
5,14071,73.54545455,58,5.727272727,5.727272727,5.727272727
5,14080,37.72727273,22,10.72727273,10.72727273,10.72727273
5,14097,62.36363636,45,10.45454545,10.45454545,9.727272727
5,14098,69.90909091,56,6.454545455,6.454545455,5.727272727
5,14108,65.54545455,53,3.272727273,3.272727273,3.272727273
5,14140,25.18181818,12,6.181818182,6.181818182,6.181818182
5,14153,66.09090909,44,7.181818182,7.181818182,6.272727273
5,14155,51.36363636,30,9.454545455,9.454545455,9.454545455
5,14159,45.18181818,29,10.54545455,10.54545455,10.54545455
5,14164,69.90909091,37,10.54545455,10.54545455,10.54545455
5,14166,51.81818182,34,6.909090909,6.909090909,6.909090909
5,14168,83.45454545,55,14.81818182,14.81818182,14.72727273
5,14186,65.90909091,46.90909091,10.09090909,10.09090909,9.090909091
5,14188,71.27272727,40.90909091,13.90909091,13.90909091,13.81818182
5,14189,74.45454545,57.63636364,4.363636364,4.363636364,4.363636364
5,17004,52.36363636,33,9.363636364,9.363636364,9.363636364
5,17009,73.72727273,39,20,20,19.81818182
5,17011,68.27272727,41,13.45454545,13,11.90909091
5,17013,25.81818182,15.90909091,4.909090909,4.909090909,4.909090909
5,17037,33.81818182,18.72727273,7.363636364,7.363636364,7.363636364
5,17040,55.81818182,34,10.09090909,10.09090909,9.454545455
5,17044,36.36363636,16,11.90909091,11.90909091,11.90909091
5,17052,64.72727273,37,17,16.27272727,15.45454545
5,17055,43.81818182,25.90909091,11.09090909,11.09090909,11.09090909
5,18003,65,40.63636364,11.36363636,11.36363636,11.36363636
5,18009,80.63636364,51.81818182,16.18181818,16.18181818,16.18181818
5,21001,62.90909091,46,6.727272727,6.727272727,6.727272727
5,21002,57.90909091,40,6.272727273,6.272727273,6.272727273
5,21003,77.90909091,54,7.454545455,6.636363636,6.636363636
5,21004,63.27272727,45.90909091,6.454545455,6.454545455,6.454545455
5,25001,59.81818182,44,4,4,4
5,25002,38.09090909,22,7.090909091,6.272727273,6.272727273
5,25003,52.90909091,34.81818182,7.272727273,7.272727273,7.272727273
5,25009,52,38,6.090909091,5.181818182,5.181818182
5,25014,46.72727273,39,4.181818182,4.181818182,4.181818182
5,25020,46.09090909,34.72727273,5.363636364,5.363636364,5.363636364
5,25022,40.72727273,29.45454545,5.272727273,5.272727273,5.272727273
5,25025,41.81818182,27,8,7.727272727,7.727272727
5,25027,40.27272727,26,6.636363636,6.636363636,6.636363636
5,25031,39.09090909,25.54545455,10.09090909,9.636363636,9.636363636
5,25037,48.90909091,34,6.363636364,6.363636364,6.363636364
5,25052,54.90909091,46.90909091,5.272727273,5.272727273,5.272727273
5,25066,43.54545455,28,4.090909091,4.090909091,4.090909091
5,25067,38,25,6.272727273,6.272727273,6.272727273
5,25073,42.63636364,32.90909091,2.909090909,2.909090909,2.909090909
5,25081,28,19,6,6,6
5,25086,36.09090909,25,3.272727273,3.272727273,3.272727273
5,25087,29.18181818,18,7.181818182,6.636363636,6.636363636
5,25129,39.18181818,31,1.727272727,1.727272727,1.727272727
5,27010,63.09090909,42,5.545454545,5.545454545,5.545454545
5,27021,55.54545455,44,6.545454545,6.545454545,6.545454545
5,27027,73.54545455,53,8,8,8
5,27033,61.27272727,45.81818182,6,6,6
5,27046,60.54545455,45.63636364,9.909090909,9.909090909,9.909090909
5,27054,60.45454545,40.54545455,9,9,9
5,27057,60,41,7.363636364,7.363636364,7.363636364
5,33013,58.72727273,26,21,19.54545455,19.54545455
5,33020,35.81818182,19,6.818181818,6.818181818,6.454545455
5,33021,39.90909091,24,6.272727273,6.272727273,6.272727273
5,33027,39.81818182,25.90909091,11.54545455,11.54545455,11.54545455
5,33128,44.45454545,23,11.27272727,11.27272727,11.27272727
5,33212,52.36363636,22,18.27272727,17.45454545,17.45454545
5,33220,25.63636364,13,8.636363636,8.636363636,7.636363636
5,34002,65.63636364,46,8.545454545,8.545454545,8.181818182
5,34014,57.63636364,35,11.36363636,11.36363636,11.27272727
5,34022,68.36363636,44.81818182,12.54545455,12.54545455,12.09090909
5,34024,42.09090909,26.81818182,7.454545455,7.454545455,7.454545455
