t,stateroute,R,Rcore,Rocca,R.aocca,R.ncore
5,2001,69.27272727,42,6.454545455,6.454545455,6.454545455
5,2006,55.18181818,35.90909091,6.727272727,6.727272727,6.727272727
5,2017,65.18181818,48,3.181818182,3.181818182,2.727272727
5,2019,64.36363636,41.90909091,5.909090909,5.909090909,5.909090909
5,2021,57.09090909,34,7,7,7
5,2027,67.63636364,40,9,9,8
5,2029,67.09090909,47,4.818181818,4.818181818,4.454545455
5,2034,61.72727273,42,3.181818182,3.181818182,3.181818182
5,2043,54.18181818,43.81818182,1.545454545,1.545454545,1.545454545
5,2045,68.81818182,48,3.727272727,3.727272727,3.454545455
5,2047,64.90909091,51,4.272727273,4.272727273,4.272727273
5,2050,62,37,5.454545455,5.454545455,5.454545455
5,2105,60.18181818,41,4.818181818,4.818181818,4.818181818
5,6014,79.27272727,61,6.272727273,5.909090909,5.909090909
5,6018,27.54545455,13,6.818181818,6.818181818,6
5,6024,43.45454545,17,9.909090909,9.909090909,9.454545455
5,6025,42.63636364,19,6.545454545,6.545454545,6.545454545
5,6032,90,48,11.27272727,9.363636364,8.909090909
5,7004,70.72727273,45,9.636363636,9.636363636,9
5,7005,62.36363636,39,9.181818182,9.181818182,9.181818182
5,7015,49.81818182,24,8.181818182,8.181818182,8.181818182
5,7019,68.90909091,33,13.18181818,13.18181818,13.18181818
5,7020,67.54545455,44,4.454545455,4.454545455,4.454545455
5,7021,68.81818182,41,7.090909091,7.090909091,7.090909091
5,7109,43.72727273,19,7.090909091,7.090909091,7.090909091
5,14001,63.63636364,32,7.181818182,7.181818182,6.727272727
5,14014,73.09090909,50,6.636363636,6.636363636,6.636363636
5,14018,57.81818182,28,9.454545455,9.454545455,8.727272727
5,14021,47.90909091,21,8,8,7
5,14054,65.18181818,37,14.54545455,14.54545455,13.18181818
5,14071,73.54545455,55,3.272727273,3.272727273,3.272727273
5,14080,37.72727273,21,6.272727273,6.272727273,6.272727273
5,14097,62.36363636,45,4.818181818,4.818181818,4.090909091
5,14098,69.90909091,55,3.909090909,3.909090909,3.181818182
5,14108,65.54545455,49,2.727272727,2.727272727,2.727272727
5,14140,25.18181818,10,4.454545455,4.454545455,4.454545455
5,14153,66.09090909,42,6.636363636,6.636363636,5.727272727
5,14155,51.36363636,28,5.909090909,5.909090909,5.909090909
5,14159,45.18181818,27,7.818181818,7.818181818,7.818181818
5,14164,69.90909091,35,8.545454545,8.545454545,8.545454545
5,14166,51.81818182,28,5.909090909,5.909090909,5.909090909
5,14168,83.45454545,48,10,10,9.909090909
5,14186,65.90909091,42,8.181818182,8.181818182,7.181818182
5,14188,71.27272727,39.90909091,9,9,8.909090909
5,14189,74.45454545,55,2.636363636,2.636363636,2.636363636
5,17004,52.36363636,30,6.454545455,6.454545455,6.454545455
5,17009,73.72727273,33,14.27272727,14.27272727,14.09090909
5,17011,68.27272727,36,11.09090909,10.63636364,9.545454545
5,17013,25.81818182,13.90909091,4.909090909,4.909090909,4.909090909
5,17037,33.81818182,16,6,6,6
5,17040,55.81818182,30,7.363636364,7.363636364,6.727272727
5,17044,36.36363636,15,9.090909091,9.090909091,9.090909091
5,17052,64.72727273,34,12.63636364,11.90909091,11.09090909
5,17055,43.81818182,23.90909091,6.909090909,6.909090909,6.909090909
5,18003,65,38.90909091,9.363636364,9.363636364,9.363636364
5,18009,80.63636364,48.90909091,13.72727273,13.72727273,13.72727273
5,21001,62.90909091,44,4.818181818,4.818181818,4.818181818
5,21002,57.90909091,33,5.636363636,5.636363636,5.636363636
5,21003,77.90909091,50,5.909090909,5.090909091,5.090909091
5,21004,63.27272727,43,5.454545455,5.454545455,5.454545455
5,25001,59.81818182,43,1.636363636,1.636363636,1.272727273
5,25002,38.09090909,20,2.272727273,2.272727273,2.272727273
5,25003,52.90909091,29,5.272727273,5.272727273,5.272727273
5,25009,52,32,5.090909091,4.636363636,4.181818182
5,25014,46.72727273,34,2.727272727,2.727272727,2.727272727
5,25020,46.09090909,33,4.363636364,4.363636364,4.363636364
5,25022,40.72727273,29,1.272727273,1.272727273,1.272727273
5,25025,41.81818182,26,5.181818182,5.181818182,4.909090909
5,25027,40.27272727,26,6.636363636,6.636363636,6.636363636
5,25031,39.09090909,23.54545455,7.818181818,7.363636364,7.363636364
5,25037,48.90909091,30,4.363636364,4.363636364,4.363636364
5,25052,54.90909091,41.90909091,2.909090909,2.909090909,2.909090909
5,25066,43.54545455,27,1.454545455,1.454545455,1.454545455
5,25067,38,20,4.909090909,4.909090909,4.909090909
5,25073,42.63636364,30,2.909090909,2.909090909,2.909090909
5,25081,28,18,3.090909091,3.090909091,3.090909091
5,25086,36.09090909,20,2.909090909,2.909090909,2.909090909
5,25087,29.18181818,17,3,2.909090909,2.454545455
5,25129,39.18181818,28,1.727272727,1.727272727,1.727272727
5,27010,63.09090909,40,3.727272727,3.727272727,3.545454545
