When, What, How
Summer 2014,"Github repository (with private subrepo for data, public for code)",FILL
Summer 2014,"Set up server (for computation, storage)",FILL
Summer 2014,EcoData Retriever training with Ben,FILL
Summer 2014,Environmental data: use WorldGrids.org scripts for grabbing from source,FILL
Summer 2014,Some ocean/marine data here:http://oceaninformatics.ucsd.edu/datazoo/,FILL
