SubsetSppID,AOU,CommonName,Route Expected,MeanN,logN,MeanLogN,AbundClass,Mass(g),logMass,66-04Trend,TrConf,NumRoutes2002,Brange_Area_km2,log_Brange_Area,Mean_Rel_Im,new_Im,Num_routes,migclass,migclass1,BiomeH,BiomeH_noMex,NumBiomes,OMI,Tol,1yr Prop,5yr Prop,10yr Prop,Foraging,Trophic Group,,,
1,2881,Gray Partridge,168,2.133024691,0.328995883,0.254741618,Low,398,2.599883072,0.1,Y,55,2759873.633,6.440889197,0.25361,0.25028,45,resid,resid,1.603420969,1.603420969,15,3.620746627,0.416770198,0.119,0.244,0.304,ground glean,granivore,,0.74639,0.74972
2,2882,Chukar,52,3.465708479,0.539792029,0.278596548,Low,619,2.791690649,0.4,R,28,970397.7406,5.986949777,0.30156,0.25264,22,resid,resid,1.944955946,1.944955946,16,9.791359851,0.908859864,0.058,0.173,0.212,ground glean,granivore,,0.69844,0.74736
3,2890,Northern Bobwhite,406,14.88358498,1.172707551,0.841676115,High,178,2.250420002,-3,Y,828,4555640.398,6.658549435,0.4908,0.47241,676,resid,resid,2.214514333,1.850280247,22,2.886976375,0.702806355,0.648,0.791,0.869,ground glean,herbivore,,0.5092,0.52759
4,2920,Mountain Quail,36,6.662907762,0.823663801,0.589844262,Med,233,2.367355921,0.8,Y,54,345649.6889,5.53863617,0.46257,0.46172,44,resid,resid,2.323288573,2.323288573,16,8.127888497,0.544837506,0.25,0.444,0.444,ground glean,granivore,,0.53743,0.53828
5,2930,Scaled Quail,31,7.64021879,0.883105795,0.614480339,Med,191,2.281033367,-1.2,B,73,1415876.881,6.15102549,0.45806,0.44998,64,resid,resid,1.997942824,1.945435406,21,9.488421192,0.289682163,0.677,0.806,0.839,ground glean,granivore,,0.54194,0.55002
6,2940,California Quail,86,10.27866603,1.011936755,0.629985016,High,176,2.245512668,1.2,B,163,1269589.876,6.10366345,0.49305,0.47175,127,resid,resid,2.587958656,2.541334047,21,3.286222762,0.596121595,0.5,0.64,0.721,ground glean,granivore,,0.50695,0.52825
7,2950,Gambel's Quail,25,23.66203563,1.374052104,0.989622615,High,170,2.230448921,-0.1,B,54,544155.5444,5.735723059,0.47947,0.43802,48,resid,resid,2.196819172,2.041258803,16,12.21831011,0.429845498,0.8,0.84,0.84,ground glean,granivore,,0.52053,0.56198
9,2970,Blue Grouse,85,2.140771637,0.330570342,0.143282813,Low,1188,3.074816441,-2.5,Y,44,2095889.555,6.321368393,0.50549,0.49351,16,resid,resid,2.421486754,2.421486754,21,7.879538616,1.197330758,0.059,0.129,0.247,ground glean,herbivore,,0.49451,0.50649
10,2980,Spruce Grouse,107,1.257575758,0.099534157,0.0180618,Low,466.75,2.669084327,,,4,7552345.148,6.878081829,0.01471,0.11268,1,resid,resid,1.514806905,1.514806905,20,4.65444245,0.532865024,0.009,0.019,0.065,ground glean,herbivore,,0.98529,0.88732
11,3000,Ruffed Grouse,375,1.808183643,0.257242536,0.146772591,Low,621,2.7930916,-2.4,Y,136,7998834.402,6.903026706,0.50719,0.51423,42,resid,resid,1.903814791,1.903814791,25,2.395579591,0.501710523,0.077,0.229,0.403,ground glean,omnivore,,0.49281,0.48577
12,3010,Willow Ptarmigan,33,6.587576313,0.818725659,0.35794756,Med,601,2.778874472,,,9,6413898.829,6.807122105,0.34183,0.38075,6,resid,resid,1.711222439,1.711222439,13,10.46468179,0.281504651,0.061,0.152,0.182,ground glean,herbivore,,0.65817,0.61925
13,3020,Rock Ptarmigan,20,3.341666667,0.523963127,0.138566224,Low,422,2.625312451,,,1,4605717.817,6.663297326,,0,,short,migrant,1.562906537,1.562906537,13,15.53181879,0.783891053,0,0,0,ground glean,herbivore,,1,1
14,3040,White-tailed Ptarmigan,40,,,,,344.5,2.537189226,,,,1628437.13,6.211770996,,,,resid,resid,2.055968264,2.055968264,18,,,0,0,0,ground glean,herbivore,,1,1
15,3050,Greater Prairie-Chicken,19,7.266713352,0.861338029,0.532548699,Low,892,2.950364854,-6.1,Y,17,414947.1353,5.617992771,0.17311,0.19817,11,resid,resid,0.284174807,0.284174807,3,1.527539696,0.112068416,0.105,0.158,0.263,ground glean,granivore,,0.82689,0.80183
16,3070,Lesser Prairie-Chicken,12,3.211111111,0.506655333,0.39877072,Low,756.25,2.878665388,,,3,82032.33613,4.91398508,0.02174,0.10974,1,resid,resid,0.462420047,0.462420047,3,4.560564869,0.13402763,0.083,0.083,0.167,ground glean,insectivore,,0.97826,0.89026
17,3080,Sharp-tailed Grouse,135,2.733097643,0.436655148,0.287167052,Low,953,2.979092901,-0.7,Y,50,6054169.826,6.782054599,0.34835,0.26268,25,resid,resid,1.656673944,1.656673944,20,4.550534332,0.240486577,0.03,0.156,0.2,ground glean,herbivore,,0.65165,0.73732
