"CompAOU","focalAOU","Competitor","Focal","CompSciName","FocalSciName","Family","FocalMass","CompMass","focalcat","compcat"
4710,4580,"Vermilion Flycatcher","Black Phoebe","Pyrocephalus rubinus","Sayornis nigricans","Tyrannidae",19,14,"Sayornis_nigricans","Pyrocephalus_rubinus"
4750,4920,"Black-billed Magpie","Pinyon Jay","Pica pica","Gymnorhinus cyanocephalus","Corvidae",103,177.5,"Gymnorhinus_cyanocephalus","Pica_pica"
4780,4810,"Steller's Jay","Western Scrub-Jay","Cyanocitta stelleri","Aphelocoma californica","Corvidae",96.25,128,"Aphelocoma_californica","Cyanocitta_stelleri"
4780,4840,"Steller's Jay","Gray Jay","Cyanocitta stelleri","Perisoreus canadensis","Corvidae",73,128,"Perisoreus_canadensis","Cyanocitta_stelleri"
4810,4780,"Western Scrub-Jay","Steller's Jay","Aphelocoma californica","Cyanocitta stelleri","Corvidae",128,96.25,"Cyanocitta_stelleri","Aphelocoma_californica"
4840,4780,"Gray Jay","Steller's Jay","Perisoreus canadensis","Cyanocitta stelleri","Corvidae",128,73,"Cyanocitta_stelleri","Perisoreus_canadensis"
4840,4910,"Gray Jay","Clark's Nutcracker","Perisoreus canadensis","Nucifraga columbiana","Corvidae",135.75,73,"Nucifraga_columbiana","Perisoreus_canadensis"
4910,4840,"Clark's Nutcracker","Gray Jay","Nucifraga columbiana","Perisoreus canadensis","Corvidae",73,135.75,"Perisoreus_canadensis","Nucifraga_columbiana"
4980,4970,"Red-winged Blackbird","Yellow-headed Blackbird","Agelaius phoeniceus","Xanthocephalus xanthocephalus","Icteridae",64.5,53,"Xanthocephalus_xanthocephalus","Agelaius_phoeniceus"
5040,5050,"Scott's Oriole","Hooded Oriole","Icterus parisorum","Icterus cucullatus","Icteridae",24,37,"Icterus_cucullatus","Icterus_parisorum"
5050,5040,"Hooded Oriole","Scott's Oriole","Icterus cucullatus","Icterus parisorum","Icteridae",37,24,"Icterus_parisorum","Icterus_cucullatus"
5080,5040,"Bullock's Oriole","Scott's Oriole","Icterus bullockii","Icterus parisorum","Icteridae",37,34.25,"Icterus_parisorum","Icterus_bullockii"
5080,5050,"Bullock's Oriole","Hooded Oriole","Icterus bullockii","Icterus cucullatus","Icteridae",24,34.25,"Icterus_cucullatus","Icterus_bullockii"
5170,5220,"Purple Finch","White-winged Crossbill","Carpodacus purpureus","Loxia leucoptera","Fringillidae",28,25,"Loxia_leucoptera","Carpodacus_purpureus"
5170,5210,"Purple Finch","Red Crossbill","Carpodacus purpureus","Loxia curvirostra","Fringillidae",39,25,"Loxia_curvirostra","Carpodacus_purpureus"
5190,5180,"House Finch","Cassin's Finch","Carpodacus mexicanus","Carpodacus cassinii","Fringillidae",27,21,"Carpodacus_cassinii","Carpodacus_mexicanus"
5210,5220,"Red Crossbill","White-winged Crossbill","Loxia curvirostra","Loxia leucoptera","Fringillidae",28,39,"Loxia_leucoptera","Loxia_curvirostra"
5220,5210,"White-winged Crossbill","Red Crossbill","Loxia leucoptera","Loxia curvirostra","Fringillidae",39,28,"Loxia_curvirostra","Loxia_leucoptera"
5300,5330,"Lesser Goldfinch","Pine Siskin","Carduelis psaltria","Carduelis pinus","Fringillidae",15,10,"Carduelis_pinus","Carduelis_psaltria"
5330,5300,"Pine Siskin","Lesser Goldfinch","Carduelis pinus","Carduelis psaltria","Fringillidae",10,15,"Carduelis_psaltria","Carduelis_pinus"
5380,6050,"Chestnut-collared Longspur","Lark Bunting","Calcarius ornatus","Calamospiza melanocorys","Emberizidae",38,19,"Calamospiza_melanocorys","Calcarius_ornatus"
5390,5380,"McCown's Longspur","Chestnut-collared Longspur","Calcarius mccownii","Calcarius ornatus","Emberizidae",19,23,"Calcarius_ornatus","Calcarius_mccownii"
5400,7000,"Vesper Sparrow","Sprague's Pipit","Pooecetes gramineus","Anthus spragueii","Motacillidae",25,27,"Anthus_spragueii","Pooecetes_gramineus"
5420,5480,"Savannah Sparrow","Le Conte's Sparrow","Passerculus sandwichensis","Ammodramus leconteii","Emberizidae",13,21.33,"Ammodramus_leconteii","Passerculus_sandwichensis"
