"FocalAOU","ENV","COMP","SHARED","NONE","ALPHA.CODE","Trophic.Group","Foraging","migclass","Family","CommonName","Long","Lat"
"2881",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8854253015346,70.3784759251899
"2920",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-120.399616034861,40.252702973991
"3000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-100.559026563174,53.5056527197658
"3210",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-101.729970524346,26.1227963610936
"3880",0.122047056111727,0.0450811422317298,0.126639236678888,0.706232564977654,"BBCU","insectivore","foliage glean","neotrop","Cuculidae","Black-billed Cuckoo",-90.7680122445633,43.5929936077623
"4021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-112.370932192435,42.6249977745759
"4030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-124.837676283401,49.7912714615598
"4060",0.0745836946536919,0.174934778721513,0.00842638775410268,0.742055138870692,"RHWO","omnivore","bark glean","short","Picidae","Red-headed Woodpecker",-92.7955261179052,40.1027462151817
"4290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-110.012922776573,36.5666125469169
"4310",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-117.871636826,37.2617131554919
"4320",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.527341434758,31.9059203606508
"4330",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.995364241667,50.6904258425836
"4360",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-117.190278370042,45.1611793952122
"4480",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-105.619298132274,28.4014116590193
"4540",0.0896317954675128,0.19058932962285,-0.0247414078547793,0.744520282764417,"ATFL","insectivore","hover/glean","neotrop","Tyrannidae","Ash-throated Flycatcher",-108.979423155836,33.8553525302276
"4570",0.0228819041757928,0.0280638302290787,0.00693581860418824,0.94211844699094,"SAPH","insectivore","hawks","short","Tyrannidae","Say's Phoebe",-115.382944473751,48.7114859340913
"4580",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-93.4365908096973,17.6864562314228
"4590",0.0868191801930513,0.136592027083343,0.0440377498565121,0.732551042867093,"OSFL","insectivore","hawks","neotrop","Tyrannidae","Olive-sided Flycatcher",-106.137081825936,52.2135679952994
"4640",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-108.823035873278,36.9847152409146
"4650",0.142304445516594,0.199404625360499,-0.00301124618083823,0.661302175303745,"ACFL","insectivore","hawks","neotrop","Tyrannidae","Acadian Flycatcher",-88.2342109993105,36.726783006499
"4660",0.158801227848067,0.175726775481433,-0.0312119868237451,0.696683983494245,"WIFL","insectivore","hawks","neotrop","Tyrannidae","Willow Flycatcher",-102.449799171405,42.6265232641331
"4680",0.321768217827333,0.032891686884253,0.0432027360918343,0.60213735919658,"HAFL","insectivore","hawks","neotrop","Tyrannidae","Hammond's Flycatcher",-120.417554600808,50.1057998198202
"4690",0.213140849788842,0.0432358464197753,-0.00601887181804157,0.749642175609424,"DUFL","insectivore","hawks","neotrop","Tyrannidae","Dusky Flycatcher",-115.084342966758,43.9365411642411
"4691",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-112.944991948526,39.5508066680146
"4710",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-76.8954751342091,-0.351225689958047
"4780",0.0929026233840676,0.263935712452654,-5.69121974453024e-05,0.643218576360724,"STJA","omnivore","ground glean","resid","Corvidae","Steller's Jay",-112.319464620546,40.0407215789788
"4810",0.163838610647943,0.0084552551876424,0.00290281716532466,0.82480331699909,"WESJ","omnivore","ground glean","resid","Corvidae","Western Scrub-Jay",-109.83150288049,34.563526349732
"4840",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-100.983414181984,57.0329342228807
"4910",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-113.519086321512,42.8572418993332
"4920",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-111.521891564096,38.9813677209935
"4970",0.0909871401030791,0.0450448733224164,0.0313330197890657,0.832634966785439,"YHBL","insectivore","ground glean","neotrop","Icteridae","Yellow-headed Blackbird",-107.604338440804,46.0071538485301
"5040",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.179460011224,29.1253290470639
"5050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.950836186408,30.0290619197699
"5180",0.181937011691846,0.364227385337797,-0.0541773961441312,0.508012999114487,"CAFI","granivore","ground glean","short","Fringillidae","Cassin's Finch",-113.864705158496,42.8963456956126
"5210",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.3683866837506,84.7825848536392
"5220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-124.675189916292,82.5340839393867
"5300",0.396095758085566,0.0273198492720707,0.0241204564679535,0.55246393617441,"LEGO","granivore","foliage glean","short","Fringillidae","Lesser Goldfinch",-104.370260487874,30.0069951385375
"5330",0.266355624431857,0.0282075476470067,0.249693583498797,0.455743244422339,"PISI","granivore","foliage glean","short","Fringillidae","Pine Siskin",-104.522906073245,50.019375119496
"5450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-105.965354710524,48.9776924407417
"5460",0.22790037467595,0.201996733365561,-0.140258803816432,0.710361695774921,"GRSP","insct/om","ground glean","neotrop","Emberizidae","Grasshopper Sparrow",-93.8589787250302,40.348406436122
"5480",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99.8438670144347,53.0458127870149
"5491",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-101.566007050512,53.3266240481296
"5520",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-103.297801394692,38.6427939303568
"5540",0.431609759177214,0.0333039680076969,0.0294518104208717,0.505634462394217,"WCSP","insct/om","ground glean","short","Emberizidae","White-crowned Sparrow",-110.603075731472,59.2825733051747
"5650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.752114791636,29.0024563329377
