"Species","Mean.Temp","Mean.Precip","Mean.Elev","Mean.EVI","SD.Temp","SD.Precip","SD.Elev","SD.EVI","stateroute","Longi","Lati","sum.EVI","elev.mean","mat","ap.mean","FocalCommonName","Family","FocalOcc","MainCompSum","FocalAbundance","AllCompSum","nroutes","comp_scaled","all_comp_scaled","zTemp","zPrecip","zElev","zEVI"
2881,4.81287425149701,543.748936702002,717.738713389924,0.377320561350299,2.26932451533746,161.534027281252,481.684690079802,0.104126972317828,64005,-99.46,46.8,0.367665,567.711768755373,4.9,439.584683882322,"Gray Partridge","Phasianidae",0.2,0,1.33333333333333,0,28,0,0,0.0383928115675594,-0.644844028053091,-0.31146297095242,-0.0927287247037933
2881,4.81287425149701,543.748936702002,717.738713389924,0.377320561350299,2.26932451533746,161.534027281252,481.684690079802,0.104126972317828,53002,-114.46,48.1,0.3508325,1192.73692939582,5.5,591.755014850226,"Gray Partridge","Phasianidae",0.266666666666667,0,1.5,0,28,0,0,0.302788668548277,0.297188641651576,0.98611856633268,-0.25438232535418
2881,4.81287425149701,543.748936702002,717.738713389924,0.377320561350299,2.26932451533746,161.534027281252,481.684690079802,0.104126972317828,45002,-96.71,49.71,0.3463775,258.072595999816,2.2,514.800667471774,"Gray Partridge","Phasianidae",0.0666666666666667,0,1,0,28,0,0,-1.15138854484567,-0.179208490727626,-0.954288410773349,-0.297166628986883
2881,4.81287425149701,543.748936702002,717.738713389924,0.377320561350299,2.26932451533746,161.534027281252,481.684690079802,0.104126972317828,36013,-94.14,41.65,0.4850125,320.903244805146,9.3,841.344701914202,"Gray Partridge","Phasianidae",0.0666666666666667,0,2,0,28,0,0,1.97729576275949,1.84231007064565,-0.823849038089695,1.03423672322855
2881,4.81287425149701,543.748936702002,717.738713389924,0.377320561350299,2.26932451533746,161.534027281252,481.684690079802,0.104126972317828,64042,-100.05,47.64,0.377715,532.888594564901,4.5,429.587059244585,"Gray Partridge","Phasianidae",0.4,0,1.5,0,28,0,0,-0.137871093086253,-0.706735784273158,-0.383757513227996,0.00378805453496404
2881,4.81287425149701,543.748936702002,717.738713389924,0.377320561350299,2.26932451533746,161.534027281252,481.684690079802,0.104126972317828,33021,-112.73,43.11,0.1955625,1449.04727705553,7.2,277.642133940709,"Gray Partridge","Phasianidae",0.0666666666666667,0,1,0,28,0,0,1.05191026332698,-1.64737304727732,1.51823086497611,-1.74554255544392
2881,4.81287425149701,543.748936702002,717.738713389924,0.377320561350299,2.26932451533746,161.534027281252,481.684690079802,0.104126972317828,64039,-102.69,48.66,0.30868,674.014000044499,3.2,402.565370171413,"Gray Partridge","Phasianidae",0.266666666666667,0,1.5,0,28,0,0,-0.710728783211141,-0.87401749901753,-0.0907745549026708,-0.65920058772848
2881,4.81287425149701,543.748936702002,717.738713389924,0.377320561350299,2.26932451533746,161.534027281252,481.684690079802,0.104126972317828,81003,-97.47,43.94,0.448725,469.932031293724,7.2,586.837688526477,"Gray Partridge","Phasianidae",0.266666666666667,0,2.5,0,28,0,0,1.05191026332698,0.266747214501448,-0.514458290246146,0.685743924559258
2881,4.81287425149701,543.748936702002,717.738713389924,0.377320561350299,2.26932451533746,161.534027281252,481.684690079802,0.104126972317828,33027,-112.51,42.85,0.2446225,1586.12465645268,7.1,336.795772159154,"Gray Partridge","Phasianidae",0.0666666666666667,0,2,0,28,0,0,1.00784428716352,-1.28117380607688,1.80280993136586,-1.27438701420477
2881,4.81287425149701,543.748936702002,717.738713389924,0.377320561350299,2.26932451533746,161.534027281252,481.684690079802,0.104126972317828,79033,-107.85,52.25,0.378535897,616.535912026282,1.1,368.101739570555,"Gray Partridge","Phasianidae",0.466666666666667,1.5,1.85714285714286,1.5,28,0.446808510638298,0.446808510638298,-1.63611428264365,-1.08736964024071,-0.210101760441826,0.0116716699107607
2881,4.81287425149701,543.748936702002,717.738713389924,0.377320561350299,2.26932451533746,161.534027281252,481.684690079802,0.104126972317828,45102,-96.85,49.36,0.476275,264.544269241485,2.4,510.092528526406,"Gray Partridge","Phasianidae",0.2,1.5,1.33333333333333,1.5,28,0.529411764705882,0.529411764705882,-1.06325659251876,-0.208354912844437,-0.940852913704516,0.950324747248588
2881,4.81287425149701,543.748936702002,717.738713389924,0.377320561350299,2.26932451533746,161.534027281252,481.684690079802,0.104126972317828,64012,-99.05,47.08,0.388075,512.310964833428,4.8,448.170478917064,"Gray Partridge","Phasianidae",0.0666666666666667,0,2,0,28,0,0,-0.00567316459589382,-0.591692409293577,-0.426477637315942,0.103281968257703
2881,4.81287425149701,543.748936702002,717.738713389924,0.377320561350299,2.26932451533746,161.534027281252,481.684690079802,0.104126972317828,4004,-113.61,49.8,0.2801375,1109.89372075464,4.5,455.839077117994,"Gray Partridge","Phasianidae",1,0,3.4,0,28,0,0,-0.137871093086253,-0.544218831558912,0.814132181157235,-0.933313042596364
2881,4.81287425149701,543.748936702002,717.738713389924,0.377320561350299,2.26932451533746,161.534027281252,481.684690079802,0.104126972317828,4040,-114.75,54.08,0.4366,691.385549240607,1.7,504.065672696589,"Gray Partridge","Phasianidae",0.133333333333333,1,2,1,28,0.333333333333333,0.333333333333333,-1.37171842566294,-0.245665044531574,-0.0547104043206168,0.569299551597076
2881,4.81287425149701,543.748936702002,717.738713389924,0.377320561350299,2.26932451533746,161.534027281252,481.684690079802,0.104126972317828,53009,-107.86,48.22,0.2300725,760.729127368743,5.3,308.512494744332,"Gray Partridge","Phasianidae",0.333333333333333,0,2,0,28,0,0,0.214656716221371,-1.45626556779949,0.0892501149905691,-1.41412026175939
