"Longi","Lati","stateroute"
-87.6,34.86,2001
-86.68,34.5,2006
-87,33.52,2017
-88.17,33.47,2019
-87.83,32.27,2021
-85.55,32.31,2027
-85.06,32.14,2029
-86.61,31.44,2034
-87.1,33.11,2043
-87.76,34.13,2045
-87.82,33.13,2047
-86.71,32.32,2050
-86.47,34.21,2105
-146.99,64.54,3041
-149.44,61.58,3117
-151.79,59.79,3119
-132.37,56.45,3224
-151.56,59.64,3319
-113.61,49.8,4004
-111.85,50.56,4007
-113.76,51.23,4014
-116.25,51.51,4017
-110.71,52.43,4018
-114.48,52.01,4022
-114.75,54.08,4040
-113.9,49.06,4105
-113.91,51.56,4114
-114.18,51.55,4115
-112.11,53.1,4128
-113.11,53.11,4129
-115.51,54.75,4141
-112.43,34.64,6014
-114.21,33.65,6018
-114.39,32.83,6024
-113.54,32.92,6025
-110.79,31.51,6032
-92.69,33.59,7004
-93.47,33.37,7005
-94.04,34.97,7015
-91.34,35.91,7019
-92.71,35.63,7020
-92.19,35.57,7021
-91.7,34.7,7109
-120.66,49.15,11009
-120.66,51.4,11033
-122.06,52.16,11045
-120.03,55.43,11074
-119.71,49.6,11208
-121.8,50.86,11222
-122.85,50.11,11223
-121.38,52.46,11244
-122.8,53.93,11255
-120.16,49.73,11709
-123,41.82,14001
-123.58,38.8,14014
-119.83,38.34,14018
-120.86,37.59,14021
-119.3,36.63,14054
-122.86,38.04,14071
-122.23,39.76,14080
-122.38,40.51,14097
-121.03,38.72,14098
-121.69,36.45,14108
-119.72,35.09,14140
-120.92,38.76,14153
-121.15,37.51,14155
-121.6,39.49,14159
-123.03,40.65,14164
-121.89,41.99,14166
-122.01,41.82,14168
-122.71,38.54,14186
-120.44,38.76,14188
-121.67,37.25,14189
-105.03,40.5,17004
-107.64,39.96,17009
-105.27,39.22,17011
-103.64,39.85,17013
-102.71,40.26,17037
-106.22,39.54,17040
-102.42,39.38,17044
-108.02,37.79,17052
-105.74,37.18,17055
-72.51,41.7,18003
-73.5,41.53,18009
-75.68,39.5,21001
-75.58,39.75,21002
-75.53,38.95,21003
-75.46,39.02,21004
-87.4,30.92,25001
-86.27,30.37,25002
-86.48,30.51,25003
-85.3,29.78,25009
-82.39,29.19,25014
-82.3,28.32,25020
-81.86,28.17,25022
-80.87,28.74,25025
-82.14,27.66,25027
-80.38,26.96,25031
-82.16,30.25,25037
-86.78,30.72,25052
-82.17,28.64,25066
-80.89,28.1,25067
-81.45,27.76,25073
-81.12,26.55,25081
-81.76,26.94,25086
-81.65,25.93,25087
-81.71,27.9,25129
-84.71,31.74,27010
-84.4,31.29,27021
-84.78,34.05,27027
-84.26,32.18,27033
-83.81,33.1,27046
-81.69,32.64,27054
-83.8,30.66,27057
-114.17,44.61,33013
-113.56,43.46,33020
-112.73,43.11,33021
-112.51,42.85,33027
-111.71,42.96,33128
-115.49,44.96,33212
-113.87,43.33,33220
-89.33,42.15,34002
-88.18,41.93,34014
-90.98,40.65,34022
-90.5,40.86,34024
-89.66,40.6,34025
-88.95,40.92,34029
-88.55,40.07,34030
-90.41,39.79,34038
-89.26,39.48,34041
-89.2,39.39,34042
-88.1,39.89,34044
-88.19,39.31,34046
-90.25,38.38,34049
-89.53,38.69,34051
-89.66,38.66,34052
