"Aou","stateroute","n","occ"
10,4002,6,0.4
10,4028,1,0.0666666666666667
10,4105,1,0.0666666666666667
10,4302,6,0.4
10,6074,7,0.466666666666667
10,14021,9,0.6
10,14083,2,0.133333333333333
10,14098,1,0.0666666666666667
10,14189,6,0.4
10,14190,8,0.533333333333333
10,14193,9,0.6
10,17004,1,0.0666666666666667
10,17055,1,0.0666666666666667
10,17222,3,0.2
10,17305,2,0.133333333333333
10,17359,6,0.4
10,17900,1,0.0666666666666667
10,33021,7,0.466666666666667
10,33023,3,0.2
10,33124,8,0.533333333333333
10,33211,6,0.4
10,33218,5,0.333333333333333
10,45203,1,0.0666666666666667
10,53002,1,0.0666666666666667
10,53017,2,0.133333333333333
10,54031,1,0.0666666666666667
10,54041,10,0.666666666666667
10,55045,3,0.2
10,60071,1,0.0666666666666667
10,60155,2,0.133333333333333
10,64005,9,0.6
10,64009,10,0.666666666666667
10,64011,14,0.933333333333333
10,64012,1,0.0666666666666667
10,64028,1,0.0666666666666667
10,64039,4,0.266666666666667
10,64042,14,0.933333333333333
10,64043,14,0.933333333333333
10,79132,4,0.266666666666667
10,81003,1,0.0666666666666667
10,81010,2,0.133333333333333
10,81019,8,0.533333333333333
10,81023,7,0.466666666666667
10,85011,4,0.266666666666667
10,85108,1,0.0666666666666667
10,85323,1,0.0666666666666667
10,85904,1,0.0666666666666667
10,92019,7,0.466666666666667
10,92030,1,0.0666666666666667
10,92077,6,0.4
10,92104,4,0.266666666666667
10,92120,2,0.133333333333333
11,4002,1,0.0666666666666667
11,6074,1,0.0666666666666667
11,14021,12,0.8
11,14189,6,0.4
11,14190,9,0.6
11,33022,1,0.0666666666666667
11,33124,6,0.4
11,64005,1,0.0666666666666667
11,64011,1,0.0666666666666667
11,64042,1,0.0666666666666667
11,81023,1,0.0666666666666667
11,85011,5,0.333333333333333
11,85904,1,0.0666666666666667
11,92042,2,0.133333333333333
11,92077,1,0.0666666666666667
11,92104,1,0.0666666666666667
12,14021,1,0.0666666666666667
12,14189,2,0.133333333333333
12,14193,2,0.133333333333333
12,81003,1,0.0666666666666667
12,81010,1,0.0666666666666667
12,85011,1,0.0666666666666667
