AOU,Foraging,Trophic Group,Source,Notes
4340,hover/glean,nectarivore,The Birder's Handbook,
4360,hover/glean,nectarivore,The Birder's Handbook,
4370,hover/glean,nectarivore,The Birder's Handbook,
4390,hover/glean,nectarivore,The Birder's Handbook,
4391,hover/glean,nectarivore,The Birder's Handbook,
4410,hover/glean,nectarivore,The Birder's Handbook,
4430,hawks,insectivore,The Birder's Handbook,
4440,hawks,insectivore,The Birder's Handbook,
4450,hawks,insectivore,The Birder's Handbook,
4451,hawks,insectivore,The Birder's Handbook,
4460,hawks,insectivore,The Birder's Handbook,
4461,hawks,insectivore,The Birder's Handbook,
4470,hawks,insectivore,The Birder's Handbook,
4480,hawks,insectivore,The Birder's Handbook,
4490,hawks,omnivore,The Birder's Handbook,
4510,hawks,insectivore,The Birder's Handbook,
4520,hawks,insectivore,The Birder's Handbook,
4530,hover/glean,insectivore,The Birder's Handbook,
4540,hover/glean,insectivore,The Birder's Handbook,
4550,hover/glean,insectivore,The Birder's Handbook,
4560,hawks,insectivore,The Birder's Handbook,
4570,hawks,insectivore,The Birder's Handbook,
4580,hawks,insectivore,The Birder's Handbook,
4590,hawks,insectivore,The Birder's Handbook,
4600,hawks,insectivore,The Birder's Handbook,
4610,hawks,insectivore,The Birder's Handbook,
4620,hawks,insectivore,The Birder's Handbook,
4630,hawks,insectivore,The Birder's Handbook,
4640,hawks,insectivore,The Birder's Handbook,
4641,hawks,insectivore,The Birder's Handbook,
4642,hawks,insectivore,The Birder's Handbook,
4650,hawks,insectivore,The Birder's Handbook,
4660,hawks,insectivore,The Birder's Handbook,
4661,hawks,insectivore,The Birder's Handbook,
4665,hawks,insectivore,The Birder's Handbook,
4670,hover/glean,insectivore,The Birder's Handbook,
4680,hawks,insectivore,The Birder's Handbook,
4690,hawks,insectivore,The Birder's Handbook,
4691,hawks,insectivore,The Birder's Handbook,
4700,hawks,insectivore,The Birder's Handbook,
4710,hawks,insectivore,The Birder's Handbook,
4720,hawks,insectivore,The Birder's Handbook,
4740,ground glean,granivore,The Birder's Handbook,
4750,ground glean,omnivore,The Birder's Handbook,
4760,ground glean,omnivore,The Birder's Handbook,
4770,ground glean,omnivore,The Birder's Handbook,
4780,ground glean,omnivore,The Birder's Handbook,
4790,ground glean,omnivore,The Birder's Handbook,
4810,ground glean,omnivore,The Birder's Handbook,
4811,ground glean,omnivore,The Birder's Handbook,
4820,ground glean,omnivore,The Birder's Handbook,
4830,foliage glean,omnivore,The Birder's Handbook,
4840,ground glean,omnivore,The Birder's Handbook,
4860,ground glean,omnivore,The Birder's Handbook,
4870,ground glean,omnivore,The Birder's Handbook,
4880,ground glean,omnivore,The Birder's Handbook,
4890,ground glean,omnivore,The Birder's Handbook,
4900,ground glean,omnivore,The Birder's Handbook,
4910,foliage glean,omnivore,The Birder's Handbook,
4920,ground glean,omnivore,The Birder's Handbook,
4930,ground glean,insectivore,The Birder's Handbook,
4932,ground glean,omnivore,The Birder's Handbook,
4940,ground glean,insct/om,The Birder's Handbook,
4950,ground glean,insectivore,The Birder's Handbook,
4960,ground glean,insectivore,The Birder's Handbook,
4961,ground glean,insectivore,The Birder's Handbook,
4970,ground glean,insectivore,The Birder's Handbook,
4980,ground glean,insectivore,The Birder's Handbook,
5000,ground glean,insectivore,The Birder's Handbook,
5010,ground glean,insct/om,The Birder's Handbook,
5011,ground glean,insct/om,The Birder's Handbook,
5030,foliage glean,insct/om,The Birder's Handbook,
5031,foliage glean,insct/om,The Birder's Handbook,
5032,foliage glean,frugivore,The Birder's Handbook,
5040,foliage glean,insct/om,The Birder's Handbook,
5050,foliage glean,insct/om,The Birder's Handbook,
5060,foliage glean,insct/om,The Birder's Handbook,
5070,foliage glean,insectivore,The Birder's Handbook,
5080,foliage glean,insectivore,The Birder's Handbook,
5090,ground glean,insectivore,The Birder's Handbook,
5100,ground glean,insectivore,The Birder's Handbook,
5110,ground glean,omnivore,The Birder's Handbook,
5120,ground glean,omnivore,The Birder's Handbook,
5130,ground glean,omnivore,The Birder's Handbook,
5140,ground glean,insct/om,The Birder's Handbook,
5150,foliage glean,granivore,The Birder's Handbook,
5170,ground glean,granivore,The Birder's Handbook,
5180,ground glean,granivore,The Birder's Handbook,
5190,ground glean,granivore,The Birder's Handbook,
5210,foliage glean,granivore,The Birder's Handbook,
5220,foliage glean,granivore,The Birder's Handbook,
5240,ground glean,granivore,The Birder's Handbook,
5250,ground glean,granivore,The Birder's Handbook,
5280,foliage glean,granivore,The Birder's Handbook,
5290,foliage glean,granivore,The Birder's Handbook,
5300,foliage glean,granivore,The Birder's Handbook,
5310,foliage glean,granivore,The Birder's Handbook,
5330,foliage glean,granivore,The Birder's Handbook,
5380,ground glean,insct/om,The Birder's Handbook,
5390,ground glean,insct/om,The Birder's Handbook,
5400,ground glean,insct/om,The Birder's Handbook,
5420,ground glean,insct/om,The Birder's Handbook,
5450,ground glean,insct/om,The Birder's Handbook,
5460,ground glean,insct/om,The Birder's Handbook,
