AOU,Genus,Species,CommonName,Mass(g),added by AHH,Water Bird,Unknown,Notes
10,Aechmophorus,occidentalis,Western Grebe,1477,0,1,0,
20,Podiceps,grisegena,Red-necked Grebe,1023,0,1,0,
30,Podiceps,auritus,Horned Grebe,453,0,1,0,
40,Podiceps,nigricollis,Eared Grebe,292,0,1,0,
50,Tachybaptus,dominicus,Least Grebe,129,0,1,0,
60,Podilymbus,podiceps,Pied-billed Grebe,442,0,1,0,
70,Gavia,immer,Common Loon,4134,0,1,0,
80,Gavia,adamsii,Yellow-billed Loon,5500,0,1,0,
90,Gavia,arctica,Arctic Loon,1679,0,1,0,
100,Gavia,pacifica,Pacific Loon,1659,0,1,0,
110,Gavia,stellata,Red-throated Loon,1551,0,1,0,
120,Fratercula,cirrhata,Tufted Puffin,779,0,1,0,
130,Fratercula,arctica,Atlantic Puffin,381,0,1,0,
140,Fratercula,corniculata,Horned Puffin,619,0,1,0,
150,Cerorhinca,monocerata,Rhinoceros Auklet,520,0,1,0,
160,Ptychoramphus,aleuticus,Cassin's Auklet,188,0,1,0,
180,Aethia,cristatella,Crested Auklet,264,0,1,0,
190,Aethia,pygmaea,Whiskered Auklet,121,0,1,0,
200,Aethia,pusilla,Least Auklet,84,0,1,0,
210,Synthliboramphus,antiquus,Ancient Murrelet,206,0,1,0,
230,Brachyramphus,marmoratus,Marbled Murrelet,222,0,1,0,
240,Brachyramphus,brevirostris,Kittlitz's Murrelet,224,0,1,0,
250,Synthliboramphus,hypoleucus,Xantus's Murrelet,167,0,1,0,
260,Synthliboramphus,craveri,Craveri's Murrelet,151,0,1,0,
270,Cepphus,grylle,Black Guillemot,405,0,1,0,
290,Cepphus,columba,Pigeon Guillemot,487,0,1,0,
300,Uria,aalge,Common Murre,1003.5,0,1,0,
310,Uria,lomvia,Thick-billed Murre,964,0,1,0,
320,Alca,torda,Razorbill,719,0,1,0,
340,Alle,alle,Dovekie,163,0,1,0,
360,Stercorarius,pomarinus,Pomarine Jaeger,697.25,0,1,0,
370,Stercorarius,parasiticus,Parasitic Jaeger,458,0,1,0,
380,Stercorarius,longicaudus,Long-tailed Jaeger,294,0,1,0,
390,Pagophila,eburnea,Ivory Gull,616,0,1,0,
400,Rissa,tridactyla,Black-legged Kittiwake,418,0,1,0,
410,Rissa,brevirostris,Red-legged Kittiwake,412.5,0,1,0,
420,Larus,hyperboreus,Glaucous Gull,1413,0,1,0,
430,Larus,glaucoides,Iceland Gull,710,0,1,0,
431,Larus,thayeri,Thayer's Gull,1003,0,1,0,
440,Larus,glaucescens,Glaucous-winged Gull,1010,0,1,0,
470,Larus,marinus,Great Black-backed Gull,1694,0,1,0,
480,Larus,schistisagus,Slaty-backed Gull,1327,0,1,0,
490,Larus,occidentalis,Western Gull,1011,0,1,0,
491,Larus,livens,Yellow-footed Gull,1322,0,1,0,
500,Larus,fuscus,Lesser Black-backed Gull,776.13,0,1,0,
510,Larus,argentatus,Herring Gull,1138.5,0,1,0,
530,Larus,californicus,California Gull,699.25,0,1,0,
540,Larus,delawarensis,Ring-billed Gull,566,0,1,0,
541,Larus,crassirostris,Black-tailed Gull,529.25,0,1,0,
550,Larus,canus,Mew Gull,435.5,0,1,0,
551,Larus,ridibundus,Black-headed Gull,284,0,1,0,
570,Larus,heermanni,Heermann's Gull,500,0,1,0,
580,Larus,atricilla,Laughing Gull,325,0,1,0,
590,Larus,pipixcan,Franklin's Gull,280,0,1,0,
600,Larus,philadelphia,Bonaparte's Gull,212,0,1,0,
601,Larus,minutus,Little Gull,118,0,1,0,
610,Rhodostethia,rosea,Ross's Gull,187,0,1,0,
630,Sterna,nilotica,Gull-billed Tern,201.5,0,1,0,
640,Sterna,caspia,Caspian Tern,655,0,1,0,
650,Sterna,maxima,Royal Tern,418.5,0,1,0,
660,Sterna,elegans,Elegant Tern,257,0,1,0,
670,Sterna,sandvicensis,Sandwich Tern,208,0,1,0,
690,Sterna,forsteri,Forster's Tern,158,0,1,0,
700,Sterna,hirundo,Common Tern,120,0,1,0,
710,Sterna,paradisaea,Arctic Tern,110,0,1,0,
720,Sterna,dougallii,Roseate Tern,110,0,1,0,
730,Sterna,aleutica,Aleutian Tern,120,0,1,0,
740,Sterna,antillarum,Least Tern,43,0,1,0,
741,Sterna,albifrons,Little Tern,57,0,1,0,
750,Sterna,fuscata,Sooty Tern,180,0,1,0,
760,Sterna,anaethetus,Bridled Tern,96,0,1,0,
761,Sterna,lunata,Gray-backed Tern,146,0,1,0,
770,Chlidonias,niger,Black Tern,65,0,1,0,
790,Anous,stolidus,Brown Noddy,198,0,1,0,
791,Anous,minutus,Black Noddy,119,0,1,0,
792,Procelsterna,cerulea,Blue-gray Noddy,53,0,1,0,
793,Gygis,alba,White Tern,111,0,1,0,
800,Rynchops,niger,Black Skimmer,300.5,0,1,0,
811,Diomedea,exulans,Wandering Albatross,7675,0,1,0,
860,Fulmarus,glacialis,Northern Fulmar,548.75,0,1,0,
880,Calonectris,diomedea,Cory's Shearwater,535,0,1,0,
890,Puffinus,gravis,Greater Shearwater,849,0,1,0,
900,Puffinus,puffinus,Manx Shearwater,453,0,1,0,
910,Puffinus,creatopus,Pink-footed Shearwater,721,0,1,0,
920,Puffinus,lherminieri,Audubon's Shearwater,168,0,1,0,
921,Puffinus,assimilis,Little Shearwater,226,0,1,0,
930,Puffinus,opisthomelas,Black-vented Shearwater,276,0,1,0,
931,Puffinus,auricularis,Townsend's Shearwater,323,0,1,0,
950,Puffinus,griseus,Sooty Shearwater,787,0,1,0,
951,Puffinus,carneipes,Flesh-footed Shearwater,568,0,1,0,
960,Puffinus,tenuirostris,Short-tailed Shearwater,543,0,1,0,
961,Puffinus,pacificus,Wedge-tailed Shearwater,388,0,1,0,
962,Puffinus,bulleri,Buller's Shearwater,380,0,1,0,
963,Puffinus,nativitatis,Christmas Shearwater,356,0,1,0,
980,Pterodroma,hasitata,Black-capped Petrel,278,0,1,0,
983,Pterodroma,cookii,Cook's Petrel,179.5,0,1,0,
986,Pterodroma,arminjoniana,Herald Petrel,161,0,1,0,
990,Pterodroma,inexpectata,Mottled Petrel,316,0,1,0,
991,Pterodroma,hypoleuca,Bonin Petrel,176,0,1,0,
1001,Pterodroma,ultima,Murphy's Petrel,360,0,1,0,
1010,Bulweria,bulwerii,Bulwer's Petrel,99,0,1,0,
1030,Oceanodroma,microsoma,Least Storm-Petrel,21,0,1,0,
1040,Hydrobates,pelagicus,European Storm-Petrel,25,0,1,0,
1050,Oceanodroma,furcata,#NAME?,55,0,1,0,
1060,Oceanodroma,leucorhoa,Leach's Storm-Petrel,35.67,0,1,0,
1062,Oceanodroma,castro,#NAME?,42,0,1,0,
1063,Oceanodroma,tethys,Wedge-rumped Storm-Petrel,24,0,1,0,
1070,Oceanodroma,melania,Black Storm-Petrel,59,0,1,0,
1071,Oceanodroma,tristrami,Tristram's Storm-Petrel,84,0,1,0,
1080,Oceanodroma,homochroa,Ashy Storm-Petrel,37,0,1,0,
1090,Oceanites,oceanicus,Wilson's Storm-Petrel,32,0,1,0,
1110,Pelagodroma,marina,#NAME?,47,0,1,0,
1120,Phaethon,lepturus,White-tailed Tropicbird,334,0,1,0,
1130,Phaethon,aethereus,Red-billed Tropicbird,750,0,1,0,
1131,Phaethon,rubricauda,Red-tailed Tropicbird,624,0,1,0,
1140,Sula,dactylatra,Masked Booby,1717.38,0,1,0,
1141,Sula,nebouxii,Blue-footed Booby,1561.5,0,1,0,
1150,Sula,leucogaster,Brown Booby,1093,0,1,0,
1160,Sula,sula,Red-footed Booby,984,0,1,0,
1170,Morus,bassanus,Northern Gannet,3011,0,1,0,
1180,Anhinga,anhinga,Anhinga,1235,0,1,0,
1190,Phalacrocorax,carbo,Great Cormorant,2103.25,0,1,0,
1200,Phalacrocorax,auritus,Double-crested Cormorant,1808,0,1,0,
1210,Phalacrocorax,brasilianus,Neotropic Cormorant,1260,0,1,0,
1220,Phalacrocorax,penicillatus,Brandt's Cormorant,2103,0,1,0,
