"","sp","co","spArea","coArea","area_overlap"
"225","Parkesia_noveboracensis","Parkesia_motacilla","7678079.69445039","2411617.91812905","375914.098850258"
"226","Parkesia_noveboracensis","Seiurus_aurocapilla","7678079.69445039","5560914.94524942","3152688.47154507"
"227","Parkesia_noveboracensis","Dendroica_palmarum","7678079.69445039","3388741.73074759","3262094.1910598"
"228","Parkesia_noveboracensis","Limnothlypis_swainsonii","7678079.69445039","1142684.10592155","12070.8874520954"
"229","Empidonax_wrightii","Empidonax_occidentalis","1149345.24522812","2351031.85131628","737290.286127617"
"230","Empidonax_wrightii","Empidonax_oberholseri","1149345.24522812","2740104.09879875","1010310.10826267"
"231","Empidonax_hammondii","Empidonax_occidentalis","2767705.80079329","2351031.85131628","1153808.07232971"
"232","Empidonax_hammondii","Empidonax_oberholseri","2767705.80079329","2740104.09879875","1835101.94946504"
"233","Toxostoma_bendirei","Toxostoma_crissale","822803.582861889","1010670.17315358","357149.596741544"
"234","Toxostoma_bendirei","Mimus_polyglottos","822803.582861889","10150915.5226004","822803.147216865"
"235","Empidonax_virescens","Contopus_virens","3006589.71273658","4084896.92727598","2804468.36454771"
"236","Melospiza_lincolnii","Passerella_iliaca","7630598.85274487","7594105.57569293","5200838.9683777"
"237","Melospiza_lincolnii","Zonotrichia_atricapilla","7630598.85274487","1987991.98421269","1456754.37292368"
"238","Melospiza_lincolnii","Melospiza_georgiana","7630598.85274487","6095604.66530065","4195332.92623937"
"239","Melospiza_lincolnii","Zonotrichia_leucophrys","7630598.85274487","7442753.5511471","4470366.02874861"
"240","Zonotrichia_leucophrys","Passerella_iliaca","7442753.5511471","7594105.57569293","5622411.01173485"
"241","Zonotrichia_leucophrys","Zonotrichia_atricapilla","7442753.5511471","1987991.98421269","1785618.42021241"
"242","Zonotrichia_leucophrys","Melospiza_lincolnii","7442753.5511471","7630598.85274487","4470366.02874863"
"243","Regulus_calendula","Regulus_satrapa","9337751.4341333","6385444.49983444","5304926.22127103"
"244","Dendroica_nigrescens","Dendroica_graciae","1798857.25760911","1123772.00425037","522813.325947443"
"245","Dendroica_nigrescens","Vermivora_luciae","1798857.25760911","391355.086474992","192403.298066453"
"246","Dendroica_nigrescens","Myioborus_pictus","1798857.25760911","1126013.68371578","225272.590215877"
"247","Dendroica_nigrescens","Dendroica_petechia","1798857.25760911","15523411.5295266","1624709.95314306"
"248","Cardellina_rubrifrons","Dendroica_graciae","393332.995143169","1123772.00425037","243571.536989763"
"249","Cardellina_rubrifrons","Vermivora_luciae","393332.995143169","391355.086474992","106065.966671407"
"250","Cardellina_rubrifrons","Myioborus_pictus","393332.995143169","1126013.68371578","364273.511184393"
"251","Ammodramus_bairdii","Ammodramus_savannarum","830086.931430825","5217422.3634511","672257.043092643"
"252","Ammodramus_bairdii","Chondestes_grammacus","830086.931430825","5633306.05649123","552734.61494716"
"253","Empidonax_occidentalis","Empidonax_wrightii","2351031.85131628","1149345.24522812","737290.286127616"
"254","Empidonax_occidentalis","Empidonax_hammondii","2351031.85131628","2767705.80079329","1153808.07232972"
"255","Empidonax_oberholseri","Empidonax_wrightii","2740104.09879875","1149345.24522812","1010310.10826267"
"256","Empidonax_oberholseri","Empidonax_hammondii","2740104.09879875","2767705.80079329","1835101.94946504"
"257","Nucifraga_columbiana","Perisoreus_canadensis","2288046.02130045","7552266.38251055","834739.951228944"
"258","Cyanocitta_stelleri","Perisoreus_canadensis","3528926.1325185","7552266.38251055","1099630.65704884"
"259","Cyanocitta_stelleri","Aphelocoma_californica","3528926.1325185","2324656.99491562","1423015.39006738"
"260","Bonasa_umbellus","Perdix_perdix","8125106.16244731","12802476.9529709","1551004.0006337"
"261","Bonasa_umbellus","Falcipennis_canadensis","8125106.16244731","6182333.73163864","4294097.59347047"
"262","Pipilo_maculatus","Pipilo_chlorurus","3662633.88628235","1742818.0859202","1558429.8253636"
"263","Catharus_ustulatus","Catharus_guttatus","7752561.34983554","8804194.27508537","6314220.400638"
"264","Sialia_mexicana","Catharus_guttatus","1882061.58973036","8804194.27508537","1180403.12273473"
"265","Myadestes_townsendi","Catharus_guttatus","3903523.40516895","8804194.27508537","3329031.9809146"
"266","Myadestes_townsendi","Sialia_currucoides","3903523.40516895","4454444.27512079","2843189.33236432"
"267","Carpodacus_cassinii","Carpodacus_mexicanus","1507191.6708933","7559356.09992723","1022461.88808521"
"268","Troglodytes_troglodytes","Troglodytes_aedon","21983500.0403842","25719848.0149152","2123012.38417734"
"269","Troglodytes_troglodytes","Cistothorus_palustris","21983500.0403842","5115048.10586537","1811789.84511827"
"270","Troglodytes_troglodytes","Cistothorus_platensis","21983500.0403842","6659425.84947763","862798.69433946"
"271","Cistothorus_platensis","Troglodytes_aedon","6659425.84947763","25719848.0149152","6501466.75914409"
"272","Cistothorus_platensis","Troglodytes_troglodytes","6659425.84947763","21983500.0403842","862798.694339459"
"273","Thryomanes_bewickii","Troglodytes_aedon","3287758.30180143","25719848.0149152","1650819.67589374"
"274","Thryomanes_bewickii","Salpinctes_obsoletus","3287758.30180143","5440177.15518729","2571750.45867227"
"275","Vireo_cassinii","Vireo_huttoni","1036899.59231062","1214666.12199834","280305.350183443"
"276","Vireo_cassinii","Vireo_gilvus","1036899.59231062","8830552.48599001","574642.146516532"
"277","Parus_gambeli","Baeolophus_ridgwayi","2947885.72954464","1061182.0921838","977382.865767447"
"278","Limnothlypis_swainsonii","Oporornis_formosus","1142684.10592155","1970059.23328642","1014747.41019039"
"279","Limnothlypis_swainsonii","Parkesia_motacilla","1142684.10592155","2411617.91812905","913859.881131032"
"280","Limnothlypis_swainsonii","Parkesia_noveboracensis","1142684.10592155","7678079.69445039","12070.8874520954"
"281","Limnothlypis_swainsonii","Seiurus_aurocapilla","1142684.10592155","5560914.94524942","347535.180769329"
