SubsetSppID,AOU,CommonName,Competitor
120,7030,Northern Mockingbird,Loggerhead Shrike
120,7030,Northern Mockingbird,Bendire's Thrasher
120,7030,Northern Mockingbird,California Thrasher
121,7080,Bendire's Thrasher,Crissal Thrasher
121,7080,Bendire's Thrasher,Northern Mockingbird
122,7100,California Thrasher,Northern Mockingbird
123,7150,Rock Wren,Bewick's Wren
123,7150,Rock Wren,House Wren
124,7190,Bewick's Wren,Rock Wren
124,7190,Bewick's Wren,House Wren
125,7220,Winter Wren,House Wren
125,7220,Winter Wren,Marsh Wren
125,7220,Winter Wren,Sedge Wren
126,7240,Sedge Wren,Winter Wren
126,7240,Sedge Wren,House Wren
127,7260,Brown Creeper,Red-breasted Nuthatch
127,7260,Brown Creeper,White-breasted Nuthatch
128,7280,Red-breasted Nuthatch,Brown Creeper
128,7280,Red-breasted Nuthatch,White-breasted Nuthatch
129,7331,Juniper Titmouse,Mountain Chickadee
130,7380,Mountain Chickadee,Juniper Titmouse
131,7400,Boreal Chickadee,Black-capped Chickadee
132,7410,Chestnut-backed Chickadee,Oak Titmouse
132,7410,Chestnut-backed Chickadee,Bushtit
133,7420,Wrentit,Oak Titmouse
133,7420,Wrentit,Bushtit
134,7430,Bushtit,Chestnut-backed Chickadee
134,7430,Bushtit,Oak Titmouse
134,7430,Bushtit,Bushtit
135,7480,Golden-crowned Kinglet,Ruby-crowned Kinglet
136,7490,Ruby-crowned Kinglet,Golden-crowned Kinglet
137,7520,Black-tailed Gnatcatcher,Blue-gray Gnatcatcher
138,7540,Townsend's Solitaire,Mountain Bluebird
138,7540,Townsend's Solitaire,Hermit Thrush
139,7580,Swainson's Thrush,Hermit Thrush
140,7590,Hermit Thrush,Townsend's Solitaire
140,7590,Hermit Thrush,Swainson's Thrush
141,7630,Varied Thrush,Gray-cheeked Thrush
141,7630,Varied Thrush,Swainson's Thrush
141,7630,Varied Thrush,Hermit Thrush
142,7670,Western Bluebird,Hermit Thrush
142,7670,Western Bluebird,American Robin
143,7680,Mountain Bluebird,Townsend's Solitaire
143,7680,Mountain Bluebird,American Robin
1,6360,Black-and-white Warbler,Prothonotary Warbler
1,6360,Black-and-white Warbler,Yellow-throated Warbler
1,6360,Black-and-white Warbler,Pine Warbler
2,6370,Prothonotary Warbler,Yellow-throated Warbler
2,6370,Prothonotary Warbler,Black-and-white Warbler
2,6370,Prothonotary Warbler,Pine Warbler
17,6630,Yellow-throated Warbler,Black-and-white Warbler
17,6630,Yellow-throated Warbler,Prothonotary Warbler
17,6630,Yellow-throated Warbler,Pine Warbler
4,6390,Worm-eating Warbler,Blue-winged Warbler
4,6390,Worm-eating Warbler,Pine Warbler
4,6390,Worm-eating Warbler,Northern Parula
4,6390,Worm-eating Warbler,Prairie Warbler
4,6390,Worm-eating Warbler,Yellow Warbler
4,6390,Worm-eating Warbler,Common Yellowthroat
4,6390,Worm-eating Warbler,Yellow-breasted Chat
4,6390,Worm-eating Warbler,Hooded Warbler
5,6410,Blue-winged Warbler,Worm-eating Warbler
5,6410,Blue-winged Warbler,Pine Warbler
5,6410,Blue-winged Warbler,Northern Parula
5,6410,Blue-winged Warbler,Prairie Warbler
5,6410,Blue-winged Warbler,Yellow Warbler
5,6410,Blue-winged Warbler,Common Yellowthroat
5,6410,Blue-winged Warbler,Yellow-breasted Chat
5,6410,Blue-winged Warbler,Hooded Warbler
6,6430,Lucy's Warbler,Yellow Warbler
6,6430,Lucy's Warbler,Painted Redstart
6,6430,Lucy's Warbler,Grace's Warbler
6,6430,Lucy's Warbler,Black-throated Gray Warbler
6,6430,Lucy's Warbler,Yellow-breasted Chat
6,6430,Lucy's Warbler,Red-faced Warbler
8,6450,Nashville Warbler,Orange-crowned Warbler
8,6450,Nashville Warbler,Tennessee Warbler
8,6450,Nashville Warbler,Cape May Warbler
8,6450,Nashville Warbler,Bay-breasted Warbler
8,6450,Nashville Warbler,Blackpoll Warbler
8,6450,Nashville Warbler,Blackburnian Warbler
8,6450,Nashville Warbler,Common Yellowthroat
8,6450,Nashville Warbler,Yellow Warbler
8,6450,Nashville Warbler,Yellow-rumped Warbler
8,6450,Nashville Warbler,Chestnut-sided Warbler
8,6450,Nashville Warbler,Wilson's Warbler
8,6450,Nashville Warbler,Black-throated Green Warbler
8,6450,Nashville Warbler,Townsend's Warbler
8,6450,Nashville Warbler,Mourning Warbler
9,6460,Orange-crowned Warbler,Virginia's Warbler
9,6460,Orange-crowned Warbler,Tennessee Warbler
9,6460,Orange-crowned Warbler,Cape May Warbler
9,6460,Orange-crowned Warbler,Bay-breasted Warbler
9,6460,Orange-crowned Warbler,Blackpoll Warbler
9,6460,Orange-crowned Warbler,Blackburnian Warbler
9,6460,Orange-crowned Warbler,Common Yellowthroat
9,6460,Orange-crowned Warbler,Yellow Warbler
9,6460,Orange-crowned Warbler,Yellow-rumped Warbler
9,6460,Orange-crowned Warbler,Chestnut-sided Warbler
9,6460,Orange-crowned Warbler,Wilson's Warbler
9,6460,Orange-crowned Warbler,Black-throated Green Warbler
9,6460,Orange-crowned Warbler,Townsend's Warbler
9,6460,Orange-crowned Warbler,Mourning Warbler
10,6470,Tennessee Warbler,Orange-crowned Warbler
10,6470,Tennessee Warbler,Nashville Warbler
10,6470,Tennessee Warbler,Cape May Warbler
10,6470,Tennessee Warbler,Bay-breasted Warbler
10,6470,Tennessee Warbler,Blackpoll Warbler
10,6470,Tennessee Warbler,Blackburnian Warbler
10,6470,Tennessee Warbler,Common Yellowthroat
10,6470,Tennessee Warbler,Yellow Warbler
10,6470,Tennessee Warbler,Yellow-rumped Warbler
10,6470,Tennessee Warbler,Chestnut-sided Warbler
10,6470,Tennessee Warbler,Wilson's Warbler
10,6470,Tennessee Warbler,Black-throated Green Warbler
10,6470,Tennessee Warbler,Townsend's Warbler
10,6470,Tennessee Warbler,Mourning Warbler
11,6500,Cape May Warbler,Tennessee Warbler
11,6500,Cape May Warbler,Orange-crowned Warbler
11,6500,Cape May Warbler,Nashville Warbler
11,6500,Cape May Warbler,Bay-breasted Warbler
11,6500,Cape May Warbler,Blackpoll Warbler
11,6500,Cape May Warbler,Blackburnian Warbler
11,6500,Cape May Warbler,Common Yellowthroat
11,6500,Cape May Warbler,Yellow Warbler
11,6500,Cape May Warbler,Yellow-rumped Warbler
11,6500,Cape May Warbler,Chestnut-sided Warbler
11,6500,Cape May Warbler,Wilson's Warbler
11,6500,Cape May Warbler,Black-throated Green Warbler
11,6500,Cape May Warbler,Townsend's Warbler
11,6500,Cape May Warbler,Mourning Warbler
14,6600,Bay-breasted Warbler,Tennessee Warbler
14,6600,Bay-breasted Warbler,Orange-crowned Warbler
14,6600,Bay-breasted Warbler,Nashville Warbler
14,6600,Bay-breasted Warbler,Cape May Warbler
14,6600,Bay-breasted Warbler,Blackpoll Warbler
14,6600,Bay-breasted Warbler,Blackburnian Warbler
14,6600,Bay-breasted Warbler,Common Yellowthroat
14,6600,Bay-breasted Warbler,Yellow Warbler
14,6600,Bay-breasted Warbler,Yellow-rumped Warbler
14,6600,Bay-breasted Warbler,Chestnut-sided Warbler
14,6600,Bay-breasted Warbler,Wilson's Warbler
14,6600,Bay-breasted Warbler,Black-throated Green Warbler
14,6600,Bay-breasted Warbler,Townsend's Warbler
14,6600,Bay-breasted Warbler,Mourning Warbler
15,6610,Blackpoll Warbler,Bay-breasted Warbler
15,6610,Blackpoll Warbler,Tennessee Warbler
15,6610,Blackpoll Warbler,Orange-crowned Warbler
15,6610,Blackpoll Warbler,Nashville Warbler
15,6610,Blackpoll Warbler,Cape May Warbler
15,6610,Blackpoll Warbler,Blackburnian Warbler
15,6610,Blackpoll Warbler,Common Yellowthroat
15,6610,Blackpoll Warbler,Yellow Warbler
15,6610,Blackpoll Warbler,Yellow-rumped Warbler
15,6610,Blackpoll Warbler,Chestnut-sided Warbler
15,6610,Blackpoll Warbler,Wilson's Warbler
15,6610,Blackpoll Warbler,Black-throated Green Warbler
15,6610,Blackpoll Warbler,Townsend's Warbler
15,6610,Blackpoll Warbler,Mourning Warbler
16,6620,Blackburnian Warbler,Blackpoll Warbler
16,6620,Blackburnian Warbler,Bay-breasted Warbler
16,6620,Blackburnian Warbler,Tennessee Warbler
16,6620,Blackburnian Warbler,Orange-crowned Warbler
16,6620,Blackburnian Warbler,Nashville Warbler
16,6620,Blackburnian Warbler,Cape May Warbler
16,6620,Blackburnian Warbler,Common Yellowthroat
16,6620,Blackburnian Warbler,Yellow Warbler
16,6620,Blackburnian Warbler,Yellow-rumped Warbler
16,6620,Blackburnian Warbler,Chestnut-sided Warbler
16,6620,Blackburnian Warbler,Wilson's Warbler
16,6620,Blackburnian Warbler,Black-throated Green Warbler
16,6620,Blackburnian Warbler,Townsend's Warbler
16,6620,Blackburnian Warbler,Mourning Warbler
18,6650,Black-throated Gray Warbler,Lucy's Warbler
18,6650,Black-throated Gray Warbler,Yellow Warbler
18,6650,Black-throated Gray Warbler,Painted Redstart
18,6650,Black-throated Gray Warbler,Grace's Warbler
18,6650,Black-throated Gray Warbler,Black-throated Gray Warbler
18,6650,Black-throated Gray Warbler,Yellow-breasted Chat
19,6690,Hermit Warbler,Yellow-breasted Chat
19,6690,Hermit Warbler,Black-throated Gray Warbler
19,6690,Hermit Warbler,Townsend's Warbler
19,6690,Hermit Warbler,Common Yellowthroat
19,6690,Hermit Warbler,Yellow Warbler
19,6690,Hermit Warbler,Yellow-rumped Warbler
19,6690,Hermit Warbler,MacGillivray's Warbler
25,6790,Mourning Warbler,Blackburnian Warbler
25,6790,Mourning Warbler,Blackpoll Warbler
25,6790,Mourning Warbler,Bay-breasted Warbler
25,6790,Mourning Warbler,Tennessee Warbler
25,6790,Mourning Warbler,Orange-crowned Warbler
25,6790,Mourning Warbler,Nashville Warbler
25,6790,Mourning Warbler,Cape May Warbler
25,6790,Mourning Warbler,Common Yellowthroat
25,6790,Mourning Warbler,Yellow Warbler
25,6790,Mourning Warbler,Yellow-rumped Warbler
25,6790,Mourning Warbler,Chestnut-sided Warbler
25,6790,Mourning Warbler,Wilson's Warbler
25,6790,Mourning Warbler,Black-throated Green Warbler
25,6790,Mourning Warbler,Townsend's Warbler
26,6800,MacGillivray's Warbler,Hermit Warbler
26,6800,MacGillivray's Warbler,Yellow-breasted Chat
26,6800,MacGillivray's Warbler,Black-throated Gray Warbler
26,6800,MacGillivray's Warbler,Townsend's Warbler
26,6800,MacGillivray's Warbler,Common Yellowthroat
26,6800,MacGillivray's Warbler,Yellow Warbler
26,6800,MacGillivray's Warbler,Yellow-rumped Warbler
27,6830,Yellow-breasted Chat,Hooded Warbler
27,6830,Yellow-breasted Chat,Worm-eating Warbler
27,6830,Yellow-breasted Chat,Blue-winged Warbler
27,6830,Yellow-breasted Chat,Lucy's Warbler
27,6830,Yellow-breasted Chat,Black-throated Gray Warbler
27,6830,Yellow-breasted Chat,Hermit Warbler
27,6830,Yellow-breasted Chat,MacGillivray's Warbler
28,6840,Hooded Warbler,Yellow-breasted Chat
28,6840,Hooded Warbler,Prairie Warbler
28,6840,Hooded Warbler,Common Yellowthroat
31,6900,Red-faced Warbler,Lucy's Warbler
31,6900,Red-faced Warbler,Painted Redstart
31,6900,Red-faced Warbler,Grace's Warbler
3,6380,Swainson's Warbler,Palm Warbler
3,6380,Swainson's Warbler,Northern Waterthrush
3,6380,Swainson's Warbler,Louisiana Waterthrush
3,6380,Swainson's Warbler,Kentucky Warbler
3,6380,Swainson's Warbler,Connecticut Warbler
3,6380,Swainson's Warbler,Ovenbird
7,6440,Virginia's Warbler,Orange-crowned Warbler
20,6720,Palm Warbler,Northern Waterthrush
20,6720,Palm Warbler,Louisiana Waterthrush
20,6720,Palm Warbler,Kentucky Warbler
20,6720,Palm Warbler,Connecticut Warbler
20,6720,Palm Warbler,Swainson's Warbler
20,6720,Palm Warbler,Ovenbird
21,6750,Northern Waterthrush,Swainson's Warbler
21,6750,Northern Waterthrush,Palm Warbler
21,6750,Northern Waterthrush,Louisiana Waterthrush
21,6750,Northern Waterthrush,Kentucky Warbler
21,6750,Northern Waterthrush,Connecticut Warbler
21,6750,Northern Waterthrush,Ovenbird
22,6760,Louisiana Waterthrush,Swainson's Warbler
22,6760,Louisiana Waterthrush,Palm Warbler
22,6760,Louisiana Waterthrush,Northern Waterthrush
22,6760,Louisiana Waterthrush,Kentucky Warbler
22,6760,Louisiana Waterthrush,Connecticut Warbler
22,6760,Louisiana Waterthrush,Ovenbird
23,6770,Kentucky Warbler,Swainson's Warbler
23,6770,Kentucky Warbler,Palm Warbler
23,6770,Kentucky Warbler,Louisiana Waterthrush
23,6770,Kentucky Warbler,Northern Waterthrush
23,6770,Kentucky Warbler,Connecticut Warbler
23,6770,Kentucky Warbler,Ovenbird
24,6780,Connecticut Warbler,Swainson's Warbler
24,6780,Connecticut Warbler,Palm Warbler
24,6780,Connecticut Warbler,Northern Waterthrush
24,6780,Connecticut Warbler,Louisiana Waterthrush
24,6780,Connecticut Warbler,Kentucky Warbler
24,6780,Connecticut Warbler,Ovenbird
12,6540,Black-throated Blue Warbler,Magnolia Warbler
12,6540,Black-throated Blue Warbler,Canada Warbler
12,6540,Black-throated Blue Warbler,American Redstart
13,6570,Magnolia Warbler,Black-throated Blue Warbler
13,6570,Magnolia Warbler,Canada Warbler
13,6570,Magnolia Warbler,American Redstart
29,6860,Canada Warbler,Black-throated Blue Warbler
29,6860,Canada Warbler,Magnolia Warbler
29,6860,Canada Warbler,American Redstart
30,6870,American Redstart,Black-throated Blue Warbler
30,6870,American Redstart,Magnolia Warbler
30,6870,American Redstart,Canada Warbler
