"datasetID","site","spRich","nTime"
208,"1_1",21,25
208,"1_2",19,25
208,"1_3",21,25
208,"1_4",21,25
208,"1_5",20,25
208,"2_1",20,25
208,"2_2",19,25
208,"2_3",19,25
208,"2_4",20,25
208,"2_5",20,25
208,"3_1",19,25
208,"3_2",19,25
208,"3_3",20,25
208,"3_4",21,25
208,"3_5",20,25
208,"4_1",19,25
208,"4_2",18,25
208,"4_3",19,25
208,"4_4",20,25
208,"4_5",18,25
208,"5_1",18,25
208,"5_2",20,25
208,"5_3",19,25
208,"5_4",20,25
208,"5_5",20,25
208,"6_1",18,25
208,"6_2",20,25
208,"6_3",19,25
208,"6_4",20,25
208,"6_5",20,25
