,Species,Temp.Est,Temp.P,Temp.R2,Elev.Est,Elev.P,Elev.R2,Precip.Est,Precip.P,Precip.R2,EVI.Est,EVI.P,EVI.R2,Euc.dist.Est,Euc.dist.P,Euc.dist.R2,Multi.Est,Multi.P,Multi.R2,Common.Name,Code
1,2890,-0.122130271,0.001699184,0.035243703,-0.043257257,0.150324361,0.007508827,0.022376825,0.524218197,0.001476452,-0.063280446,0.05930286,0.012873654,-0.034414532,0.041512147,0.015022516,-0.033300276,0.065274955,0.469595629,Northern Bobwhite,NOBO
2,3120,-0.308178786,0.002321689,0.277668599,-0.253045881,0.010557856,0.204910517,0.192991218,0.055355557,0.120828273,0.067342858,0.599393859,0.009632769,-0.022320966,0.178968458,0.06139331,-0.006058258,0.711582426,0.321816531,Band-tailed Pigeon,BTPI
3,3160,-0.053009779,4.92E-06,0.047862794,-0.04561274,1.00E-07,0.064498592,-0.011040278,0.343517378,0.002106496,0.004565765,0.691321792,0.000370456,-0.007046478,0.010580212,0.015239867,0.006574515,0.046548953,0.235134683,Mourning Dove,MODO
4,3180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,White-tipped Dove,WTDO
5,3190,0.112381257,0.341450998,0.031248533,-0.053020266,0.645467558,0.007398026,0.164641174,0.378248996,0.026868746,0.063073761,0.640164459,0.007637043,0.012902563,0.6658123,0.006522819,0.015338741,0.513897328,0.610316401,White-winged Dove,WWDO
6,3200,-0.032470611,0.76849023,0.002036416,-0.055334921,0.326501791,0.022395644,-0.102576896,0.204153454,0.037224489,-0.184178019,0.037621991,0.096679341,-0.020433753,0.687592323,0.003797299,-0.001783545,0.98195592,0.296250273,Common Ground-Dove,COGD
7,3210,0.04957772,0.700158852,0.010917765,0.042118279,0.648532347,0.015260414,-0.317355397,0.014586656,0.356611639,-0.337126813,0.002226356,0.498861976,-0.006448087,0.788547267,0.005310265,-0.023096654,0.475453352,-0.251683303,Inca Dove,INDO
8,3830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Smooth-billed Ani,SBAN
9,3840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Groove-billed Ani,GBAN
10,3850,0.041018491,0.567293027,0.008924292,-0.036541358,0.679212915,0.004673872,-0.107405582,0.231917127,0.038390696,-0.061451352,0.465110931,0.014510363,0.008724837,0.748452025,0.002813198,-0.012557045,0.619581447,0.44582673,Greater Roadrunner,GRRO
