SampleID,Cruise,Date,Original_SampleNo,Original_StationNo,Depth,Lat,Lon,Daylength,Chl,QFChl,Temperature,QFTemp,SurfacePAR,QFPAR,Kd490,QFKd490,PARz,Nitrate,QFNO3,Nitrite,QFNO2,Ammonium,QFNH4,Phosphate,QFPO4,Silicate,QFSil,MLD,QFMLD
AMT1_1,AMT1,25-09-1995,9216,1,7,48.9313,-9.1461,12.0517447928,0.65,0,16.6515,0,27.413782807,0,0.0567900017,13,18.4214527766,0.08,0,0.02,0,NA,NA,0.0413432836,0,0.76,0,207.9121818844,2
AMT1_2,AMT1,25-09-1995,9219,1,50,48.9313,-9.1461,12.0517447928,0.56,0,16.576,0,27.413782807,0,0.0567900017,13,1.6024694162,2.1297959184,0,0.1742857143,0,NA,NA,0.0967346939,0,1.2854545455,0,207.9121818844,2
AMT1_3,AMT1,26-09-1995,9229,2,7,47.9217,-14.8529,11.9941363069,0.43,0,17.433,0,13.5407446652,0,0.0613100007,13,8.815691498,0.09,0,0.01,0,NA,NA,0.2120304569,0,0.8617391304,0,234.6909647027,2
AMT1_4,AMT1,26-09-1995,9231,2,40,47.9217,-14.8529,11.9941363069,0.86,0,15.377,0,13.5407446652,0,0.0613100007,13,1.1656783995,0.09,0,0.01,0,NA,NA,0.4227272727,0,0.6685,0,234.6909647027,2
AMT1_5,AMT1,27-09-1995,9243,3,7,47.0132,-19.9849,11.9402165041,0.18,0,18.034,0,13.5691914919,0,0.0519100018,13,9.4350537816,0.08,0,0.02,0,NA,NA,0.01,0,0.7925,0,249.9346261884,2
AMT1_6,AMT1,27-09-1995,9245,3,50,47.0132,-19.9849,11.9402165041,0.88,0,16.572,0,13.5691914919,0,0.0519100018,13,1.0123777807,3.7746875,0,0.429375,0,NA,NA,0.250625,0,2.239375,0,249.9346261884,2
AMT1_7,AMT1,28-09-1995,9262,4,7,42.2547,-20.0313,11.9145712697,0.12,0,19.4435,0,25.6063099001,0,0.0368500017,13,19.7843019008,0,0,0.02,0,NA,NA,0.05,0,0.91,0,152.7083410951,2
AMT1_8,AMT1,28-09-1995,9265,4,60,42.2547,-20.0313,11.9145712697,0.44,0,16.187,0,25.6063099001,0,0.0368500017,13,2.8062208974,1.1482,0,0.0802,0,NA,NA,0.1788,0,0.8521052632,0,152.7083410951,2
AMT1_9,AMT1,29-09-1995,9275,5,7,37.9107,-19.9905,11.8987514673,0.09,0,21.7365,0,33.2761093133,0,0.0285999998,13,27.2387257772,0.09,0,0.01,0,NA,NA,0.1,0,0.69125,0,113.9174732789,2
AMT1_10,AMT1,29-09-1995,9278,5,90,37.9107,-19.9905,11.8987514673,0.21,0,15.618,0,33.2761093133,0,0.0285999998,13,2.5366383379,0.4798989899,0,0.1124242424,0,NA,NA,0.1128282828,0,0.9770707071,0,113.9174732789,2
AMT1_11,AMT1,30-09-1995,9292,6,7,33.5972,-20.8778,11.8926291232,0.12,0,23.329,0,38.7926721045,0,0.0258499999,13,32.3715958334,0.09,0,0.01,0,NA,NA,0.08,0,0.69125,0,111.8315034493,2
AMT1_12,AMT1,30-09-1995,9293,6,110,33.5972,-20.8778,11.8926291232,0.23,0,16.371,0,38.7926721045,0,0.0258499999,13,2.2585688961,0.5007341772,0,0.0109113924,0,NA,NA,0.0854683544,0,0.9362025316,0,111.8315034493,2
AMT1_13,AMT1,02-10-1995,9303,7,7,27.3734,-21.8312,11.8842277048,0.06,0,16.371,0,38.2266158436,0,0.0264100004,13,31.7744345041,0.09,0,0.01,0,NA,NA,0.05,0,0.74,0,101.384892253,2
AMT1_14,AMT1,02-10-1995,9305,7,80,27.3734,-21.8312,11.8842277048,0.34,0,16.371,0,38.2266158436,0,0.0264100004,13,4.6215585234,1.6168211921,0,0.077218543,0,NA,NA,0.1364238411,0,1.0866666667,0,101.384892253,2
AMT1_15,AMT1,03-10-1995,9310,8,7,23.2831,-21.1634,11.8989257954,0.09,0,25.159,0,38.0353053477,0,0.0369100012,13,29.3750245488,0.09,0,0.01,0,NA,NA,0.14,0,0.7133333333,0,90.486074542,2
AMT1_16,AMT1,03-10-1995,9312,8,80,23.2831,-21.1634,11.8989257954,0.34,0,21.5475,0,38.0353053477,0,0.0369100012,13,1.9851901865,0.1130769231,0,0.0170588235,0,NA,NA,0.145158371,0,1.0866666667,0,90.486074542,2
AMT1_17,AMT1,04-10-1995,9351,9,7,19.4997,-20.3942,11.9173385671,2.65,0,25.4425,0,43.3373375171,0,0.0738900006,13,25.8364053575,0.08,0,0.02,0,NA,NA,0.12776,0,0.7933333333,0,41.4695520303,2
AMT1_18,AMT1,04-10-1995,9352,9,30,19.4997,-20.3942,11.9173385671,2.05,0,25.426,0,43.3373375171,0,0.0738900006,13,4.7223877188,0.0890517241,0,0.0238793103,0,NA,NA,0.1475,0,0.9,0,41.4695520303,2
AMT1_19,AMT1,05-10-1995,9363,10,7,13.0422,-20.4362,11.9718052678,0.21,0,28.814,0,39.0952676016,0,0.0522600003,13,27.1175582679,0.09,0,0.01,0,NA,NA,0.0318502203,0,0.788,0,25.0378110673,2
AMT1_20,AMT1,05-10-1995,9364,10,70,13.0422,-20.4362,11.9718052678,0.44,0,15.9975,0,39.0952676016,0,0.0522600003,13,1.0078319186,16.9095454545,0,0.2495454545,0,NA,NA,1.5459090909,0,7.196013986,0,25.0378110673,2
AMT1_21,AMT1,06-10-1995,9368,11,7,9.2381,-22.2151,12.0050867361,0.19,0,28.28,0,42.2294852194,0,0.0405299999,13,31.7981680543,0.09,0,0.01,0,NA,NA,0.05,0,0.7889473684,0,25.7736538935,2
AMT1_22,AMT1,06-10-1995,9370,11,60,9.2381,-22.2151,12.0050867361,0.6,0,18.251,0,42.2294852194,0,0.0405299999,13,3.7110642155,11.6427184466,0,0.269223301,0,NA,NA,0.8044660194,0,1.9706976744,0,25.7736538935,2
AMT1_23,AMT1,07-10-1995,9333,12,7,5.3564,-23.9664,12.0459814523,0.1,0,27.99,0,30.9520758584,0,0.0388000011,13,23.5904049684,0.09,0,0.01,0,NA,NA,0.06,0,0.76,0,31.3765785184,2
AMT1_24,AMT1,07-10-1995,9335,12,80,5.3564,-23.9664,12.0459814523,0.55,0,20.751,0,30.9520758584,0,0.0388000011,13,1.3887998774,4.4503960396,0,0.2104950495,0,NA,NA,0.5504950495,0,3.4397560976,0,31.3765785184,2
AMT1_25,AMT1,08-10-1995,9385,13,7,1.3923,-25.7013,12.0949962402,0.31,0,27.0655,0,38.7113664887,0,0.0392200015,13,29.4176035037,0.09,0,0.01,0,NA,NA,0.03,0,0.7822222222,0,33.0201380615,2
AMT1_26,AMT1,08-10-1995,9387,13,80,1.3923,-25.7013,12.0949962402,0.66,0,24.3005,0,38.7113664887,0,0.0392200015,13,1.6795621606,2.6876712329,0,0.4184474886,0,NA,NA,0.2951141553,0,2.0361176471,0,33.0201380615,2
AMT1_27,AMT1,09-10-1995,9403,14,7,-2.79,-27.5272,12.1547516634,0.19,0,26.2875,0,52.9832299126,0,0.0330500007,13,42.0401637905,0.09,0,0.01,0,NA,NA,0.1120121951,0,1.1346491228,0,46.7426824369,2
AMT1_28,AMT1,09-10-1995,9405,14,90,-2.79,-27.5272,12.1547516634,0.41,0,19.53,0,52.9832299126,0,0.0330500007,13,2.7060104368,11.6651428571,0,0.1694285714,0,NA,NA,1.0251428571,0,3.9145714286,0,46.7426824369,2
AMT1_29,AMT1,10-10-1995,9430,15,7,NA,NA,NA,0.31,0,NA,NA,50.2785342715,0,NA,NA,NA,0.09,0,0.01,0,NA,NA,0.15,0,1.1367378049,0,NA,NA
